cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
55d49c6c70419a59a6bfa780,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,1,1,string 1,"Annihilate all enemies


","Alle Feinde vernichten


",translate,translated,displayed-string,d0d6b1354e7bf8b50074c1cfb98cfe0fc3c51a67ac6e0e37db126f12faccac01
2a9ae385e0f02d363d2ccedd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,2,1,string 1,"Annihilate enemy boss

","Feindlichen Boss vernichten

",translate,translated,displayed-string,a42e329ed7236495d1a5975557212fe67000401077bfbe19a251b88cc52244a4
4c2f324a81f13bb098102840,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,3,1,string 1,"Defeat all enemy bosses

","Besiege alle feindlichen Bosse

",translate,translated,displayed-string,a6907a334c41a700a42c90ff4ddd08112d8b2d5725d0dd625ad4c5aaddb1d22b
d4e366f0eb86e44f077b2241,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,4,1,string 1,"Unknown


","Unknown


",review,pending,ambiguous-single-token,88812816e2f2c075ca9d3a1468b91558df3e6e8e0866b5d59ca1a9e3f5729b57
b34b34adef53d7ca55818048,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,5,1,string 1,"All allies are annihilated
Barrier generator is destroyed


","Alle Verbündeten sind vernichtet
Barrier-Generator zerstört Z


",translate,translated,displayed-string,080c83866a3ef42d4c055c63890b21d93ec767bdf045ce6a9051f1d342d55a99
ce3babec30da51d03f6307df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,6,1,string 1,"All allies are annihilated
School bus is destroyed


","Alle Verbündeten sind vernichtet
ZSchulbus zerstört Z


",translate,translated,displayed-string,798303731b30fdb51c124b281b3c8df3a097a27c7ad50e6ba5149b32fd466891
45af0818db2868f6da6d69fd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,7,1,string 1,"All allies annihilated

","Alle Verbündeten vernichtet

Z",translate,translated,displayed-string,db622f18fb3ce6bc48bd02c7e36426cd08abdbb6a9e64a92d8070a4ae2e6e642
22352ee23decc13b6e166997,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,8,1,string 1,"Any one ally dies in battle
Barrier generator is destroyed

","Jeder Verbündete stirbt im
Kampf Barrier-Generator zerstört

",translate,translated,displayed-string,ff7f9835156e2e64f7e3a00d0e0e41533ce3e79ff89a3cb4d2b39194a93ccb7f
b758843d05a267fd30fd389e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,9,1,string 1,"Any one ally dies in battle

","Jeder Verbündete stirbt im Kampf

",translate,translated,displayed-string,a7d6d051b38067f01ce761ab2fd5357e35020dcfdb2b7f7438f8da3f0f258476
b115ce01c980de64f62743b9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,10,1,string 1,"Defeat Moko Mojiro?
","Besiege Moko Mojiro?
",translate,translated,displayed-string,9a5a6d78b41c44a85952d1d4dd70344466c69c3ffd3bdadaa5d7e350b84113cb
