cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f3fa1e2bcd4b074876396193,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,1,2,string 2,They're here... I've never seen so many invaders before.,Ich habe noch nie so viele Eindringlinge gesehen.,translate,translated,displayed-string,42faf1c6775aaa21853dcb2fd16e52bc7e3c2e0bec833b0dfb91b8bcdcff40f5
c45ddb72697fb0030fbecee6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4e028dc79d27ff11dfa23d14,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,1,4,string 4,They're here... I've never seen so many invaders before.,Ich habe noch nie so viele Eindringlinge gesehen.,translate,translated,displayed-string,42faf1c6775aaa21853dcb2fd16e52bc7e3c2e0bec833b0dfb91b8bcdcff40f5
cb03ac6c861602baaa5587d6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,2,2,string 2,There's so many I can't even make out where the horizon starts...,"Es gibt so viele, die ich nicht mal herausfinden kann, wo der Horizont beginnt...",translate,translated,displayed-string,1e06fe2138b795f8d7e913b9df5f7445fef7af4f90de77a2bcb72ee76465ebf5
8736856e1d5557e9999c110d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7665acbed066b040d946debd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,2,4,string 4,There's so many I can't even make out where the horizon starts...,"Es gibt so viele, die ich nicht mal herausfinden kann, wo der Horizont beginnt...",translate,translated,displayed-string,1e06fe2138b795f8d7e913b9df5f7445fef7af4f90de77a2bcb72ee76465ebf5
a1eb15a5eea4f48072b2f30b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,3,2,string 2,Just means we get to add even more to our kill count. I'm ready for 'em!,"Das bedeutet nur, dass wir noch mehr zu unserer Tötungszahl beitragen können.",translate,translated,displayed-string,d49f551b80ee22c99ed771c43e39b37dfacca82761bfc6ce8b792491f14e1d6e
1a63980fd38f978e877cee6a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a356d914401bc72d808d1336,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,3,4,string 4,Just means we get to add even more to our kill count. I'm ready for 'em!,"Das bedeutet nur, dass wir noch mehr zu unserer Tötungszahl beitragen können.",translate,translated,displayed-string,d49f551b80ee22c99ed771c43e39b37dfacca82761bfc6ce8b792491f14e1d6e
a400ba55107912ba471db117,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"I don't see V'ehxness herself anywhere, though.",Ich sehe V'ehxness aber nirgendwo.,translate,translated,displayed-string,0369c3722ad32e75e59723a0f581571231c6acc89a919a5a70b114bd944fa0dd
9097eafd74570842fce3574f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
22cf5eeaa8f5a26f4ff208e4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,4,4,string 4,"I don't see V'ehxness herself anywhere, though.",Ich sehe V'ehxness aber nirgendwo.,translate,translated,displayed-string,0369c3722ad32e75e59723a0f581571231c6acc89a919a5a70b114bd944fa0dd
4822ad5d3d48837e6c0f0171,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,5,2,string 2,It'll be a pain if she gets the jump on us again.,"Es wird schmerzhaft sein, wenn sie wieder auf uns springt.",translate,translated,displayed-string,6b21383a77fd2735d1ba6be5651aaf71fd4c76417345a431a296f6a6dfcf9f1c
0fac255abe6a6be5136657d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cb22298098735def21e31380,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,5,4,string 4,It'll be a pain if she gets the jump on us again.,"Es wird schmerzhaft sein, wenn sie wieder auf uns springt.",translate,translated,displayed-string,6b21383a77fd2735d1ba6be5651aaf71fd4c76417345a431a296f6a6dfcf9f1c
4ed30073085afb54bdb7ec7a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,6,2,string 2,She's out there somewhere... Watching and waiting for her chance.,"Sie ist irgendwo da draußen, beobachtet und wartet auf ihre Chance.",translate,translated,displayed-string,c01ad574511d316b07a91005387763e6ae8ce5fbe401cc3b9c8db6e0d93c429d
bce3f1cefaa1aef5f5066819,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
743650c7423e7b2da6cd85e1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,6,4,string 4,She's out there somewhere... Watching and waiting for her chance.,"Sie ist irgendwo da draußen, beobachtet und wartet auf ihre Chance.",translate,translated,displayed-string,c01ad574511d316b07a91005387763e6ae8ce5fbe401cc3b9c8db6e0d93c429d
316f184c2f00ca8106e2dad4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,7,2,string 2,It's like she's possessed. She won't rest until she gets all the boxes.,"Sie wird sich erst ausruhen, wenn sie alle Kisten hat.",translate,translated,displayed-string,dcb94137f868f73b4f6df1f7c74ba0f9d955fc080b9ead1d61b76ad9d2f2f2a3
ef21b92d143deed40d480c36,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
91f4794d02311236200340a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,7,4,string 4,It's like she's possessed. She won't rest until she gets all the boxes.,"Sie wird sich erst ausruhen, wenn sie alle Kisten hat.",translate,translated,displayed-string,dcb94137f868f73b4f6df1f7c74ba0f9d955fc080b9ead1d61b76ad9d2f2f2a3
5d6c90116781183cc29a1fd9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,8,2,string 2,Then we have to hold on to ours and stop her from taking them.,"Dann müssen wir uns an unserer halten und sie davon abhalten, sie zu nehmen.",translate,translated,displayed-string,4ae01a1d38443420aec5f2b1e103314c21102e4d6b91b120956cd4fa5dc46e0d
1def9e3caabb0f093465f327,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1bf5122b77460517772194dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,8,4,string 4,Then we have to hold on to ours and stop her from taking them.,"Dann müssen wir uns an unserer halten und sie davon abhalten, sie zu nehmen.",translate,translated,displayed-string,4ae01a1d38443420aec5f2b1e103314c21102e4d6b91b120956cd4fa5dc46e0d
5b26da7070c8b2b362e9f08e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,9,2,string 2,I agree. We might even be able to use her obsession with them to our advantage.,Wir könnten sogar ihre Besessenheit mit ihnen zu unserem Vorteil nutzen.,translate,translated,displayed-string,43b05af95fcb583703d54310e33d2fce0921d7e4cef1e51dd4566fe1117f346c
2609789b179cd5eaa8d4a7d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d099_m030_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
