cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3c1845838f13536372b3bfc9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
f3c0558fab7178c21571f289,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
296fbe1b25fbe60562522274,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
075caa9d2f8e5112d3d4a6b5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)My heart felt hollow. My mind, emotions, sense of self...all gone.}","{fc(57e4f1)Mein Herz fühlte sich hohl an. Mein Geist, meine Gefühle, das Gefühl des Selbst... alles verschwunden.}",translate,translated,displayed-string:fc-repair,a5415f5a37368776d52314006098438c827638bdce6ac8dc8979b2fd660a5493
2516a967e1af335b79eff8bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)My heart felt hollow. My mind, emotions, sense of self...all gone.}","{fc(57e4f1)Mein Herz fühlte sich hohl an. Mein Geist, meine Gefühle, das Gefühl des Selbst... alles verschwunden.}",translate,translated,displayed-string:fc-repair,a5415f5a37368776d52314006098438c827638bdce6ac8dc8979b2fd660a5493
6f99685848ba1a422837c41e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I couldn't think...couldn't feel.},{fc(57e4f1)Ich konnte nicht denken... ich konnte nicht fühlen.},translate,translated,displayed-string:fc-repair,e835fb6fcf9be54ade151e3ca1d5e56a0e835ebfa87fb071df903e05d62290ff
d7c2d7a2b8ce2edb9c4c2355,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I couldn't think...couldn't feel.},{fc(57e4f1)Ich konnte nicht denken... ich konnte nicht fühlen.},translate,translated,displayed-string:fc-repair,e835fb6fcf9be54ade151e3ca1d5e56a0e835ebfa87fb071df903e05d62290ff
415fd9331f112890f8d0939b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I had become} {fc(ff635b)emptiness} {fc(57e4f1)itself. Held together by a sack of inconsequential flesh.},{fc(57e4f1)Ich war geworden} {fc(ff635b)Leere} {fc(57e4f1)sich selbst. Zusammengehalten von einem Sack von unzusammenhängendem Fleisch.},translate,translated,displayed-string:fc-repair,f5d237cc1a374c74947a93f8a185a0e25b7627084d936219183e6bd5d72b3178
91246b126184f504e565fd75,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I had become} {fc(ff635b)emptiness} {fc(57e4f1)itself. Held together by a sack of inconsequential flesh.},{fc(57e4f1)Ich war geworden} {fc(ff635b)Leere} {fc(57e4f1)sich selbst. Zusammengehalten von einem Sack von unzusammenhängendem Fleisch.},translate,translated,displayed-string:fc-repair,f5d237cc1a374c74947a93f8a185a0e25b7627084d936219183e6bd5d72b3178
53b52e6488a2556c40568d3c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Are you awake? It's already Day 97...,Sind Sie wach? Es ist schon Tag 97...,translate,translated,displayed-string,d32ef0733deb6fcb44b31dbf67518dba29c0ab500957417e879b570993f51ef6
a751d676600231469d58905a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s15_B_SuirixRt_Bcbb_d097_m010_010_0050,s15_B_SuirixRt_Bcbb_d097_m010_010_0050,protected,protected,resource-or-id,fea6ffca5ab7c57d6ac720d98c41580b4015dc24190eaeb48811ef875361564a
b530e2617ebf428df808ad07,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Are you awake? It's already Day 97...,Sind Sie wach? Es ist schon Tag 97...,translate,translated,displayed-string,d32ef0733deb6fcb44b31dbf67518dba29c0ab500957417e879b570993f51ef6
7fb852426b113a1fa1eab153,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bcbb_d097_m010_010.mbe/000_Sheet1.csv,6,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
