cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
43860e98f23eb65d0892e79f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,1,2,string 2,Wh-What's happening here? Where is everybody?,Wo sind denn alle?,translate,translated,displayed-string,842b3b86d959e92577a99d38b8353796cbbcd9a94e4d2a95f15ebc7886217842
65a7742bd1a44aea105105d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ddbf9b2d218e219d2af65782,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,1,4,string 4,Wh-What's happening here? Where is everybody?,Wo sind denn alle?,translate,translated,displayed-string,842b3b86d959e92577a99d38b8353796cbbcd9a94e4d2a95f15ebc7886217842
67a0a294bf14afd97983ff6c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,2,2,string 2,We've only looked on the first two floors. I'm sure they're on the third floor or the Roof...!,"Wir haben nur die ersten beiden Etagen angeschaut, ich bin sicher, dass sie im dritten Stock oder auf dem Dach sind...!",translate,translated,displayed-string,a99ecbac8fbc53ea3d35328c88a7f6e1116c0fc5f6f87d04b4268ce0ff273c6d
2c26e2cf853df63fc4f9b01f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dc62602e038b07552b6d3f98,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,2,4,string 4,We've only looked on the first two floors. I'm sure they're on the third floor or the Roof...!,"Wir haben nur die ersten beiden Etagen angeschaut, ich bin sicher, dass sie im dritten Stock oder auf dem Dach sind...!",translate,translated,displayed-string,a99ecbac8fbc53ea3d35328c88a7f6e1116c0fc5f6f87d04b4268ce0ff273c6d
1c4c6f4abf228d69224da812,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I ran out into the Courtyard and headed for the stairs. I rushed up two steps at a time up to the third floor...},{fc(57e4f1)Ich rannte in den Hof und ging zu den Treppen. Ich eilte zwei Schritte nacheinander hinauf bis in den dritten Stock...},translate,translated,displayed-string:fc-repair,97fd0727785ba69eb4f8280bec17af3ea3b1b23b320a11813a11e3dcc5c05d8b
19b10de34d671d9f66884137,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I ran out into the Courtyard and headed for the stairs. I rushed up two steps at a time up to the third floor...},{fc(57e4f1)Ich rannte in den Hof und ging zu den Treppen. Ich eilte zwei Schritte nacheinander hinauf bis in den dritten Stock...},translate,translated,displayed-string:fc-repair,97fd0727785ba69eb4f8280bec17af3ea3b1b23b320a11813a11e3dcc5c05d8b
bef31f1aba7d280c411133b6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)The first place I stopped was the Leisure Lounge.},"{fc(57e4f1)Der erste Ort, an dem ich anhielt, war die Leisure Lounge.}",translate,translated,displayed-string:fc-repair,af498ef390c4bd24a108e7544f0a99248130a7854c510796432304ad6e2e6ce0
a72cd5f503b4f9304e80085b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d086_m130_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)The first place I stopped was the Leisure Lounge.},"{fc(57e4f1)Der erste Ort, an dem ich anhielt, war die Leisure Lounge.}",translate,translated,displayed-string:fc-repair,af498ef390c4bd24a108e7544f0a99248130a7854c510796432304ad6e2e6ce0
