cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c122e4cb39fa186014d8a46b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,1,2,string 2,H-Hiruko! What are you wearing...?!,H-Hiruko! Was trägst du...?!,translate,translated,displayed-string,3d648fd16f1d218bed87d2843f36d5626eafb7c9d587d2682e30964fd463eadd
8d269e3b4edd54ca9d033254,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d060233b54a3518c2e554201,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,1,4,string 4,H-Hiruko! What are you wearing...?!,H-Hiruko! Was trägst du...?!,translate,translated,displayed-string,3d648fd16f1d218bed87d2843f36d5626eafb7c9d587d2682e30964fd463eadd
bfa11684c106c5020daa8450,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,2,2,string 2,What do you mean? I'm in a swimsuit. We're at the pool.,Was meinen Sie damit? Ich trage einen Badeanzug. Wir sind am Pool.,translate,translated,displayed-string,7123c84fa61989ce1fb96246fc61d5862e3cd345cbd009ef708369e64abb2cba
893052ca48aacedaa17a6411,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
779a8d6b813889c8a777ab98,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,2,4,string 4,What do you mean? I'm in a swimsuit. We're at the pool.,Was meinen Sie damit? Ich trage einen Badeanzug. Wir sind am Pool.,translate,translated,displayed-string,7123c84fa61989ce1fb96246fc61d5862e3cd345cbd009ef708369e64abb2cba
f9a7c0039b7b387af7edd599,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,3,2,string 2,"W-Well, yeah, sure, but...","W-Na ja, klar, aber...",translate,translated,displayed-string,ad3bfe577412aa93a3849ab4208dad6828797c936f5c3101719fe111320a6adb
b9880675603750f280974b09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
353ee323c967fe6e998a1306,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,3,4,string 4,"W-Well, yeah, sure, but...","W-Na ja, klar, aber...",translate,translated,displayed-string,ad3bfe577412aa93a3849ab4208dad6828797c936f5c3101719fe111320a6adb
8c73fc36b5a0c23ed024a110,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_03.mbe/000_Sheet1.csv,4,2,string 2,"Does the sight of me dressed like this arouse you, perhaps?",Reizt Sie vielleicht der Anblick so gekleideter Menschen?,translate,translated,displayed-string,397691041f8ef039ce6854e2ca534ecb4d10883cc611f4ecb3b35581db382b75
