cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3defb8218b85337c7b6dcfbb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,1,2,string 2,God of the planet...,Gott des Planeten...,translate,translated,displayed-string,88dc87c84f752a9cdc6c13e4f12709d3a8b1a522618e96e7dc86ba3c679cf665
d5d062f746c746e234b9f075,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fbf41e240edc21af9afe8306,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,1,4,string 4,God of the planet...,Gott des Planeten...,translate,translated,displayed-string,88dc87c84f752a9cdc6c13e4f12709d3a8b1a522618e96e7dc86ba3c679cf665
2777f1b2d33955c0f63c38f4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Hear my plea and lend me thy strength.,Höre meine Bitte und leihe mir deine Kraft.,translate,translated,displayed-string,192bbe32d96504dabf90434f999d97242b5d17de94c26b59f22acb29054bf581
f82bcc7d64f0157e7528f3dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6f46b00902513fec82e3cf3b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Hear my plea and lend me thy strength.,Höre meine Bitte und leihe mir deine Kraft.,translate,translated,displayed-string,192bbe32d96504dabf90434f999d97242b5d17de94c26b59f22acb29054bf581
df86a9901609e655060b964e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"Blood of my bond, release!","Blut meiner Bindung, loslassen!",translate,translated,displayed-string,5fc5abdcf3165c45fc8b0661f6baf12e75d76caef14398b9a6ed5129ba3059c5
366dfb282885493c172f8ad3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b226936ff32cf13f9eb36a81,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"Blood of my bond, release!","Blut meiner Bindung, loslassen!",translate,translated,displayed-string,5fc5abdcf3165c45fc8b0661f6baf12e75d76caef14398b9a6ed5129ba3059c5
555e60af7348f8398eb613ce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"It is I, the {fc(ff635b)Paragon of Warfare}, Dahl'xia!","Ich bin's, der {fc(ff635b)Paragon der Kriegsführung}, Dahl'xia!",translate,translated,displayed-string:fc-repair,5d4ebaf6883119eb1424ea122e761ab2a876dd443653312e9059eda0b2631dca
ba73fce86ac977962dc52460,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
095fa048c7fb6dad613d0604,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"It is I, the {fc(ff635b)Paragon of Warfare}, Dahl'xia!","Ich bin's, der {fc(ff635b)Paragon der Kriegsführung}, Dahl'xia!",translate,translated,displayed-string:fc-repair,5d4ebaf6883119eb1424ea122e761ab2a876dd443653312e9059eda0b2631dca
092f84f4d0cca8dccf857f2f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,5,2,string 2,I have come!,Ich bin gekommen!,translate,translated,displayed-string,0b2c16f4a35ca6d8d36c6a7473c595d6ed0b0bd42dc5a2b5b39b3eb2018fe3ce
6e24ce1c7bf3ef15615209c7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b1bff7667534b67879dc9673,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ab_d093_m040_010.mbe/000_Sheet1.csv,5,4,string 4,I have come!,Ich bin gekommen!,translate,translated,displayed-string,0b2c16f4a35ca6d8d36c6a7473c595d6ed0b0bd42dc5a2b5b39b3eb2018fe3ce
