cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
fdf5ae1cb6d44bbfbfbdfcef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 43,Tag 43,translate,translated,displayed-string,8f00c674a81c3703ac968158d63aee1bc5b3b295158f485041436fae8043b2e5
7b5a09acfa45376285d7a871,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7f61517508c3d7cac2922429,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 43,Tag 43,translate,translated,displayed-string,8f00c674a81c3703ac968158d63aee1bc5b3b295158f485041436fae8043b2e5
f39b1acb18fb470738e94b53,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)......},{fc(57e4f1)......},protected,protected,markup-only,968126dd400f0e403b83915ff92dc3cc7e736235a49e120a413b74068522c3a0
d644accec8822ec823fa841c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)......},{fc(57e4f1)......},protected,protected,markup-only,968126dd400f0e403b83915ff92dc3cc7e736235a49e120a413b74068522c3a0
2809e4766a80324060229b88,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"It's evening, Takumi. How long do you plan on sleeping? You're too old to act like this...","Es ist Abend, Takumi, wie lange hast du vor zu schlafen?",translate,translated,displayed-string,668a517d285601d43129ce873e1da074ac9d1233b78ff1fdd31199cf948bebce
7fc60039f4e0cc88c857f07f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
96b97a01da1c2ff63d21a399,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"It's evening, Takumi. How long do you plan on sleeping? You're too old to act like this...","Es ist Abend, Takumi, wie lange hast du vor zu schlafen?",translate,translated,displayed-string,668a517d285601d43129ce873e1da074ac9d1233b78ff1fdd31199cf948bebce
18ca04da79c88faa2716cd31,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,4,2,string 2,I'm literally a teenager.,Ich bin buchstäblich ein Teenager.,translate,translated,displayed-string,d13d243a6be9a95db6ba046c5fafa5d8aece51a1766cb46df5774dd00fc537ed
85493dfcccc6e9ec145343c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2c68a9f548b21f4f593b1367,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,4,4,string 4,I'm literally a teenager.,Ich bin buchstäblich ein Teenager.,translate,translated,displayed-string,d13d243a6be9a95db6ba046c5fafa5d8aece51a1766cb46df5774dd00fc537ed
2369c0c0be077178db10b7d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"And in case you forgot, we ran two marathons, fought a battle in between, and had to hose the school down with QB Liquid as soon as we got back!","Und falls du es vergessen hast, wir liefen zwei Marathons, kämpften zwischendurch und mussten die Schule mit QB Liquid besänftigen, sobald wir zurück waren!",translate,translated,displayed-string,64a1a679df61a3b027682e8f276299ffc38655cb0bdc9f4c9057d549a114e4fb
919966086dc8c07aa45da47b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b4bff400f5eb8aeb6c64f0cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"And in case you forgot, we ran two marathons, fought a battle in between, and had to hose the school down with QB Liquid as soon as we got back!","Und falls du es vergessen hast, wir liefen zwei Marathons, kämpften zwischendurch und mussten die Schule mit QB Liquid besänftigen, sobald wir zurück waren!",translate,translated,displayed-string,64a1a679df61a3b027682e8f276299ffc38655cb0bdc9f4c9057d549a114e4fb
8589b42ca74b4364ef56ba13,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,6,2,string 2,I'm dying from lack of sleep here!,Ich sterbe hier an Schlafmangel!,translate,translated,displayed-string,ff498dfc73e54dddd379681c1867c8f4cabc8ac75a9173b32fe46b9cdcd546b8
da40340d25dfc9b59b8436b3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
00bb6a88592cb38186edbd5c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,6,4,string 4,I'm dying from lack of sleep here!,Ich sterbe hier an Schlafmangel!,translate,translated,displayed-string,ff498dfc73e54dddd379681c1867c8f4cabc8ac75a9173b32fe46b9cdcd546b8
9ddcbd5baa3a4bced148eddf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"Keep it down, we're in a library!","Nicht so laut, wir sind in einer Bibliothek!",translate,translated,displayed-string,215976d91f96a00de2570e62574c44ae3cdc340ea8413882dc979011a228f71c
faf9d8bd9f513d2626651e79,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d043_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
