cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
6b0bd2767261d27e6b967b06,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
8c740ea822a65b607b04c616,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6ee1ffb66bc12e55cf55676f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
11af45745262555b6ed687ab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
8fe5d65707687b5e6f598425,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s15_B_SuirixRt_B0_d051_m010_010_0030,s15_B_SuirixRt_B0_d051_m010_010_0030,protected,protected,resource-or-id,b7e5d19dccb4301580212eb699bbddd0aaee4f353718da192fa1d4f8d09ff898
631726ff799d5a4d67e56980,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
df0ac03db13c86066ea5d619,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
ea0c2543b8aa24b9213d44a0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s15_B_SuirixRt_B0_d051_m010_010_0040,s15_B_SuirixRt_B0_d051_m010_010_0040,protected,protected,resource-or-id,457a002e2372511becfc35235512cc865867f5797fefb9588d1b0ff9855abc77
13c74e7be86e850650c9354a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
6ff915d865af672e4a840d84,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
