cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
2957733019db2824cf39eaa8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 79,Tag 79,translate,translated,displayed-string,bd4320ee5cd11413ce18e6030834c6cd4505ec1d484443032c264466e83721fe
bc278365bd3ef0148dc0063f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
eddeed5256f409229ff645b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 79,Tag 79,translate,translated,displayed-string,bd4320ee5cd11413ce18e6030834c6cd4505ec1d484443032c264466e83721fe
e67302d2677c343542a1e708,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Sleep. Wake up. Sleep. Wake up. I cycled quickly between sleep and wakefulness.},{fc(57e4f1)Schlafen. Aufwachen. Schlafen. Aufwachen. Ich radelte schnell zwischen Schlaf und Wachheit.},translate,translated,displayed-string:fc-repair,4e1bab3a6807d5dfa7cc6745cdcb70f888ddcdaaa2ef7eb0badbcf6a70066470
10c5f2add8769db3ef64c0e8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Sleep. Wake up. Sleep. Wake up. I cycled quickly between sleep and wakefulness.},{fc(57e4f1)Schlafen. Aufwachen. Schlafen. Aufwachen. Ich radelte schnell zwischen Schlaf und Wachheit.},translate,translated,displayed-string:fc-repair,4e1bab3a6807d5dfa7cc6745cdcb70f888ddcdaaa2ef7eb0badbcf6a70066470
f148ea1a31e555d8f1ce7a31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)What I did weighed on me too heavily when I was awake, so I would retreat back to the land of sleep in search of reprieve...}","{fc(57e4f1)Was ich tat, wog mich zu schwer, als ich wach war, also zog ich mich zurück in das Land des Schlafes auf der Suche nach Begnadigung...}",translate,translated,displayed-string:fc-repair,a1cdf0ac9fc8841ada63b06df0c54b8d22949549c5dd36b45fce27c9657dfb99
1504e7fe5012d447fbc27bfc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)What I did weighed on me too heavily when I was awake, so I would retreat back to the land of sleep in search of reprieve...}","{fc(57e4f1)Was ich tat, wog mich zu schwer, als ich wach war, also zog ich mich zurück in das Land des Schlafes auf der Suche nach Begnadigung...}",translate,translated,displayed-string:fc-repair,a1cdf0ac9fc8841ada63b06df0c54b8d22949549c5dd36b45fce27c9657dfb99
3a57c97f261b7cca6d907d50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)But whenever I fell asleep, I'd dream of the day I killed those people.}","{fc(57e4f1)Aber wenn ich einschlief, träumte ich von dem Tag, an dem ich diese Menschen tötete.}",translate,translated,displayed-string:fc-repair,dd985b9d1305aadd1a832da84564951cb33b0ffd641213d9873abd8764d094c8
bb0fa5e57a95b84d6307be59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)But whenever I fell asleep, I'd dream of the day I killed those people.}","{fc(57e4f1)Aber wenn ich einschlief, träumte ich von dem Tag, an dem ich diese Menschen tötete.}",translate,translated,displayed-string:fc-repair,dd985b9d1305aadd1a832da84564951cb33b0ffd641213d9873abd8764d094c8
2ea2f290212da8502eeb4711,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d079_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)The memory my hands covered in their blood would return...},"{fc(57e4f1)Die Erinnerung, die meine Hände mit ihrem Blut bedeckten, würde zurückkehren...}",translate,translated,displayed-string:fc-repair,0b7888f88ccbbe435ab7384ca7b3c63676c40220022c7919d70503ccb414f35e
