cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7b42903243cb9023402880d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 81,Tag 81,translate,translated,displayed-string,03fbaf9aba8a394a0db89ee09e90d5e9d399f4042d6c045725d2255a4a0f0ca5
f363a92c17f0df9066fea202,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0c9cb74d8267c41a943f473c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 81,Tag 81,translate,translated,displayed-string,03fbaf9aba8a394a0db89ee09e90d5e9d399f4042d6c045725d2255a4a0f0ca5
563fe8bdeb652767d318645e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,2,2,string 2,And then Eva disappeared?,Und dann ist Eva verschwunden?,translate,translated,displayed-string,a685f60b83d30a15fac6d8752edeb38b7faa1bc207660e702e3f9c0d095fed6f
50541e5de54b6f46a522018f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
066b79518365135077f70979,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,2,4,string 4,And then Eva disappeared?,Und dann ist Eva verschwunden?,translate,translated,displayed-string,a685f60b83d30a15fac6d8752edeb38b7faa1bc207660e702e3f9c0d095fed6f
106c5ee0a283b445d439cf55,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"It's too soon to assume she's completely vanished, but you haven't seen her since yesterday, right?","Es ist zu früh, anzunehmen, dass sie völlig verschwunden ist, aber du hast sie seit gestern nicht mehr gesehen, oder?",translate,translated,displayed-string,fbfb7f2522f4d3ee60220ec157785f54cd41f2f4433abd6fe72814535896dac3
c2ad52ee441bee919e07b110,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7dfe611c45bcefd65df08636,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"It's too soon to assume she's completely vanished, but you haven't seen her since yesterday, right?","Es ist zu früh, anzunehmen, dass sie völlig verschwunden ist, aber du hast sie seit gestern nicht mehr gesehen, oder?",translate,translated,displayed-string,fbfb7f2522f4d3ee60220ec157785f54cd41f2f4433abd6fe72814535896dac3
a522b4af16c469a61a6fb1bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Yes...,"Ja, genau.",translate,translated,displayed-string,a43de6857ecefcf7aec5dd2dad7f7e750e6e28816f2819cf751754b3593bb660
b83d5671ba3ecddc9d45c613,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
aee58d374bf53b059826baea,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Yes...,"Ja, genau.",translate,translated,displayed-string,a43de6857ecefcf7aec5dd2dad7f7e750e6e28816f2819cf751754b3593bb660
f816d4c99a6085e38a588708,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Whoa...,Whoa...,translate,translated,displayed-string,df67bb591bc432ae4527ad0998058864bca7e247b039d7f74667ab35799e4ef1
35579ea022f0f1a60e4c270c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
56ffe2a2c7f476a33680a696,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Whoa...,Whoa...,translate,translated,displayed-string,df67bb591bc432ae4527ad0998058864bca7e247b039d7f74667ab35799e4ef1
bd4304e8e680b93122edad30,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,6,2,string 2,WAHOOOO! THE CURSE IS LIFTEEEED!,Die Kurse ist tot!,translate,translated,displayed-string,d700f5988474244a4ca90b33549fb3acfe36cf6740d7c655848d181588073031
6eaf9de0e1c39dd3e0d7f448,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fdc437a246f9f92844500d52,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,6,4,string 4,WAHOOOO! THE CURSE IS LIFTEEEED!,Die Kurse ist tot!,translate,translated,displayed-string,d700f5988474244a4ca90b33549fb3acfe36cf6740d7c655848d181588073031
a1deda617cfbd54af97d9cf8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,7,2,string 2,The ghost is gone?!,Der Geist ist weg?!,translate,translated,displayed-string,0923cbe4a1dc0bc24210e3911a400afd961be7d495b11b4049b3bd6e3829cced
51d7add3bd61347f93a6bada,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5738c6913248aca4d1bfee82,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,7,4,string 4,The ghost is gone?!,Der Geist ist weg?!,translate,translated,displayed-string,0923cbe4a1dc0bc24210e3911a400afd961be7d495b11b4049b3bd6e3829cced
799b966c440265d90c8b1a05,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"Hey, Gaku! Read the room!","Hey, Gaku, lies das Zimmer!",translate,translated,displayed-string,3280a90209c6003b1c3264c1d92da303c9993f860cd35b9edbf25ba662d126fe
75ef5cf2bb3b757bfe8c9cd8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6d6b1460c93c99201b1dd79a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"Hey, Gaku! Read the room!","Hey, Gaku, lies das Zimmer!",translate,translated,displayed-string,3280a90209c6003b1c3264c1d92da303c9993f860cd35b9edbf25ba662d126fe
5a547e31518e760796b301fb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"Why are you mad? The enemy disappeared, bro!","Der Feind ist verschwunden, Bruder!",translate,translated,displayed-string,c3ad163f91b603c9ba94baf753b20544bd2c783c101322858acf7a5fc08710ff
c0b0a94fc1f9f4b9aa9c7574,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6bd1c9d66e5e57664869677a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,9,4,string 4,"Why are you mad? The enemy disappeared, bro!","Der Feind ist verschwunden, Bruder!",translate,translated,displayed-string,c3ad163f91b603c9ba94baf753b20544bd2c783c101322858acf7a5fc08710ff
ddc7e2673c436c1ae123b38d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,10,2,string 2,"Well, I suppose one less wildcard to deal with is a blessing...","Nun, ich nehme an, ein Platzhalter, mit dem man sich nicht beschäftigen kann, ist ein Segen...",translate,translated,displayed-string,688489266af3938758c9a1317f7804e5d586c181d008ffa95a875b127e79408f
f508f95b8bd72696a8bfc215,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bb_d081_m010_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
