cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a7e0cc877543eb956e2289ac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,1,2,string 2,Wh-What are you people...?,Was seid ihr...?,translate,translated,displayed-string,12ad6bb6ee6e68b94b7f9f78179d1089549cb390faddc1e01c02440e73d735df
d90b167b835c3a3bcedf3d51,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ae0fdfc399129c79032c2e26,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,1,4,string 4,Wh-What are you people...?,Was seid ihr...?,translate,translated,displayed-string,12ad6bb6ee6e68b94b7f9f78179d1089549cb390faddc1e01c02440e73d735df
8db8b8548e3dbbc1192ea2b7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,2,2,string 2,What are you...? How could this...,Wie konntest du das...,translate,translated,displayed-string,c79fb7534ac10823e714112db1234d7689fca5eccd97d969120dd8d2278abe9d
5c8378648bd7c7c3a2bd5a95,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
07ea321706edafd5eedfce6a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,2,4,string 4,What are you...? How could this...,Wie konntest du das...,translate,translated,displayed-string,c79fb7534ac10823e714112db1234d7689fca5eccd97d969120dd8d2278abe9d
e4b907718ad0ecee689ea185,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,3,2,string 2,"Ah, must this be the way that I die...?","Muss das der Weg sein, wie ich sterbe...?",translate,translated,displayed-string,fe2713a9996ed5bdc9dcbafa2810e81d54d6599155ccaa644eb4bbea0fa688e7
de0bcb5f6be77fc75356454b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a33ce68f82d52b9408bbdf2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,3,4,string 4,"Ah, must this be the way that I die...?","Muss das der Weg sein, wie ich sterbe...?",translate,translated,displayed-string,fe2713a9996ed5bdc9dcbafa2810e81d54d6599155ccaa644eb4bbea0fa688e7
fd2076f015ee3b54f8a6f9de,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,4,2,string 2,I fought all this time...for this...,Ich kämpfte die ganze Zeit... dafür...,translate,translated,displayed-string,102129da5575100b5dcc362f29feaacfc3c8803a6d165bc091df528cb21904b6
b047ec69571de88cf8be905d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3cd029c36d68562121d9115e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,4,4,string 4,I fought all this time...for this...,Ich kämpfte die ganze Zeit... dafür...,translate,translated,displayed-string,102129da5575100b5dcc362f29feaacfc3c8803a6d165bc091df528cb21904b6
bc17929c624d65fbb74716b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)......},{fc(57e4f1)......},protected,protected,markup-only,968126dd400f0e403b83915ff92dc3cc7e736235a49e120a413b74068522c3a0
3e19dcd8d15624ece334b978,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
907eb47e3b3c45e0bac1aa34,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)......},{fc(57e4f1)......},protected,protected,markup-only,968126dd400f0e403b83915ff92dc3cc7e736235a49e120a413b74068522c3a0
606481f2f0aef646f167f550,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,6,2,string 2,All right! Total victory!,"Alles klar, totaler Sieg!",translate,translated,displayed-string,195912277f6733cb7df4918368d4ebd4eedc244eb6d4780b871ede4312208b26
270ae9ef9b8629cf532b50d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
721c429a56161ed2529f5b62,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,6,4,string 4,All right! Total victory!,"Alles klar, totaler Sieg!",translate,translated,displayed-string,195912277f6733cb7df4918368d4ebd4eedc244eb6d4780b871ede4312208b26
90c60a26ecae604104ab3cb9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,7,2,string 2,I owe it all to you guys! Thanks!,Ich schulde euch alles!,translate,translated,displayed-string,7fec2e905032482849ce9fdaf1cfaf080577ed21b837b71796adcf2c2adb4dcd
e429d41819a5749976dac4bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
40e0f4bd366c710c33ba1294,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,7,4,string 4,I owe it all to you guys! Thanks!,Ich schulde euch alles!,translate,translated,displayed-string,7fec2e905032482849ce9fdaf1cfaf080577ed21b837b71796adcf2c2adb4dcd
67a67bf0d25a66a229f17b07,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,8,2,string 2,All that's left now is V'ehxness! Let's keep it up and win this!,Jetzt bleibt nur noch V'ehxness übrig!,translate,translated,displayed-string,69dd33e535c449ac33b4ccf1c0b0900865ac180afee916677d043ae3e5283d7e
450c5a6bb6229276ee653611,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0ba69195d51e1854a1bb9db4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bbb_d093_m080_010.mbe/000_Sheet1.csv,8,4,string 4,All that's left now is V'ehxness! Let's keep it up and win this!,Jetzt bleibt nur noch V'ehxness übrig!,translate,translated,displayed-string,69dd33e535c449ac33b4ccf1c0b0900865ac180afee916677d043ae3e5283d7e
