cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cdb0cffeefc348d5fd8033cc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,1,2,string 2,"Hey, Takumi. How 'bout ya let me paint this bus?","He, Takumi. Wie 'bout ya lassen Sie mich diesen Bus malen?",translate,translated,displayed-string,c0dce4651e0fd33f9bc8b5556ebc4dcb03776439db8b2b29402a8043b13d1633
7f4e7b5ce3ca7c7ec1e5f44c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3883d5b3793d0f6f282da78e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,1,4,string 4,"Hey, Takumi. How 'bout ya let me paint this bus?","He, Takumi. Wie 'bout ya lassen Sie mich diesen Bus malen?",translate,translated,displayed-string,c0dce4651e0fd33f9bc8b5556ebc4dcb03776439db8b2b29402a8043b13d1633
8efa0c453c06e1d6750331ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,2,2,string 2,Paint? You want to repaint the bus?,Sie wollen den Bus neu lackieren?,translate,translated,displayed-string,4c01bad25b13e2e619b397b3c6617641e21dfde062ad8d12685610429c6dd87c
9bd2496844027d8fd1ec961f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b6e6344a2831e3cf703f7034,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,2,4,string 4,Paint? You want to repaint the bus?,Sie wollen den Bus neu lackieren?,translate,translated,displayed-string,4c01bad25b13e2e619b397b3c6617641e21dfde062ad8d12685610429c6dd87c
2286bd01fba8d2d02179c901,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,3,2,string 2,"Yeah, I mean, the invaders are gonna think we're pushovers in this lame thing.","Ja, ich meine, die Invasoren werden denken, dass wir in diesem lahmen Ding stecken.",translate,translated,displayed-string,d8d5944ef2062464a164f0b0e86746e31d6c1bf9cec7656943f88cdb931a1e47
2a262ef4739ee7a3eece3969,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8ac6734fd705a360bc825fda,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,3,4,string 4,"Yeah, I mean, the invaders are gonna think we're pushovers in this lame thing.","Ja, ich meine, die Invasoren werden denken, dass wir in diesem lahmen Ding stecken.",translate,translated,displayed-string,d8d5944ef2062464a164f0b0e86746e31d6c1bf9cec7656943f88cdb931a1e47
a591a64ece646192e007243d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,4,2,string 2,"First impressions mean everything, and that goes for a man and his ride. Let's get some war paint on this thing and show 'em we're serious!","Der erste Eindruck bedeutet alles, und das gilt für einen Mann und seine Fahrt. Lasst uns ein bisschen Kriegsfarbe auf dieses Ding malen und zeigen, dass wir es ernst meinen!",translate,translated,displayed-string,ba5612b995546149053b544fe755c17fb9a98e533ee4c79317ddad0826c5f1c7
7fa95f8ea184ec8fae63646c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8771d8dcf0c7ff192978f3eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,4,4,string 4,"First impressions mean everything, and that goes for a man and his ride. Let's get some war paint on this thing and show 'em we're serious!","Der erste Eindruck bedeutet alles, und das gilt für einen Mann und seine Fahrt. Lasst uns ein bisschen Kriegsfarbe auf dieses Ding malen und zeigen, dass wir es ernst meinen!",translate,translated,displayed-string,ba5612b995546149053b544fe755c17fb9a98e533ee4c79317ddad0826c5f1c7
4d2cf7c02d63a17a795e392d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,5,2,string 2,War paint... What kind of look were you thinking of?,Kriegsfarbe... An was für einen Look habt ihr gedacht?,translate,translated,displayed-string,94bef57ca8344d1a4100218a0ac5ea3e65d1af78709120b9c5f5c039bb2fdcd1
891a5759c6de461e3c6ac06c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr002take_05.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
