cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
744622c25240f7c2369dcc9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Sorry... I can't team up with you.,"Tut mir leid, ich kann mich nicht mit dir zusammentun.",translate,translated,displayed-string,a2b56f4d30383cbc8e56475496f12705d21bdc98842e1c37e7e65ae2d567311d
3f439f0f686afa6dcce3d8f5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
846d35f5b291fc7efd30c23d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Sorry... I can't team up with you.,"Tut mir leid, ich kann mich nicht mit dir zusammentun.",translate,translated,displayed-string,a2b56f4d30383cbc8e56475496f12705d21bdc98842e1c37e7e65ae2d567311d
179d287830174c86b97d8115,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I was convinced Yugamu had to be plotting something, given that he went out of his way to approach me after I'd been ostracized.}","{fc(57e4f1)Ich war überzeugt, dass Yugamu etwas planen musste, da er sich aus dem Weg machte, mich zu erreichen, nachdem ich geächtet worden war.}",translate,translated,displayed-string:fc-repair,030ad87ad276f32764688969c99fcf7f6361876b843ac2f5159160c05ad8aca2
293fed29586e269bee764d0d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I was convinced Yugamu had to be plotting something, given that he went out of his way to approach me after I'd been ostracized.}","{fc(57e4f1)Ich war überzeugt, dass Yugamu etwas planen musste, da er sich aus dem Weg machte, mich zu erreichen, nachdem ich geächtet worden war.}",translate,translated,displayed-string:fc-repair,030ad87ad276f32764688969c99fcf7f6361876b843ac2f5159160c05ad8aca2
fcebb75eb8eff4e10000e6b0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)The things he usually talked about already made me uneasy... He probably just wanted to torment me for his own amusement.},"{fc(57e4f1)Die Dinge, über die er normalerweise sprach, machten mir schon Sorgen... er wollte mich wahrscheinlich nur zu seinem eigenen Vergnügen quälen.}",translate,translated,displayed-string:fc-repair,8883e60fbc0142c401397def391d52bca834f3938089ed6d72769f1a60bb83da
36d12ba46a2aaf21fe9b93df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)The things he usually talked about already made me uneasy... He probably just wanted to torment me for his own amusement.},"{fc(57e4f1)Die Dinge, über die er normalerweise sprach, machten mir schon Sorgen... er wollte mich wahrscheinlich nur zu seinem eigenen Vergnügen quälen.}",translate,translated,displayed-string:fc-repair,8883e60fbc0142c401397def391d52bca834f3938089ed6d72769f1a60bb83da
f3d49c850a631b839e90ab2c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Oh, for the love of murder... You're a cautious one, aren't you, Takumi?","Oh, wegen der Liebe zum Mord... bist du vorsichtig, nicht wahr, Takumi?",translate,translated,displayed-string,399aee3f4e239c3272037a9395d9a81c7fc33a28289d7a7f3aab78735c3cfd21
48993851ec27f3b3761c19a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bd6c85dcdac50840cbb64ce1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_b0_d026_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"Oh, for the love of murder... You're a cautious one, aren't you, Takumi?","Oh, wegen der Liebe zum Mord... bist du vorsichtig, nicht wahr, Takumi?",translate,translated,displayed-string,399aee3f4e239c3272037a9395d9a81c7fc33a28289d7a7f3aab78735c3cfd21
