cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5219939071f9c98f5ba91a47,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 73,Tag 73,translate,translated,displayed-string,6246381c91adee93f282a46cfad2fa25253dc82ca760cfe4fd9902c381104865
e8dceb8ebd7193e3e984b6ef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7808771ca2a880a8d2be87dc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 73,Tag 73,translate,translated,displayed-string,6246381c91adee93f282a46cfad2fa25253dc82ca760cfe4fd9902c381104865
fabfb2900150ad7779627148,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
3ecffe575689b58c2d382492,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
8accabb4f8da9e1aa34e6c1d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
5c12712e460eacf9c8e4342c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
e658308f209e1cb124b1b382,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
08b63e0ebe72999e3d988a25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
f68a66f942084d946f84576b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Good morning.,Guten Morgen.,translate,translated,displayed-string,e3522eadca07c9501d5e4422f42559a7db6e4cee9d116248117bd4af2f884659
f3e82941fb5c789e0b030360,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0050,s13_A_SFsfSFsf_Bb_d073_m010_010_0050,protected,protected,resource-or-id,2136e5731ff49a0524b145ee0e26331e43c0fdd6d724c2130f400e85e778e2a9
2bede47c9bf871b3214c6317,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Good morning.,Guten Morgen.,translate,translated,displayed-string,e3522eadca07c9501d5e4422f42559a7db6e4cee9d116248117bd4af2f884659
1159cbb5ad33337c27945be0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"Well, good evening and welcome to Day 73, actually.","Nun, guten Abend und herzlich willkommen an Tag 73, eigentlich.",translate,translated,displayed-string,74e8762fcc95ce40aeced7d1733a1af6519900ab9e3f395a64796b7bc92d049d
aa6585362d18c7ff17effbb0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0060,s13_A_SFsfSFsf_Bb_d073_m010_010_0060,protected,protected,resource-or-id,5c72b04452a375c507f48b6706803f1502d45b381878d074eb014c160dc96658
cdbaa60a29095297096e20c7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"Well, good evening and welcome to Day 73, actually.","Nun, guten Abend und herzlich willkommen an Tag 73, eigentlich.",translate,translated,displayed-string,74e8762fcc95ce40aeced7d1733a1af6519900ab9e3f395a64796b7bc92d049d
a772ae9a67a7d4dfb71691de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)I had absolutely no memory of the previous day. I wasn't even sure how or when I fell asleep the day before that.},"{fc(57e4f1)Ich hatte absolut keine Erinnerung an den Vortag. Ich war mir nicht einmal sicher, wie oder wann ich am Tag davor eingeschlafen bin.}",translate,translated,displayed-string:fc-repair,03e0ed55406ec5c83c41d163d2fa9e23e6c6e156478579cff52468862c9f641f
8f428e534d19437a512241b9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)I had absolutely no memory of the previous day. I wasn't even sure how or when I fell asleep the day before that.},"{fc(57e4f1)Ich hatte absolut keine Erinnerung an den Vortag. Ich war mir nicht einmal sicher, wie oder wann ich am Tag davor eingeschlafen bin.}",translate,translated,displayed-string:fc-repair,03e0ed55406ec5c83c41d163d2fa9e23e6c6e156478579cff52468862c9f641f
64769581d3795ce5ed57531d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)I asked Hiruko what happened, and she explained.}","{fc(57e4f1)Ich fragte Hiruko, was passiert sei, und sie erklärte es.}",translate,translated,displayed-string:fc-repair,813dfc496e3bb82b4bfcd24403a9d472c5f51db88519ae30de1e35c5a37a002c
0f7d8455e56673b13ef1fa92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)I asked Hiruko what happened, and she explained.}","{fc(57e4f1)Ich fragte Hiruko, was passiert sei, und sie erklärte es.}",translate,translated,displayed-string:fc-repair,813dfc496e3bb82b4bfcd24403a9d472c5f51db88519ae30de1e35c5a37a002c
809566f4f4d5f659553b4229,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"It's the leap damage again. If you take it easy for a while, the symptoms should subside.","Es ist wieder der Sprungschaden. Wenn Sie es für eine Weile leicht nehmen, sollten die Symptome nachlassen.",translate,translated,displayed-string,100b4aae288da11a1d9a44bf5ed20eececd33818eb9ee681cb0a07b1d731c2e1
d278cf6230c82f83ab96f4a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,9,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0090,s13_A_SFsfSFsf_Bb_d073_m010_010_0090,protected,protected,resource-or-id,9d1960d1e698eaaf11f9ab2210ff4a2b19a930a3261bcd473df41c561b6e94c6
0ee5d4ebb4d43b342e2fca8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,9,4,string 4,"It's the leap damage again. If you take it easy for a while, the symptoms should subside.","Es ist wieder der Sprungschaden. Wenn Sie es für eine Weile leicht nehmen, sollten die Symptome nachlassen.",translate,translated,displayed-string,100b4aae288da11a1d9a44bf5ed20eececd33818eb9ee681cb0a07b1d731c2e1
38b28f6d22427f757b2f1e1f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,10,2,string 2,"How long is ""a while,"" exactly?","Wie lange ist ""eine Weile"", genau?",translate,translated,displayed-string,11e60f5214df8257c497f1ddd4ab418cb7fa464341e483809bccd6575db176de
35ad24cfcc09ef47c0e5b00b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,10,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0100,s13_A_SFsfSFsf_Bb_d073_m010_010_0100,protected,protected,resource-or-id,5ff3141d3986c6810f20233c843cf66956ba0ab315792388cef9bb9ec03838b5
f57a7a4224634e79496d922d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,10,4,string 4,"How long is ""a while,"" exactly?","Wie lange ist ""eine Weile"", genau?",translate,translated,displayed-string,11e60f5214df8257c497f1ddd4ab418cb7fa464341e483809bccd6575db176de
4cd4c8877821cbc46dc627f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,11,2,string 2,"More than two or three days, I can tell you that much.",Mehr als zwei oder drei Tage kann ich Ihnen so viel sagen.,translate,translated,displayed-string,49139c2e41cdb593da7fb3763b60e30a095a128760c4c4d1f1dbfffd93f5e2b3
b5a65afcaa01cf7611bb79b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,11,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0110,s13_A_SFsfSFsf_Bb_d073_m010_010_0110,protected,protected,resource-or-id,8e5cf180a7e84a62e55a12d448d9e8591248f45f7ca42d9290a2190c1278b331
47fc16d6a83155adc205cda9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,11,4,string 4,"More than two or three days, I can tell you that much.",Mehr als zwei oder drei Tage kann ich Ihnen so viel sagen.,translate,translated,displayed-string,49139c2e41cdb593da7fb3763b60e30a095a128760c4c4d1f1dbfffd93f5e2b3
a26781b052d14c30531a2a92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,12,2,string 2,And yesterday's battle...?,Und die gestrige Schlacht...?,translate,translated,displayed-string,ab21cbd8c93d9a3d9f5a531e591e289d7535efa5bc96e468ec2f81c277e9d093
a2f774a5201e2fea8787e26f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,12,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0120,s13_A_SFsfSFsf_Bb_d073_m010_010_0120,protected,protected,resource-or-id,a04ae18657dcdcfc6f44fc6d60c540617188bfeb4cfdbcc9dec414440ecff973
8646617904b88259351ab52b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,12,4,string 4,And yesterday's battle...?,Und die gestrige Schlacht...?,translate,translated,displayed-string,ab21cbd8c93d9a3d9f5a531e591e289d7535efa5bc96e468ec2f81c277e9d093
2695a43479d0d9ab89c5582b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,13,2,string 2,It was trivial. Nothing but cannon fodder.,"Es war trivial, nichts als Kanonenfutter.",translate,translated,displayed-string,72c2fcadf7ac9ba299f847862ca2bf8e1d1c0f03770d5b6014d89d7b791a996e
4c45fa466b654c2b0d788435,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,13,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0130,s13_A_SFsfSFsf_Bb_d073_m010_010_0130,protected,protected,resource-or-id,1197c73dc3f2ceb2f2a1d131d860a781dec1ee1d80816c833661cf208915cf26
813de43b4711c76c19578010,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,13,4,string 4,It was trivial. Nothing but cannon fodder.,"Es war trivial, nichts als Kanonenfutter.",translate,translated,displayed-string,72c2fcadf7ac9ba299f847862ca2bf8e1d1c0f03770d5b6014d89d7b791a996e
8646c7615ee28840085e251a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,14,2,string 2,Oh. I'm glad it went well.,"Ich bin froh, dass es gut gelaufen ist.",translate,translated,displayed-string,48750e9eef9c8c327f997e86fe4697b60523fcf8369e563310b516b21e429429
f8f935ad1ddb9aa5e379220b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,14,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0140,s13_A_SFsfSFsf_Bb_d073_m010_010_0140,protected,protected,resource-or-id,7ca44abfa324df3d15364c51ed1b3315ec3ea6424c4f6c3d30d8864efd7c3a73
14ac3878e4f24cbe3d164973,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,14,4,string 4,Oh. I'm glad it went well.,"Ich bin froh, dass es gut gelaufen ist.",translate,translated,displayed-string,48750e9eef9c8c327f997e86fe4697b60523fcf8369e563310b516b21e429429
1d61e6b8ce6880d827a581cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,15,2,string 2,You don't sound like you mean that. Are you upset?,"Du klingst nicht so, als würdest du das ernst meinen.",translate,translated,displayed-string,25cd22482e440e7a36a45f92c59205cd3e6004d01ccaffbe07c86d4cccaeb6cd
eebd1f465bc1f99a0dda10b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,15,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0150,s13_A_SFsfSFsf_Bb_d073_m010_010_0150,protected,protected,resource-or-id,b83659ac464c9d8cb345829c49551510b9aba45324c2632741eace00caeec6e5
e6020b1d5450987686354828,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,15,4,string 4,You don't sound like you mean that. Are you upset?,"Du klingst nicht so, als würdest du das ernst meinen.",translate,translated,displayed-string,25cd22482e440e7a36a45f92c59205cd3e6004d01ccaffbe07c86d4cccaeb6cd
d0ed466a163354d8cb684cdb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,16,2,string 2,A little... I feel like I got benched before the game even started.,"Ein bisschen... ich fühle mich, als würde ich vor dem Spiel sitzen.",translate,translated,displayed-string,e2a361faf3f39ab1ab2d60fb1635b4b164a3afdfe75e45f80ecebefb51e3183b
9e9d462184e28cdd3b449bda,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,16,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0160,s13_A_SFsfSFsf_Bb_d073_m010_010_0160,protected,protected,resource-or-id,f5e7eba72afd029305ae5dccfe900bb1486e46ab8a1d1e93cd9b1247c82d3f4b
7a0127943d4233bb9bd80b39,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,16,4,string 4,A little... I feel like I got benched before the game even started.,"Ein bisschen... ich fühle mich, als würde ich vor dem Spiel sitzen.",translate,translated,displayed-string,e2a361faf3f39ab1ab2d60fb1635b4b164a3afdfe75e45f80ecebefb51e3183b
f42e32171762f5c9e61169c6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,17,2,string 2,{fc(57e4f1)Hiruko's expression softened a little.},{fc(57e4f1)Hirukos Ausdruck wurde ein wenig weicher.},translate,translated,displayed-string:fc-repair,943805260f23a566e2a911e769daef4569b6c48d54e6341fdd04de6003e0b8c1
ade42373cbf6f5d5d4cee2b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,17,4,string 4,{fc(57e4f1)Hiruko's expression softened a little.},{fc(57e4f1)Hirukos Ausdruck wurde ein wenig weicher.},translate,translated,displayed-string:fc-repair,943805260f23a566e2a911e769daef4569b6c48d54e6341fdd04de6003e0b8c1
8f28be9acb0f23d8b0b48428,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,18,2,string 2,Can you stand?,Kannst du stehen?,translate,translated,displayed-string,780532ce3aa8ff559e7abf7e31b9b7a775d48bdd663537776dc084708d21de80
0b92f7f011e8ee42af9c0902,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d073_m010_010.mbe/000_Sheet1.csv,18,3,string2 3,s13_A_SFsfSFsf_Bb_d073_m010_010_0180,s13_A_SFsfSFsf_Bb_d073_m010_010_0180,protected,protected,resource-or-id,49261b9cccaa6cdab1a71daaf0c39cce2e4bebff6d35f98bfee7c18d6b71bedd
