cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ea8dea6eb700eb109cbdddad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,1,2,string 2,Takumi...? Why are you covered in blood?!,Takumi...? Warum bist du mit Blut bedeckt?!,translate,translated,displayed-string,f684c25f941de5d8831cf1430184682200b8f17bf88617d2763ad3b97f3ceb2c
bab1976312ab5df0f19d08d7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
34141fc0f696e191555a18a4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,1,4,string 4,Takumi...? Why are you covered in blood?!,Takumi...? Warum bist du mit Blut bedeckt?!,translate,translated,displayed-string,f684c25f941de5d8831cf1430184682200b8f17bf88617d2763ad3b97f3ceb2c
f3f668f719969bfdf4daf855,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Eito...! I'll get him this time!},{fc(57e4f1)Ich kriege ihn dieses Mal!},translate,translated,displayed-string:fc-repair,e5c987fb64b5386f6db748f603cf257356163e66085ed2fe39de0649d119df8c
8b090270bd858930b1843915,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Eito...! I'll get him this time!},{fc(57e4f1)Ich kriege ihn dieses Mal!},translate,translated,displayed-string:fc-repair,e5c987fb64b5386f6db748f603cf257356163e66085ed2fe39de0649d119df8c
df46248af3f1362e7201de81,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
744ec3d4232f7a065acb50f0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
5f82ccb5864c8c537f979b8e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,4,2,string 2,Urgh...!,Urgh...!,translate,translated,displayed-string,41fa2d01fc24b521f8d6118269508dffb772660265d3374ea656df28ece525c2
f0999faa3d2df87abb18036d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f84053e648331ec885987f1a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,4,4,string 4,Urgh...!,Urgh...!,translate,translated,displayed-string,41fa2d01fc24b521f8d6118269508dffb772660265d3374ea656df28ece525c2
22e0f3b0a25d37b77640bdaf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,5,2,string 2,It's over.,Es ist vorbei.,translate,translated,displayed-string,47a4d3b45287b4699e0bc49c146ff4806b6fce68963477ac8bdfe62677707103
bbcf90e774b8122b20ea8c1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
de3e08a456456bec4f549986,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,5,4,string 4,It's over.,Es ist vorbei.,translate,translated,displayed-string,47a4d3b45287b4699e0bc49c146ff4806b6fce68963477ac8bdfe62677707103
f6d99756ea3b2c7ee575ebc4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m030_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)*thunk*},{fc(57e4f1)*Betrunken*},translate,translated,displayed-string:fc-repair,08496705d28346229bf2cca2bfcbc8c59595db851936fa002038bd4087bf1dac
