cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
168839193ba4e3d17db4913f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)Resuming my quest for positive responses, I arrived at the Bio Lab.}","{fc(57e4f1)Wenn ich meine Suche nach positiven Antworten fortsetzte, kam ich im Bio Lab an.}",translate,translated,displayed-string:fc-repair,12138a1131fb4cead80f7bf0ba3daa34fe873938741a8956ea63eeba6ee88f36
7ad6bdb91368c37641723e3c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)Resuming my quest for positive responses, I arrived at the Bio Lab.}","{fc(57e4f1)Wenn ich meine Suche nach positiven Antworten fortsetzte, kam ich im Bio Lab an.}",translate,translated,displayed-string:fc-repair,12138a1131fb4cead80f7bf0ba3daa34fe873938741a8956ea63eeba6ee88f36
13ece5bd315c2b823cfc0db0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)Yugamu was there. I had to assume he was a lost cause, but there was only one way to be sure.}","{fc(57e4f1)Yugamu war da. Ich musste annehmen, dass er ein verlorener Grund war, aber es gab nur einen Weg, sicher zu sein.}",translate,translated,displayed-string:fc-repair,1d7c739dfd56c2408494e0418aaf99c702859ff000743d0e90650e492f660ec8
deb456f6d1e183ad32ec4e11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)Yugamu was there. I had to assume he was a lost cause, but there was only one way to be sure.}","{fc(57e4f1)Yugamu war da. Ich musste annehmen, dass er ein verlorener Grund war, aber es gab nur einen Weg, sicher zu sein.}",translate,translated,displayed-string:fc-repair,1d7c739dfd56c2408494e0418aaf99c702859ff000743d0e90650e492f660ec8
ffea4b289ab93e97f67b3ea0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,3,2,string 2,Such a profound question.,Eine so tiefe Frage.,translate,translated,displayed-string,b5f32ab7ca607c89a9b4d1aa1f004d885d3fdec9a3d98d10b0610dc1ec191d25
62ba27e1c27a0166fd45591d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e3ce5cb046bf2b24f98d85b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,3,4,string 4,Such a profound question.,Eine so tiefe Frage.,translate,translated,displayed-string,b5f32ab7ca607c89a9b4d1aa1f004d885d3fdec9a3d98d10b0610dc1ec191d25
f89d7378bbf3dadd31c95141,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,4,2,string 2,"Yeah, well, I had a feeling you'd say no, but...","Ja, nun, ich hatte das Gefühl, du würdest nein sagen, aber...",translate,translated,displayed-string,f66cf8608ff1aff29c8ef6a5898d04564a135b7da18a254713d7f36e6fd77332
7850cb76e1063811e8ba91d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2c1bdbbe6158bc0fbfaeabda,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s08_0_mattarir_00_d031_m060_010.mbe/000_Sheet1.csv,4,4,string 4,"Yeah, well, I had a feeling you'd say no, but...","Ja, nun, ich hatte das Gefühl, du würdest nein sagen, aber...",translate,translated,displayed-string,f66cf8608ff1aff29c8ef6a5898d04564a135b7da18a254713d7f36e6fd77332
