cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d75c0bafbacf3c7733b5e5ea,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We worked together to place grave markers for all our fallen friends and placed some flowers we had picked in front of them.},"{fc(57e4f1)Wir arbeiteten zusammen, um Grabmarkierungen für alle unsere gefallenen Freunde zu platzieren und platzierten einige Blumen, die wir vor ihnen gepflückt hatten.}",translate,translated,displayed-string:fc-repair,7e04ed61e44afcd83a9641a50c7a876aca305b6d4c3c849d29c1e4fca309c5b5
48393d53c823ebe704c246d7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We worked together to place grave markers for all our fallen friends and placed some flowers we had picked in front of them.},"{fc(57e4f1)Wir arbeiteten zusammen, um Grabmarkierungen für alle unsere gefallenen Freunde zu platzieren und platzierten einige Blumen, die wir vor ihnen gepflückt hatten.}",translate,translated,displayed-string:fc-repair,7e04ed61e44afcd83a9641a50c7a876aca305b6d4c3c849d29c1e4fca309c5b5
210897dd3fedbd0dd453ec57,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Everyone fell silent for a while after that.},{fc(57e4f1)Danach schweigten alle eine Weile.},translate,translated,displayed-string:fc-repair,6f6e418f546dd661ef562a90a35558cb74d6929adc925a68995f511db13e9070
3efd8206b3fecd0b1feffd9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Everyone fell silent for a while after that.},{fc(57e4f1)Danach schweigten alle eine Weile.},translate,translated,displayed-string:fc-repair,6f6e418f546dd661ef562a90a35558cb74d6929adc925a68995f511db13e9070
d5d0e0d8d74a0dbbb0be9f66,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"The weather is so...fine, isn't it?","Das Wetter ist so... fein, nicht wahr?",translate,translated,displayed-string,76566067081293d856cdd68b0ce96a3bc0155c1f1e154b4a149426fbc1e1f868
37686a7a8d78774ecbddfdc7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_A_Splatter_Bb_d087_m020_010_0030,s14_A_Splatter_Bb_d087_m020_010_0030,protected,protected,resource-or-id,806cc244720d4394ba2a5dd53f82f74e93f3d1925bdd35ad97913f843fa1db8c
2ca19c16fa7cdc83cd740389,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"The weather is so...fine, isn't it?","Das Wetter ist so... fein, nicht wahr?",translate,translated,displayed-string,76566067081293d856cdd68b0ce96a3bc0155c1f1e154b4a149426fbc1e1f868
a0ede9c9b6d0b5d2f0135d79,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,4,2,string 2,Yeah... Best kinda weather for a ride.,"Ja, das beste Wetter für eine Fahrt.",translate,translated,displayed-string,06fab196f82c937af732f87f240bf4970c080acb85f976fa8bc64fccc69a2502
1c0d2b47bfe0720b6f35c1a2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_A_Splatter_Bb_d087_m020_010_0040,s14_A_Splatter_Bb_d087_m020_010_0040,protected,protected,resource-or-id,518ad5f37ee8494beb7822e0d555901c7aad736a3f614373012d90ccdfd110cd
34832fec08f3ecf23c57cbf9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bb_d087_m020_010.mbe/000_Sheet1.csv,4,4,string 4,Yeah... Best kinda weather for a ride.,"Ja, das beste Wetter für eine Fahrt.",translate,translated,displayed-string,06fab196f82c937af732f87f240bf4970c080acb85f976fa8bc64fccc69a2502
