cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
138fb2c3a3b26620ebd0a289,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,1,2,string 2,"I'm so happy I can talk to you like this, Takumi. What shall we talk about?","Ich bin so froh, dass ich so mit dir reden kann, Takumi.",translate,translated,displayed-string,5c9c8f7f2dad23d4daec600260da7514fa8c465d143df5fe548da49c3cbb0b79
a40584c7b13f5b1dff65f701,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,1,3,string2 3,k_chr005EITO_01_0010,k_chr005EITO_01_0010,protected,protected,resource-or-id,3b166903067f61acc8937e1bb7e1341c78a10ef3b79c31d18e837392c1529576
6dcbb7e608768b0a1d44a89d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,1,4,string 4,"I'm so happy I can talk to you like this, Takumi. What shall we talk about?","Ich bin so froh, dass ich so mit dir reden kann, Takumi.",translate,translated,displayed-string,5c9c8f7f2dad23d4daec600260da7514fa8c465d143df5fe548da49c3cbb0b79
414881c26cd6108969f52166,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,2,2,string 2,"Someone important to me? Well, no one human, that's for sure.","Jemand, der mir wichtig ist? Nun, kein Mensch, das ist sicher.",translate,translated,displayed-string,7c04aa5df9b21b5a2facbc6ef48359512b7b03463accef10ea131d27fd1e651c
ea857e77093cdf665fe45ea9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,2,3,string2 3,k_chr005EITO_01_0020,k_chr005EITO_01_0020,protected,protected,resource-or-id,21a085b48a0ecdc62510e39a2f14f7b72ddcfe8367d4fecc1b9da6fe4beceec9
6fec23e08bdb0fa467c1ec14,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,2,4,string 4,"Someone important to me? Well, no one human, that's for sure.","Jemand, der mir wichtig ist? Nun, kein Mensch, das ist sicher.",translate,translated,displayed-string,7c04aa5df9b21b5a2facbc6ef48359512b7b03463accef10ea131d27fd1e651c
5d215acfd6bee7ce19c646a1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,3,2,string 2,"I'm so sickened by those who get close to me that I end up killing them. That's what happened to my parents and so-called
""friends"" who tried to be nice to me.","Ich bin so krank von denen, die mir nahe kommen, dass ich am Ende töten sie. Das ist, was passierte mit meinen Eltern und so genannten
""Freunde"", die versuchten, nett zu mir zu sein.",translate,translated,displayed-string,95710e55448bdc85c11b0a685e11324f7f360e9baba7ef81752d9e3c804cf737
b741efbd2d548d3918e966bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,3,3,string2 3,k_chr005EITO_01_0030,k_chr005EITO_01_0030,protected,protected,resource-or-id,d3b14756ac4226a11c31fb5643917efb9503d0c90b953db6ed460a213a96b722
695b4162a4db6f17c105e17e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,3,4,string 4,"I'm so sickened by those who get close to me that I end up killing them. That's what happened to my parents and so-called
""friends"" who tried to be nice to me.","Ich bin so krank von denen, die mir nahe kommen, dass ich am Ende töten sie. Das ist, was passierte mit meinen Eltern und so genannten
""Freunde"", die versuchten, nett zu mir zu sein.",translate,translated,displayed-string,95710e55448bdc85c11b0a685e11324f7f360e9baba7ef81752d9e3c804cf737
babdc8acc9a4511b8ca9fa17,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr005eito_01.mbe/000_Sheet1.csv,4,2,string 2,"I covered my tracks very well, of course. In fact, people saw me as a tragic victim.","Natürlich habe ich meine Spuren sehr gut verwischt, aber die Leute sahen mich als tragisches Opfer.",translate,translated,displayed-string,325002786a12df9b7d73808b3a6f8146960ef0991d8e5bc92ff7aed595db5391
