cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c0af0a4fc8316fa4c99cb457,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"You know, Eito... I had you all wrong.","Weißt du, Eito... ich habe dich ganz falsch liegen lassen.",translate,translated,displayed-string,b04f3cbb417c2cf177d561a1d5631430451c2d1e5e3a5639443a94a2b8697a2b
f371587e633af331b7156a44,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5f5fa43723e71a57d49ed738,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"You know, Eito... I had you all wrong.","Weißt du, Eito... ich habe dich ganz falsch liegen lassen.",translate,translated,displayed-string,b04f3cbb417c2cf177d561a1d5631430451c2d1e5e3a5639443a94a2b8697a2b
56af99dca446b1e0c489c9b6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,2,2,string 2,I thought you were going to twist the rules just like you twisted my perception.,"Ich dachte, du würdest die Regeln verdrehen, genau wie du meine Wahrnehmung verdreht hast.",translate,translated,displayed-string,1b5d7abfa679f8fb0a02002d83537f488c4cffa002c660079b8a38dda6451fe5
df01d9a9f9c5e25b8add15a2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0a4e975ff76e67d1043fea09,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,2,4,string 4,I thought you were going to twist the rules just like you twisted my perception.,"Ich dachte, du würdest die Regeln verdrehen, genau wie du meine Wahrnehmung verdreht hast.",translate,translated,displayed-string,1b5d7abfa679f8fb0a02002d83537f488c4cffa002c660079b8a38dda6451fe5
b7da5d47fb59803e92f768e2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,3,2,string 2,It would be so easy for you to put me in a situation where I couldn't possibly win.,"Es wäre so leicht für dich, mich in eine Situation zu bringen, in der ich unmöglich gewinnen könnte.",translate,translated,displayed-string,1632c49eda51ad83bac0f09e74a253c0ba1a5f19eb3a0cbc3a0c85c02ea3042c
81fb1cf1c07da662a44be84c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ce38bf565c3fdd24026b2b71,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,3,4,string 4,It would be so easy for you to put me in a situation where I couldn't possibly win.,"Es wäre so leicht für dich, mich in eine Situation zu bringen, in der ich unmöglich gewinnen könnte.",translate,translated,displayed-string,1632c49eda51ad83bac0f09e74a253c0ba1a5f19eb3a0cbc3a0c85c02ea3042c
61d38efe373975e2d885209f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_b0_d062_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"But now I think about it, that's not what you would really want.","Aber jetzt denke ich darüber nach, das ist nicht das, was du wirklich willst.",translate,translated,displayed-string,43d4fc2e383ac6bd530a0a28fe40a247e884d406637aae738fb8518017165d22
