cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9c9150fc1b58f7271d19ff07,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,1,2,string 2,Where am I...?,Wo bin ich...?,translate,translated,displayed-string,2a9ffc18333316c98d42412e97e1fe716bd3d82b48623d6511a02a2cdf8497ef
0e4651852249ca555a23f0ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
79e70d335ce4396bce4e32dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,1,4,string 4,Where am I...?,Wo bin ich...?,translate,translated,displayed-string,2a9ffc18333316c98d42412e97e1fe716bd3d82b48623d6511a02a2cdf8497ef
e94c4402cec89de74310df7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,2,2,string 2,Do not get up. Your body is still in recovery.,"Steh nicht auf, dein Körper ist immer noch in der Genesung.",translate,translated,displayed-string,b4ff37d776aa067c0b6072c85c04de7f347d78ce0809da3ff596da68ff17ee1c
96c20dfe7d3289ed80c97234,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0344802663b9926e350bd5af,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,2,4,string 4,Do not get up. Your body is still in recovery.,"Steh nicht auf, dein Körper ist immer noch in der Genesung.",translate,translated,displayed-string,b4ff37d776aa067c0b6072c85c04de7f347d78ce0809da3ff596da68ff17ee1c
e68f3542fe59d5517fdbf588,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,3,2,string 2,"Oh... I must have collapsed again, huh?","Ich muss wieder zusammengebrochen sein, was?",translate,translated,displayed-string,140ba97932d2c502bf76ebf2b247b83eb24890313daea44067f3af3a5e16a896
62dbec5baff94f6d45c8b257,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c1023f41c9be038b3ea22ce6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,3,4,string 4,"Oh... I must have collapsed again, huh?","Ich muss wieder zusammengebrochen sein, was?",translate,translated,displayed-string,140ba97932d2c502bf76ebf2b247b83eb24890313daea44067f3af3a5e16a896
c4f8e5ef382dd97f2593acad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,4,2,string 2,You should thank Takumi. He has been caring for you all this time.,"Du solltest Takumi danken, er hat sich die ganze Zeit um dich gekümmert.",translate,translated,displayed-string,9b1d1dc7d64b396930fa81b48678840b3046f45640fdf0e259bc3cb41edb6678
179a3a480a3abbf0cb01a289,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c209574cab05463dcc4b6b01,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,4,4,string 4,You should thank Takumi. He has been caring for you all this time.,"Du solltest Takumi danken, er hat sich die ganze Zeit um dich gekümmert.",translate,translated,displayed-string,9b1d1dc7d64b396930fa81b48678840b3046f45640fdf0e259bc3cb41edb6678
1c54186f8c483c0b06bb0c00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,5,2,string 2,"Thanks, Takumi. Sorry to worry you.","Tut mir leid, dass ich dir Sorgen mache.",translate,translated,displayed-string,f0852ed0b2154efb9c8cf685fbffd6a5039dfa641a5a44aed620d34bf80465fe
293c6d57c1ec22b58eac3b52,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bd8e579ff3a20f7c561575f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,5,4,string 4,"Thanks, Takumi. Sorry to worry you.","Tut mir leid, dass ich dir Sorgen mache.",translate,translated,displayed-string,f0852ed0b2154efb9c8cf685fbffd6a5039dfa641a5a44aed620d34bf80465fe
eb0c9a4ac785cb7c9296fd32,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,6,2,string 2,...How long has this been going on?,Wie lange geht das schon?,translate,translated,displayed-string,e3672d9ccc568bf3ea2fdc174c10401080af66a9b55e3b28840028173ad42da0
1a4766c125879685d500e63c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5db56805e302f317613f1ef0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,6,4,string 4,...How long has this been going on?,Wie lange geht das schon?,translate,translated,displayed-string,e3672d9ccc568bf3ea2fdc174c10401080af66a9b55e3b28840028173ad42da0
7daf3611dcb8b3448a78d3ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)I was afraid of what Nozomi might tell me. But I couldn't pretend that she was fine anymore.},"{fc(57e4f1)Ich hatte Angst vor dem, was Nozomi mir sagen könnte, aber ich konnte nicht mehr so tun, als ob es ihr gut ginge.}",translate,translated,displayed-string:fc-repair,ea8f89ea142b4cfb78ebcf4eaab36f1287e510714a2c964a3fb3a7b9bbd708ce
e1a3b077dce4927a7740d559,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)I was afraid of what Nozomi might tell me. But I couldn't pretend that she was fine anymore.},"{fc(57e4f1)Ich hatte Angst vor dem, was Nozomi mir sagen könnte, aber ich konnte nicht mehr so tun, als ob es ihr gut ginge.}",translate,translated,displayed-string:fc-repair,ea8f89ea142b4cfb78ebcf4eaab36f1287e510714a2c964a3fb3a7b9bbd708ce
514f7d84c1a0435e406209c0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,8,2,string 2,"A while... It probably started around the same time we met Kamyuhn. At first, I thought I was just tired...","Es fing wahrscheinlich zur gleichen Zeit an, als wir Kamyuhn kennenlernten.",translate,translated,displayed-string,b3fa2fd6f1cbd83fd0ca28312b6aad08cc8824a6d85fcae65fde89af849ae412
6c8ca761d8dc6435f2c74e6d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bcb7d4a15432b9aaf1a6dbfc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,8,4,string 4,"A while... It probably started around the same time we met Kamyuhn. At first, I thought I was just tired...","Es fing wahrscheinlich zur gleichen Zeit an, als wir Kamyuhn kennenlernten.",translate,translated,displayed-string,b3fa2fd6f1cbd83fd0ca28312b6aad08cc8824a6d85fcae65fde89af849ae412
ed0e81e3a2b518c2307fff9c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,9,2,string 2,You are not like the rest of the team. Your body is actively rejecting your cryptoglobin.,Du bist nicht wie der Rest des Teams. Dein Körper lehnt aktiv dein Kryptolobin ab.,translate,translated,displayed-string,bef7f228dd342de36d774c0329826eb58f8a212f3f0e34fe347cf994f29cf35d
927b9596bdcd091774c2d74f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ed06a88de213ef6f9c76dbe4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,9,4,string 4,You are not like the rest of the team. Your body is actively rejecting your cryptoglobin.,Du bist nicht wie der Rest des Teams. Dein Körper lehnt aktiv dein Kryptolobin ab.,translate,translated,displayed-string,bef7f228dd342de36d774c0329826eb58f8a212f3f0e34fe347cf994f29cf35d
bcd3ffd7510584417888fdf8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,10,2,string 2,It is a power capable of creating miracles. Normal people were never meant to wield it.,"Es ist eine Macht, die Wunder erschaffen kann. Normale Menschen waren nie dazu bestimmt, sie zu führen.",translate,translated,displayed-string,493ba8346d3e3b4da8e6abd4e61e30305890471fddc535d4fb935c01bb257dc1
e56fe6e7ceb6e9e200535374,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
59592d5b23a6acd04cb7984f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,10,4,string 4,It is a power capable of creating miracles. Normal people were never meant to wield it.,"Es ist eine Macht, die Wunder erschaffen kann. Normale Menschen waren nie dazu bestimmt, sie zu führen.",translate,translated,displayed-string,493ba8346d3e3b4da8e6abd4e61e30305890471fddc535d4fb935c01bb257dc1
cd20f85a520111f5287160d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,11,2,string 2,"Kamyuhn, isn't there anything we can do?","Kamyuhn, können wir nichts tun?",translate,translated,displayed-string,75a627c487332fe1ba11a332c65bc408b4184cce2d6b7a2220ae974b1e8f2b9a
f4d4f2fed0e859634caa2908,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a9eb8de96c781171691197da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,11,4,string 4,"Kamyuhn, isn't there anything we can do?","Kamyuhn, können wir nichts tun?",translate,translated,displayed-string,75a627c487332fe1ba11a332c65bc408b4184cce2d6b7a2220ae974b1e8f2b9a
7b767c5ee7eb2f5ef79ac067,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,12,2,string 2,Could you use your Divine Wisdom to find a way to reduce her rejection symptoms?,"Könntest du deine göttliche Weisheit benutzen, um einen Weg zu finden, ihre Ablehnungssymptome zu reduzieren?",translate,translated,displayed-string,76c56a05fcc4093eb2b8e89424d86f3095c184008d0b089f06d1467675846e98
cab7f0d469a448076fd3e64f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,12,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
55a0b1830f0293e16fead58c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,12,4,string 4,Could you use your Divine Wisdom to find a way to reduce her rejection symptoms?,"Könntest du deine göttliche Weisheit benutzen, um einen Weg zu finden, ihre Ablehnungssymptome zu reduzieren?",translate,translated,displayed-string,76c56a05fcc4093eb2b8e89424d86f3095c184008d0b089f06d1467675846e98
c84d8393873aacfac8daa997,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,13,2,string 2,My apologies. I doubt it would be of use.,"Ich bezweifle, dass es nützlich wäre.",translate,translated,displayed-string,d01d9d6939482442d87403aaebb6857d6d1a9047429c1b6270ebb28f9fc07c07
c8c987127359d5383315807e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,13,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e9b0594fecd32d6f9f121023,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,13,4,string 4,My apologies. I doubt it would be of use.,"Ich bezweifle, dass es nützlich wäre.",translate,translated,displayed-string,d01d9d6939482442d87403aaebb6857d6d1a9047429c1b6270ebb28f9fc07c07
c3f89beba1bde21d220fa36d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,14,2,string 2,Even my Divine Wisdom cannot decipher the intricacies of cryptoglobin.,Selbst meine göttliche Weisheit kann die Feinheiten von Kryptolobin nicht entziffern.,translate,translated,displayed-string,46c259e9792b62c1aaf14aabdd6870f03b055159269fae0e18b0ea39f7caab87
6acb8bea5f62e95fdea888e0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,14,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b30aac2ea94b841b6d19ec3c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,14,4,string 4,Even my Divine Wisdom cannot decipher the intricacies of cryptoglobin.,Selbst meine göttliche Weisheit kann die Feinheiten von Kryptolobin nicht entziffern.,translate,translated,displayed-string,46c259e9792b62c1aaf14aabdd6870f03b055159269fae0e18b0ea39f7caab87
051331cadfca9259937c6310,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,15,2,string 2,I see...,Ich verstehe...,translate,translated,displayed-string,1168336fb2a0dd18bcc36308fbff6e38555ba352c5c404d03fc84f5c1fb1e800
ffa8299ab022b8231428f033,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m030_010.mbe/000_Sheet1.csv,15,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
