cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ffcbc35ee55ff63a33e20ba7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
ed0ed76800b62644de60ac01,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
015e51ad3536c42dd3d8cdcf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
f8292430946f17c0a38e9639,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"A fine morning is upon us, soldiers!","Ein schöner Morgen liegt vor uns, Soldaten!",translate,translated,displayed-string,609058fdf163069845b3089cd2ee3d073140f57cc71ad25add51bcfdea7c652b
cffd446f83247402506d6ef1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_B_LoveLove_Bbb_d097_m010_010_0030,s13_B_LoveLove_Bbb_d097_m010_010_0030,protected,protected,resource-or-id,fde40cab3e979b2acedfbc6b68e149d7f69b5c43f28d8fb14b8a33f85b489cad
b9dde41d0f3860a4ce4537e9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"A fine morning is upon us, soldiers!","Ein schöner Morgen liegt vor uns, Soldaten!",translate,translated,displayed-string,609058fdf163069845b3089cd2ee3d073140f57cc71ad25add51bcfdea7c652b
c53922911a7c26b0bddca5df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,3,2,string 2,It's your 97th day of active service here at Last Defense Academy! A perfect morning to pray for humanity's great victory!,"Es ist euer 97. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Ein perfekter Morgen, um für den großen Sieg der Menschheit zu beten!",translate,translated,displayed-string,42f0a75f32dde4f04e2bcae78e5f8eec6ab64442037587e4df818dd70add2ecc
29ca5d55ad9ba20a87578d35,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_B_LoveLove_Bbb_d097_m010_010_0040,s13_B_LoveLove_Bbb_d097_m010_010_0040,protected,protected,resource-or-id,f3ced2b98ce7eb027fb8c2f857e1aae8a0b490c30c0f2b7e4daa0842b38d47cd
357e8135a317f20c33c168f0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,3,4,string 4,It's your 97th day of active service here at Last Defense Academy! A perfect morning to pray for humanity's great victory!,"Es ist euer 97. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Ein perfekter Morgen, um für den großen Sieg der Menschheit zu beten!",translate,translated,displayed-string,42f0a75f32dde4f04e2bcae78e5f8eec6ab64442037587e4df818dd70add2ecc
27fe3c7c2d2991ecfdb62510,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Just three days left until Day 100!,Nur noch drei Tage bis Tag 100!,translate,translated,displayed-string,6780c9791676867ce70af48bcca80d0542839c8aee29b7455e93d90bbc4a82c3
ba0f263ea3bf72f193fec9bf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s13_B_LoveLove_Bbb_d097_m010_010_0050,s13_B_LoveLove_Bbb_d097_m010_010_0050,protected,protected,resource-or-id,7b5be357c61e68a31f2ade9e13500a082ac93ce7ec832d22aa7d567fcda572c9
3aeb96851c328de77bcb4ab4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Just three days left until Day 100!,Nur noch drei Tage bis Tag 100!,translate,translated,displayed-string,6780c9791676867ce70af48bcca80d0542839c8aee29b7455e93d90bbc4a82c3
ec626d24c7e6808364869b61,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"Charge through the final, futile struggles of these vile and barbaric invaders, and lead the people of the complex into an age of happiness!","Beschuldigen Sie die letzten, sinnlosen Kämpfe dieser abscheulichen und barbarischen Invasoren und führen Sie die Menschen des Komplexes in ein Zeitalter des Glücks!",translate,translated,displayed-string,8e24a424ca81da5e6b8661b335ff6c88fdcf80ecd61438198073b1833dd466ee
6477cef15d9b596861df8c40,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s13_B_LoveLove_Bbb_d097_m010_010_0060,s13_B_LoveLove_Bbb_d097_m010_010_0060,protected,protected,resource-or-id,088c6cb563df00e3d4c3179dfad0b5f3cfc299665e47fbfd8a5f6c6405895e7e
09868370dfdb25fefac90722,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"Charge through the final, futile struggles of these vile and barbaric invaders, and lead the people of the complex into an age of happiness!","Beschuldigen Sie die letzten, sinnlosen Kämpfe dieser abscheulichen und barbarischen Invasoren und führen Sie die Menschen des Komplexes in ein Zeitalter des Glücks!",translate,translated,displayed-string,8e24a424ca81da5e6b8661b335ff6c88fdcf80ecd61438198073b1833dd466ee
6d84225f2101807061b45fb3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)It was happening again.},{fc(57e4f1)Es passierte wieder.},translate,translated,displayed-string:fc-repair,1adc5d80a03f37f67a0d3e4d145b8e0d750a98c6d1a71f9e1931f4ee002e7b62
9152b27984c05e243d636d44,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbb_d097_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)It was happening again.},{fc(57e4f1)Es passierte wieder.},translate,translated,displayed-string:fc-repair,1adc5d80a03f37f67a0d3e4d145b8e0d750a98c6d1a71f9e1931f4ee002e7b62
