cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
623d71002e5d00dd6a984517,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,1,2,string 2,Sir Takemaru? Were you not supposed to be attending to Sir Shouma?,"Sir Takemaru, sollten Sie sich nicht um Sir Shouma kümmern?",translate,translated,displayed-string,3cd8bb8f9cb8b82b4e62b405999b53e3ecc290a1a552b6e5a61e2356d58d20b7
0c22432f263e0d511606af5b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e67044b859da43e2550afaef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,1,4,string 4,Sir Takemaru? Were you not supposed to be attending to Sir Shouma?,"Sir Takemaru, sollten Sie sich nicht um Sir Shouma kümmern?",translate,translated,displayed-string,3cd8bb8f9cb8b82b4e62b405999b53e3ecc290a1a552b6e5a61e2356d58d20b7
1dec302fcb28ac8842790748,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,2,2,string 2,Yugamu took over.,Yugamu übernahm die Leitung.,translate,translated,displayed-string,04f88059a14195db98505b015dc52c01b7865fb4037974e702911da09bc1d486
f0dcc3862c2c4d220d48f725,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8626748263a8d5485f7d3533,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,2,4,string 4,Yugamu took over.,Yugamu übernahm die Leitung.,translate,translated,displayed-string,04f88059a14195db98505b015dc52c01b7865fb4037974e702911da09bc1d486
a34da01347c2703ce9acb845,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,3,2,string 2,"Shouma's still out cold, but he's physically fine now.","Shouma ist noch kalt, aber ihm geht es jetzt körperlich gut.",translate,translated,displayed-string,10e4ff312d76204f249ac09243d48c1744b04e038580b759e4698399f53fc72e
ba6d475d991521f72fe6f944,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f6fecd278bb46b0ee1c8327b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,3,4,string 4,"Shouma's still out cold, but he's physically fine now.","Shouma ist noch kalt, aber ihm geht es jetzt körperlich gut.",translate,translated,displayed-string,10e4ff312d76204f249ac09243d48c1744b04e038580b759e4698399f53fc72e
0f260070697aee42edfa2351,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_00_d027_m110_010.mbe/000_Sheet1.csv,4,2,string 2,I just don't understand why Kako would kill herself...,"Ich verstehe nur nicht, warum Kako sich umbringen würde...",translate,translated,displayed-string,82d4fc5a5e60ee09db8afac829407469bdc24559e552d0b0ef821cbe3ee07c63
