cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
61441a7e61a6cd1b0654e7e5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,2,string 2,"""Is it over...? There wasn't any commander""","""Ist es vorbei...? Es gab keinen Kommandanten""",translate,translated,displayed-string,1a014e734dfada0269a8221027acc6c5b0d069c93a5184ada74eafa5f656695d
67f58b98cf6838a71ddfc188,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6c025a8773e366bc74a8c1ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,4,string 4,"""Is it over...? There wasn't any commander""","""Ist es vorbei...? Es gab keinen Kommandanten""",translate,translated,displayed-string,1a014e734dfada0269a8221027acc6c5b0d069c93a5184ada74eafa5f656695d
d182a456dcdbc3b8c377567b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,2,string 2,"""It was all minions...""","""Es waren nur Lakaien...""",translate,translated,displayed-string,dbaa69361bb4277849dc337a973fbc369d827dd2936c777e4b3ce1a333bf45b7
7c1d666d8f12766371a5643f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
422c06d1db4b49074c63dffa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,4,string 4,"""It was all minions...""","""Es waren nur Lakaien...""",translate,translated,displayed-string,dbaa69361bb4277849dc337a973fbc369d827dd2936c777e4b3ce1a333bf45b7
265889bd0016428e2d4ab5e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,2,string 2,"""It is a shame we could not kill a commander...""","""Es ist eine Schande, dass wir einen Kommandanten nicht töten konnten...""",translate,translated,displayed-string,0f9dd3d7785b63fe16352bfe7f2aef872b79aab1c252df81537e0cb43ef5600b
8b531038b9a96b2ca4da1208,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d31492a8fcaee5dc60b165cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,4,string 4,"""It is a shame we could not kill a commander...""","""Es ist eine Schande, dass wir einen Kommandanten nicht töten konnten...""",translate,translated,displayed-string,0f9dd3d7785b63fe16352bfe7f2aef872b79aab1c252df81537e0cb43ef5600b
271dd5d764101dccb93fa886,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Well, we'd managed to pull through, so now we could finally take a breather...}","{fc(57e4f1)Nun, wir hatten es geschafft, durchzukommen, also konnten wir jetzt endlich einen Atemzug machen...}",translate,translated,displayed-string:fc-repair,04c89c7d3f803435bede413f2b829385b919ed7a46c11ab33f63218bcc4a51de
