cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f2f6a719cb8d72ee77d55815,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,1,2,string 2,Whew... I feel a little calmer in here.,Ich fühle mich hier etwas ruhiger.,translate,translated,displayed-string,bcec1fc473c64ba9ac2e07e17636f47b13b1ca7252d349b8748a340b09fd663f
60a799b273509a2613904997,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3975c5383c516e3ca9d622ae,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,1,4,string 4,Whew... I feel a little calmer in here.,Ich fühle mich hier etwas ruhiger.,translate,translated,displayed-string,bcec1fc473c64ba9ac2e07e17636f47b13b1ca7252d349b8748a340b09fd663f
1c1f97180dc94f29a4cce03a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I'd needed a change of scenery and found myself visiting the Leisure Lounge.},{fc(57e4f1)Ich brauchte eine Veränderung der Landschaft und fand mich in der Leisure Lounge zu besuchen.},translate,translated,displayed-string:fc-repair,6f77b16c7598705acb67ec0306890a26ee9021793ac0f5a5e712bdf6a1eb5e77
d2707b9c91c03e50cf3e97d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I'd needed a change of scenery and found myself visiting the Leisure Lounge.},{fc(57e4f1)Ich brauchte eine Veränderung der Landschaft und fand mich in der Leisure Lounge zu besuchen.},translate,translated,displayed-string:fc-repair,6f77b16c7598705acb67ec0306890a26ee9021793ac0f5a5e712bdf6a1eb5e77
573c085a1b387ec019e4e48a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"There's no one here... That's too bad, I was in the mood to talk to someone.","Es ist niemand hier... das ist schade, ich war in der Stimmung, mit jemandem zu reden.",translate,translated,displayed-string,e89a151dc3c0e2df0dd55f6f02bff55c90321bdf7ecd4e6f2ac8b4386bf97146
207894dfe7ab93f4df113c86,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bc50f2bd6c4d9b542b8769c2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"There's no one here... That's too bad, I was in the mood to talk to someone.","Es ist niemand hier... das ist schade, ich war in der Stimmung, mit jemandem zu reden.",translate,translated,displayed-string,e89a151dc3c0e2df0dd55f6f02bff55c90321bdf7ecd4e6f2ac8b4386bf97146
8ac6bd5997f32720bcb45928,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)I wasn't really sure what to do, so I sat on a chair by the side of the pool and gazed at the water for a while.}","{fc(57e4f1)Ich war mir nicht wirklich sicher, was ich tun sollte, also saß ich auf einem Stuhl an der Seite des Pools und schaute eine Weile auf das Wasser.}",translate,translated,displayed-string:fc-repair,72e65a92f74d06e96855e29675dbc5a2cc16d0a583b7bb4d332dc355e99e3ecc
2c1eb411361c7b103dbefea3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_00_d018_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)I wasn't really sure what to do, so I sat on a chair by the side of the pool and gazed at the water for a while.}","{fc(57e4f1)Ich war mir nicht wirklich sicher, was ich tun sollte, also saß ich auf einem Stuhl an der Seite des Pools und schaute eine Weile auf das Wasser.}",translate,translated,displayed-string:fc-repair,72e65a92f74d06e96855e29675dbc5a2cc16d0a583b7bb4d332dc355e99e3ecc
