cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
268fc6a18c6980447e54414a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,2,string 2,"What's the matter, Darumi? Did something happen?","Worum geht es, Darumi? Ist etwas geschehen?",translate,translated,displayed-string,314b603f4c38b9023732640e9c396e046a8a21985a69b18aae762c3a33dcf544
dc5bcfa85082cf1fdfcaa18d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
44e44d266ddeaa9958777b56,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,4,string 4,"What's the matter, Darumi? Did something happen?","Worum geht es, Darumi? Ist etwas geschehen?",translate,translated,displayed-string,314b603f4c38b9023732640e9c396e046a8a21985a69b18aae762c3a33dcf544
303a375c9a83dc1f9314032c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,2,string 2,I haven't been able to find my foundation all day... What am I gonna do...?,Ich konnte meine Stiftung nicht den ganzen Tag über finden... Was soll ich machen...?,translate,translated,displayed-string,49a73cd0e02abacfc9627fecd594080eef918f851766e16e10ca050144f687ba
aff9c9ef651aaae85c2ffe42,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
33095c81209dbea9ceaefa7a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,4,string 4,I haven't been able to find my foundation all day... What am I gonna do...?,Ich konnte meine Stiftung nicht den ganzen Tag über finden... Was soll ich machen...?,translate,translated,displayed-string,49a73cd0e02abacfc9627fecd594080eef918f851766e16e10ca050144f687ba
812e918e3ef64404e758d898,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,2,string 2,So you just lost something...,Also haben Sie einfach etwas verloren...,translate,translated,displayed-string,f57e8946991571fbd844d1e2776b6e4cde6a752d85cc6802b64e2dbd0a6fa826
f3e7c599c872da9f2b1ca54e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cc753e16761bf1585f40b435,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,4,string 4,So you just lost something...,Also haben Sie einfach etwas verloren...,translate,translated,displayed-string,f57e8946991571fbd844d1e2776b6e4cde6a752d85cc6802b64e2dbd0a6fa826
5a34029749726d5dffdbee67,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,2,string 2,It must be pretty expensive stuff for you to be this upset about it.,"Es muss ziemlich teuer sein, sich darüber aufzuregen.",translate,translated,displayed-string,f7e1518e2ef3927b3d2db1c0a5e8f60c0daab0ec4c70aec4cecb77535777f1f3
03f0002b03776f39d09f4d6f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
42a25d21e192695ac477994f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,4,string 4,It must be pretty expensive stuff for you to be this upset about it.,"Es muss ziemlich teuer sein, sich darüber aufzuregen.",translate,translated,displayed-string,f7e1518e2ef3927b3d2db1c0a5e8f60c0daab0ec4c70aec4cecb77535777f1f3
34213c70f1bf76ef9de12783,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,2,string 2,"Oh, no. It was dirt cheap, I bought it out of a bargain bin.","Oh, nein. Es war schmutzigbillig, ich kaufte es aus einem Schnäppchenpapier.",translate,translated,displayed-string,b60f8e26052ccc93a8533267040c2f5f66a876517f5ebd39ea96334f2b0f8317
ca8b90eaf3ccffe9bc1594f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e711ed27fdf242999b8f0c89,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,4,string 4,"Oh, no. It was dirt cheap, I bought it out of a bargain bin.","Oh, nein. Es war schmutzigbillig, ich kaufte es aus einem Schnäppchenpapier.",translate,translated,displayed-string,b60f8e26052ccc93a8533267040c2f5f66a876517f5ebd39ea96334f2b0f8317
947b39fe9463a7e2a71d7355,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,2,string 2,Then why are you crying so hard?!,Warum weinen Sie dann so sehr?!,translate,translated,displayed-string,445fd24e626e48ee727a469238922cb936d0cf789ac1bfe9d3b0c436453989f5
c02fe4481e013b86a211e693,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b6a1f12f1a4af13a4594329c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,4,string 4,Then why are you crying so hard?!,Warum weinen Sie dann so sehr?!,translate,translated,displayed-string,445fd24e626e48ee727a469238922cb936d0cf789ac1bfe9d3b0c436453989f5
451b935e9113fcbb982605b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,2,string 2,"Well... I just wanted to cry, okay...","Naja... ich wollte nur weinen, okay...",translate,translated,displayed-string,6deecddfb7dbb4179416ebd51c5c0df525d874cbcee2008a6d5dc4ebe76bd5b4
ca9819681c9ab2cbeb9989fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9cba9059877b61e33465751c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,4,string 4,"Well... I just wanted to cry, okay...","Naja... ich wollte nur weinen, okay...",translate,translated,displayed-string,6deecddfb7dbb4179416ebd51c5c0df525d874cbcee2008a6d5dc4ebe76bd5b4
7f89e21b0cca23e49a4f3124,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,2,string 2,"I'm depressed, I wanna cry, and I can't find my foundation. That's as good a reason as any to cry.","Ich bin deprimiert, ich will weinen und kann meine Grundlage nicht finden. Das ist ein ebenso guter Grund wie jeder zu weinen zu weinen.",translate,translated,displayed-string,69000000ebb2aeb4bc99e7b58237fbdf60d30ac3a7c46e47ef00e08c47ded9b0
3b357bbcaeb11660f8a1d71f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c5998bd6f6a6b4f113068bd1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,4,string 4,"I'm depressed, I wanna cry, and I can't find my foundation. That's as good a reason as any to cry.","Ich bin deprimiert, ich will weinen und kann meine Grundlage nicht finden. Das ist ein ebenso guter Grund wie jeder zu weinen zu weinen.",translate,translated,displayed-string,69000000ebb2aeb4bc99e7b58237fbdf60d30ac3a7c46e47ef00e08c47ded9b0
1a32ed845d7d47d5be2ba01a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,9,2,string 2,That's all.,Das ist alles.,translate,translated,displayed-string,d9cea145f00dcf4829d0da97149f38237bbe8bd376754f07ea874211d00a470e
873291b7cfdf1714c5cd7602,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
472f62e506d0d58fde71133b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,9,4,string 4,That's all.,Das ist alles.,translate,translated,displayed-string,d9cea145f00dcf4829d0da97149f38237bbe8bd376754f07ea874211d00a470e
2183bf51f1dfd401b3c7676a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,10,2,string 2,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
1fbc5bc7bb94e3333a9ba108,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e867dac50587cfbb16fce80d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,10,4,string 4,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
caa86bcd731398e15599b650,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,11,2,string 2,"You wouldn't get it, Takumi. Tears from a crazy bitch don't mean anything to you.","Du würdest es nicht verstehen, Takumi. Tränen von einer verrückten Hündin bedeuten dir nichts.",translate,translated,displayed-string,3ebd3e91ef10489354a7c1bddbec2880c626cec22855a8c5f189ebe9bd3faadf
494eb2b8f57755755d83d3cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
550c639fd1fdcd958cf70db1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,11,4,string 4,"You wouldn't get it, Takumi. Tears from a crazy bitch don't mean anything to you.","Du würdest es nicht verstehen, Takumi. Tränen von einer verrückten Hündin bedeuten dir nichts.",translate,translated,displayed-string,3ebd3e91ef10489354a7c1bddbec2880c626cec22855a8c5f189ebe9bd3faadf
