cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b809ddfca1eada6a4fb57108,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,1,2,string 2,Yeeeah! We killed that freakin' hag! V'ehxness is dead!,"Wir haben diese verdammte Hexe getötet, V'ehxness ist tot!",translate,translated,displayed-string,a9efcb1e97e817b91c3f1c8434cc9f71fefb0a84f9b8b5e662d408d53efbd47e
57448242ef5048e2ecf723cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fca32ca731d9060434729d7c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,1,4,string 4,Yeeeah! We killed that freakin' hag! V'ehxness is dead!,"Wir haben diese verdammte Hexe getötet, V'ehxness ist tot!",translate,translated,displayed-string,a9efcb1e97e817b91c3f1c8434cc9f71fefb0a84f9b8b5e662d408d53efbd47e
db897d6255cbfe9d5e0d75d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,2,2,string 2,"Eat shit, you stupid bitch!","Iss Scheiße, du blöde Schlampe!",translate,translated,displayed-string,7272a20f6bb2e99e2da62471a74f18dd1a73da78205c46011d3a5f853fba0530
3705b09cab4a4afab9145b0f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
194bf4653fe2f27e0ed4484c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,2,4,string 4,"Eat shit, you stupid bitch!","Iss Scheiße, du blöde Schlampe!",translate,translated,displayed-string,7272a20f6bb2e99e2da62471a74f18dd1a73da78205c46011d3a5f853fba0530
743c8ad0d7a838b1ca478525,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,3,2,string 2,We won... We won?!,Wir haben gewonnen... Wir haben gewonnen?!,translate,translated,displayed-string,f60dfada60f58ddf72aaff6e79f86c48cb147a0b5d2b51b604f9b080b2a00360
27f9b08685f964f52b9b3eb8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6915548f69b6b0541290ec0f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,3,4,string 4,We won... We won?!,Wir haben gewonnen... Wir haben gewonnen?!,translate,translated,displayed-string,f60dfada60f58ddf72aaff6e79f86c48cb147a0b5d2b51b604f9b080b2a00360
d59601da7ba01bc1cef9093b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m060_010.mbe/000_Sheet1.csv,4,2,string 2,Yeah...,"Ja, das ist gut.",translate,translated,displayed-string,08a70054f59e703ae5ee2bb185ba6951a0ee7e3798cd17e527fbf15e8bc6a586
