cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5ebaa3077845d7a2170ba81e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 3,Tag 3,translate,translated,displayed-string,6550bd3879c576334d4c76807b4c46ed35c119d7f1b70a7d45c9a4f95f82fc70
a789e63d1c304f7cd00a12a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
aabf924f3702d9f84e13000f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 3,Tag 3,translate,translated,displayed-string,6550bd3879c576334d4c76807b4c46ed35c119d7f1b70a7d45c9a4f95f82fc70
11f93b57e4ebcebb35c75d0d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
611292f1827269bf561b1feb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_0_SpCmDeSu_00_d003_m010_010_0030,s14_0_SpCmDeSu_00_d003_m010_010_0030,protected,protected,resource-or-id,a01e543044995a25c64672ca434998c000683405d04b6ffdfd7e1a9503f57e01
97b958eaf3d4b770077d616d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
141f42307c1bb6f7fdf4e322,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your third day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren dritten aktiven Diensttag hier an der Last Defense Academy!,translate,translated,displayed-string,71654d6e8965ac71b6cec82544da1500072986432347040a76b86b2b7a556785
7503fba26071a8e691cb3230,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_0_SpCmDeSu_00_d003_m010_010_0040,s14_0_SpCmDeSu_00_d003_m010_010_0040,protected,protected,resource-or-id,7e47ae173862eeb32ae56e2657fdf670c926fb546ca3e90244b5655d8969de78
ba498a1dc4cda6c3f4673ef4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your third day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren dritten aktiven Diensttag hier an der Last Defense Academy!,translate,translated,displayed-string,71654d6e8965ac71b6cec82544da1500072986432347040a76b86b2b7a556785
6310232bd30415d89aaebcfa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
e96181920bc053c51b0dc35c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_0_SpCmDeSu_00_d003_m010_010_0050,s14_0_SpCmDeSu_00_d003_m010_010_0050,protected,protected,resource-or-id,282fd6b22abc0e3448fed350edf51c51682dc16833583ee322feecea1f22cfb3
bc295cebe655bb46252577a9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
784f50cff8c0e68efb30c636,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
53191b84d94d4e52ceb117e1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s14_0_SpCmDeSu_00_d003_m010_010_0060,s14_0_SpCmDeSu_00_d003_m010_010_0060,protected,protected,resource-or-id,1d5e470a27d85bfaa11e7a64bc42120c9ce52b9144bfb84e14f016feb424c6d3
4df250dcd45852a8ff640051,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
f24eab70489347a386ecfe8a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"Takumi, what the hell, man?! Why did you... Eito... He...","Takumi, was zum Teufel, Mann?! Warum hast du...",translate,translated,displayed-string,ab7e66f49991e00a4d200181bbe0ed3b9591945522ac49dcaf7fc3add37b9484
b1afd3e3745617803d600dd2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"Takumi, what the hell, man?! Why did you... Eito... He...","Takumi, was zum Teufel, Mann?! Warum hast du...",translate,translated,displayed-string,ab7e66f49991e00a4d200181bbe0ed3b9591945522ac49dcaf7fc3add37b9484
114eda7c496695a068239041,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Everyone's cold eyes pierced through me as I stepped into the Cafeteria. They were all staring at me suspiciously.},"{fc(57e4f1)Alle kalten Augen durchbohrten mich, als ich in die Cafeteria trat. Sie starrten mich alle misstrauisch an.}",translate,translated,displayed-string:fc-repair,ef579634b4bd274a7c7aa74c882a9f10386c583f092ec13b19065e694f1badcc
4b2a7292b245cb57a445b211,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Everyone's cold eyes pierced through me as I stepped into the Cafeteria. They were all staring at me suspiciously.},"{fc(57e4f1)Alle kalten Augen durchbohrten mich, als ich in die Cafeteria trat. Sie starrten mich alle misstrauisch an.}",translate,translated,displayed-string:fc-repair,ef579634b4bd274a7c7aa74c882a9f10386c583f092ec13b19065e694f1badcc
ddec5460883c395f61c1e2a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,8,2,string 2,We all saw the body in the Gym.,Wir haben alle die Leiche im Gym gesehen.,translate,translated,displayed-string,49fd81232616396b80557d9b5426f9daf46d8b67f6849ea25f1d57d9ecc2a49d
d235bd25d084f3b70af3cf62,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f4a41facdfedc3e9407ac11b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,8,4,string 4,We all saw the body in the Gym.,Wir haben alle die Leiche im Gym gesehen.,translate,translated,displayed-string,49fd81232616396b80557d9b5426f9daf46d8b67f6849ea25f1d57d9ecc2a49d
406c1c0decd0a4afa3613df1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,9,2,string 2,And then Sirei showed up...,Und dann tauchte Sirei auf...,translate,translated,displayed-string,a54b917e8ef72f6f9e8cbdd868cee952b46b4c58c74af6354f57141f27343a1c
f4e77b6c4ef9949208fa267a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
03ad01894f6c5a2123581f1a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,9,4,string 4,And then Sirei showed up...,Und dann tauchte Sirei auf...,translate,translated,displayed-string,a54b917e8ef72f6f9e8cbdd868cee952b46b4c58c74af6354f57141f27343a1c
df4117769c2aba0b9f83afaf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,10,2,string 2,"Right, I explained what happened to everyone.","Richtig, ich habe erklärt, was mit jedem passiert ist.",translate,translated,displayed-string,d0ae4fd4e44ac618ac28c0f48feeb2514c1b9e36832218a407689a8d19abf1a4
b700cf920e29a220e04bdba1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b235a0801b89c2e35cd7f4a7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,10,4,string 4,"Right, I explained what happened to everyone.","Richtig, ich habe erklärt, was mit jedem passiert ist.",translate,translated,displayed-string,d0ae4fd4e44ac618ac28c0f48feeb2514c1b9e36832218a407689a8d19abf1a4
252e14c76c773f914a7696ce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,11,2,string 2,I told them that you came back from the future. I told them Eito was abnormal and that he tried to destroy me last night...,"Ich sagte ihnen, dass du aus der Zukunft zurückgekommen bist, dass Eito abnormal ist und dass er versucht hat, mich letzte Nacht zu zerstören.",translate,translated,displayed-string,e17845ea5b4dfec99132ccf5d45e276a1f264bdffbcf4f3c498d13d764c16617
20b0789fab5760c67e30ebbe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8713b975b607011ff222e961,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,11,4,string 4,I told them that you came back from the future. I told them Eito was abnormal and that he tried to destroy me last night...,"Ich sagte ihnen, dass du aus der Zukunft zurückgekommen bist, dass Eito abnormal ist und dass er versucht hat, mich letzte Nacht zu zerstören.",translate,translated,displayed-string,e17845ea5b4dfec99132ccf5d45e276a1f264bdffbcf4f3c498d13d764c16617
38772ca71158a382ddb3b4f1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,12,2,string 2,I told them everything. But they seem reluctant to believe me...,"Ich habe ihnen alles erzählt, aber sie scheinen mir nicht zu glauben.",translate,translated,displayed-string,e3c80948a99cbadb868630ad05a7c6d2c8c5c35e4c0e5d33a041cda511a7de62
0364dc9b9692437a80ee85f0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_0_spcmdesu_00_d003_m010_010.mbe/000_Sheet1.csv,12,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
