cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
34ba75f7eeeb66a0d4addb9e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(cfff3f)*ding dong, bing bong*}","{fc(cfff3f)*Bing Dong, Bing Bong*}",translate,translated,displayed-string:fc-repair,8116ab83568f9939a29e9d87e337fb73a2cb76fd57dc2f4304ee2d381d8a8acf
f4c6724f8fb03d8495d6b0cf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(cfff3f)*ding dong, bing bong*}","{fc(cfff3f)*Bing Dong, Bing Bong*}",translate,translated,displayed-string:fc-repair,8116ab83568f9939a29e9d87e337fb73a2cb76fd57dc2f4304ee2d381d8a8acf
5b0bc6731b5e561e3d3f1068,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,2,2,string 2,"At ease, soldiers. It's time to hit the hay.","Rührt euch, Soldaten. Es ist Zeit, ins Bett zu gehen.",translate,translated,displayed-string,3103a43ec7530cc738e22475a0eb3291fe5f2b1f379a38f92feafb27217fd6e3
65c07fc94e5a2277a7f6c624,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_B_ComedyRt_Ba_d084_m040_010_0020,s14_B_ComedyRt_Ba_d084_m040_010_0020,protected,protected,resource-or-id,78ea44cfbf5385d3374cd3a3333ba828546273e139f76178619f2785b0d288a9
b55f1f7862fe0461f9e78016,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,2,4,string 4,"At ease, soldiers. It's time to hit the hay.","Rührt euch, Soldaten. Es ist Zeit, ins Bett zu gehen.",translate,translated,displayed-string,3103a43ec7530cc738e22475a0eb3291fe5f2b1f379a38f92feafb27217fd6e3
b47f9d0550423ac187a1ef85,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"Another day of fine work, everyone. You've done well, for each other and for humanity.","Ein weiterer Tag der guten Arbeit, alle. Sie haben gut gemacht, füreinander und für die Menschheit.",translate,translated,displayed-string,d3cf6a03a40a42fb6d5a1ba9784d482d423192dd5e83f37f53aa249d165c76a1
bcaea5c15146cc329f553829,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_B_ComedyRt_Ba_d084_m040_010_0030,s14_B_ComedyRt_Ba_d084_m040_010_0030,protected,protected,resource-or-id,0c46fcb366409ef4793bb5314e80b7e06ec2b6547789baed10ad06cd6fbf01c8
b047ce363827372e6fcafa0f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"Another day of fine work, everyone. You've done well, for each other and for humanity.","Ein weiterer Tag der guten Arbeit, alle. Sie haben gut gemacht, füreinander und für die Menschheit.",translate,translated,displayed-string,d3cf6a03a40a42fb6d5a1ba9784d482d423192dd5e83f37f53aa249d165c76a1
3521827c003cb061a22705af,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"Get some shut-eye and take care. Well then, good night...","Schlaf dich aus und pass auf dich auf. Also dann, gute Nacht...",translate,translated,displayed-string,5a59eac247b24c5f24a3e77eb93d3372fe12f01186362573f181485ad0b0ac3b
6b9b7bc405d3dd28f102a4dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_B_ComedyRt_Ba_d084_m040_010_0040,s14_B_ComedyRt_Ba_d084_m040_010_0040,protected,protected,resource-or-id,1948047f643ee207960fd45babfb2a836d41c6f79bb3d18e42281103a918374e
f20cbf5cfa54eecc4664844f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"Get some shut-eye and take care. Well then, good night...","Schlaf dich aus und pass auf dich auf. Also dann, gute Nacht...",translate,translated,displayed-string,5a59eac247b24c5f24a3e77eb93d3372fe12f01186362573f181485ad0b0ac3b
d81f85df6a08caa760c60210,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,5,2,string 2,It's that time again already...,Es ist schon wieder so weit...,translate,translated,displayed-string,fe8ac602dfe530b218253cd48b4e48093812363b35210805ed7712a715b2a109
2e299e2b402c8293e4b33a04,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
08b7246ae881f2213f8fdeb5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,5,4,string 4,It's that time again already...,Es ist schon wieder so weit...,translate,translated,displayed-string,fe8ac602dfe530b218253cd48b4e48093812363b35210805ed7712a715b2a109
13a56c11c99d2cdb013e31d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,6,2,string 2,Staying up's not gonna help me. I'll just go right to bed.,"Aufstehen hilft mir nicht, ich gehe einfach ins Bett.",translate,translated,displayed-string,e680dc5cd1120ca4b4e7a6f7f7cf16f088af4bab6ad25eb44eb3e88a98fcc8c9
411e3c7747d7ca373a1fdcfc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d084_m040_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
