cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cc14e4e09a008b82cd04674b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,1,2,string 2,The real killer is...,Der wahre Mörder ist...,translate,translated,displayed-string,e561a0cc1e185d7f69aa69069114d0a80d1b880e114e0e3c150c3e93660cf4ae
73377c0028d3e8580fbe8abd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
58c2082461b7dade2a545fd1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,1,4,string 4,The real killer is...,Der wahre Mörder ist...,translate,translated,displayed-string,e561a0cc1e185d7f69aa69069114d0a80d1b880e114e0e3c150c3e93660cf4ae
95a8ba27c4798d4a294f0dec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,2,2,string 2,You! Ima Tsukumo!,"Du, Ima Tsukumo!",translate,translated,displayed-string,37524d67e46c665f786a840cd18e9290cbbc5954501d7dad16ce7637d7eaeb8e
0dec6430b4f56229b56c3d42,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f3789c38c87442c3d0330c3f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,2,4,string 4,You! Ima Tsukumo!,"Du, Ima Tsukumo!",translate,translated,displayed-string,37524d67e46c665f786a840cd18e9290cbbc5954501d7dad16ce7637d7eaeb8e
d29b77695e444467034a4d20,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"W-What are you talking about, Mr. Sumino? How in the world could I have even done that?","Wovon reden Sie, Mr. Sumino?",translate,translated,displayed-string,200f8fd3924abee9c58c60e29cef02e21996669bec7fce5645c29a82edf3f36e
b91e7a50611bc975dc1e63fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d7a3e19a742ef43e760cfa72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"W-What are you talking about, Mr. Sumino? How in the world could I have even done that?","Wovon reden Sie, Mr. Sumino?",translate,translated,displayed-string,200f8fd3924abee9c58c60e29cef02e21996669bec7fce5645c29a82edf3f36e
0cf6dee278c0e8c3de85b24a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_ba_d075_m010_010.mbe/000_Sheet1.csv,4,2,string 2,You! Takemaru Yakushiji!,"Du, nimm Maru Yakushiji!",translate,translated,displayed-string,b9b0ad237dcedb8226db9db76e56651fd444786f44c542f6a00d954d2cadf075
