cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f7afff53f602a2ecf6eb1199,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I opened the door to see who my visitor was.},"{fc(57e4f1)Ich öffnete die Tür, um zu sehen, wer mein Besucher war.}",translate,translated,displayed-string:fc-repair,21b4ad6aa436d0fc46adcadbc54c6df431824a3ac5e00fb851d275e31781a48c
eac9304dfd73ee448cff42b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I opened the door to see who my visitor was.},"{fc(57e4f1)Ich öffnete die Tür, um zu sehen, wer mein Besucher war.}",translate,translated,displayed-string:fc-repair,21b4ad6aa436d0fc46adcadbc54c6df431824a3ac5e00fb851d275e31781a48c
68bc267a919301b1a4099c42,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,2,2,string 2,Morning. Can we talk?,Können wir reden?,translate,translated,displayed-string,3b2f38f39e8322320ce3ac6838f3501141ce23ab9ead2396c71b43cbfded336f
c57172fe778ba1c762685d19,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
69d05cb0dd4c2db137009f07,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,2,4,string 4,Morning. Can we talk?,Können wir reden?,translate,translated,displayed-string,3b2f38f39e8322320ce3ac6838f3501141ce23ab9ead2396c71b43cbfded336f
657445e654fda39da5a12d4a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,3,2,string 2,Why aren't you in your cage?!,Warum bist du nicht in deinem Käfig?!,translate,translated,displayed-string,a2d3e7c33e4b44b316ff0fad5641089097c8175bd84541ea4aa3025ebe76cacd
62c8d1e8dd565c1118319d3b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
89a934fb00f3cfc38a68c5c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,3,4,string 4,Why aren't you in your cage?!,Warum bist du nicht in deinem Käfig?!,translate,translated,displayed-string,a2d3e7c33e4b44b316ff0fad5641089097c8175bd84541ea4aa3025ebe76cacd
5d59a29a2a6cbe89ffd55c9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,4,2,string 2,Didn't I tell you? I figured out how to escape that thing a long time ago.,"Ich habe vor langer Zeit herausgefunden, wie ich dem Ding entkommen kann.",translate,translated,displayed-string,45613e5a8840534f99710fef9ddb6e4321f5aa1936ef29ad0a3119c1d8eb0109
8464e7dfd256f68340f60d3c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0a2435cb0f6d83cbd1141ccb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,4,4,string 4,Didn't I tell you? I figured out how to escape that thing a long time ago.,"Ich habe vor langer Zeit herausgefunden, wie ich dem Ding entkommen kann.",translate,translated,displayed-string,45613e5a8840534f99710fef9ddb6e4321f5aa1936ef29ad0a3119c1d8eb0109
9a70effa67a1fc79b16293be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,5,2,string 2,I rang the doorbell like a good boy. I wouldn't have done that if I was planning to attack you.,"Ich klingelte wie ein guter Junge und hätte das nicht getan, wenn ich dich angreifen wollte.",translate,translated,displayed-string,cf3d9ca4d89400dad044c2cc40676caa4c7f76ee64a634a17d4715b9c620fa4c
7dde6529cb86ab95d7cf2da8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
419b9f3dc68df49f3b6641b8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,5,4,string 4,I rang the doorbell like a good boy. I wouldn't have done that if I was planning to attack you.,"Ich klingelte wie ein guter Junge und hätte das nicht getan, wenn ich dich angreifen wollte.",translate,translated,displayed-string,cf3d9ca4d89400dad044c2cc40676caa4c7f76ee64a634a17d4715b9c620fa4c
d70ff910e2c4b12d7237aa15,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Did he really think I'd trust someone who nonchalantly broke out of jail like that?},"{fc(57e4f1)Dachte er wirklich, ich würde jemandem trauen, der so nonchalant aus dem Gefängnis ausgebrochen ist?}",translate,translated,displayed-string:fc-repair,6a8bed885871f04adcf81efd7b3271f1403dd663b4fb55a9c6abc5c66f050e7b
549bc1a0ddce1885c7a4a452,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3aab79d4ef40c2f7a32f941f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Did he really think I'd trust someone who nonchalantly broke out of jail like that?},"{fc(57e4f1)Dachte er wirklich, ich würde jemandem trauen, der so nonchalant aus dem Gefängnis ausgebrochen ist?}",translate,translated,displayed-string:fc-repair,6a8bed885871f04adcf81efd7b3271f1403dd663b4fb55a9c6abc5c66f050e7b
2f2e32decf5f4adbd0b6d22f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,7,2,string 2,Whatever... So what do you want?,Was willst du?,translate,translated,displayed-string,7de1bf8bf8bd021aec7bb0c54e528c939258ec77fff28e8f7827a69a57043e29
016a54b7aec58ad4c0cb5c7f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
40f4bb5fe86fc954f1bc70c4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,7,4,string 4,Whatever... So what do you want?,Was willst du?,translate,translated,displayed-string,7de1bf8bf8bd021aec7bb0c54e528c939258ec77fff28e8f7827a69a57043e29
11a803e3d611077234af5551,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,8,2,string 2,"Yes, about that...","Ja, deswegen...",translate,translated,displayed-string,144757039f50c9ba1f3dd5b6a3216acbb95ebd4c28f8643c8554779008e04b18
72f2da736490680ec4d0ce8f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7f647e5efea5b8c9fca751ee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,8,4,string 4,"Yes, about that...","Ja, deswegen...",translate,translated,displayed-string,144757039f50c9ba1f3dd5b6a3216acbb95ebd4c28f8643c8554779008e04b18
0c4b7d1d565d80963d4fcdb0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,9,2,string 2,I'd like to ask you to consider letting me rejoin the team.,"Ich möchte Sie bitten, mich wieder ins Team einladen zu lassen.",translate,translated,displayed-string,02052047b89843dde021cfd2eba18f5b36fcf74f5337104a1914ea54ab06954b
71d2dc39751f0ebb216989f1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
01f855fd45d74b9b778b402f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,9,4,string 4,I'd like to ask you to consider letting me rejoin the team.,"Ich möchte Sie bitten, mich wieder ins Team einladen zu lassen.",translate,translated,displayed-string,02052047b89843dde021cfd2eba18f5b36fcf74f5337104a1914ea54ab06954b
c4fe0471dabe52f91e8dc50e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,10,2,string 2,You?! You've got to be kidding!,Du?! Du machst wohl Witze!,translate,translated,displayed-string,3ea0ebc5521462f7c096029c088436cdba306588e1cb54785bffa085550cee7f
acf5a96a51a0b422d2ce4f1c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dc9c50dab37f7c22acc6a77d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_00_d078_m010_020.mbe/000_Sheet1.csv,10,4,string 4,You?! You've got to be kidding!,Du?! Du machst wohl Witze!,translate,translated,displayed-string,3ea0ebc5521462f7c096029c088436cdba306588e1cb54785bffa085550cee7f
