cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
51ff3aec2848701483cd0010,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)As instructed by Sirei, I made my way to the Schoolyard that evening.}","{fc(57e4f1)Wie Sirei es lehrte, machte ich mich an jenem Abend auf den Weg zum Schulhof.}",translate,translated,displayed-string:fc-repair,070897dc7352d3b0729b81474987b5a88e38baa55d6b7ab3ec7e13aac31ab334
1626607ed7251bea843c28d7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)As instructed by Sirei, I made my way to the Schoolyard that evening.}","{fc(57e4f1)Wie Sirei es lehrte, machte ich mich an jenem Abend auf den Weg zum Schulhof.}",translate,translated,displayed-string:fc-repair,070897dc7352d3b0729b81474987b5a88e38baa55d6b7ab3ec7e13aac31ab334
6f6ec7f4d7c54ba9eed9bdcd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Everyone else was already there.},{fc(57e4f1)Alle anderen waren schon da.},translate,translated,displayed-string:fc-repair,bcdce124b8ce83ab5e59a7f17861f194a17b250e4ab85682c226d044a325e3aa
887287d812bbe17c72ddc103,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Everyone else was already there.},{fc(57e4f1)Alle anderen waren schon da.},translate,translated,displayed-string:fc-repair,bcdce124b8ce83ab5e59a7f17861f194a17b250e4ab85682c226d044a325e3aa
f092bf3b3f2de4fa80363408,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Their expressions were stiff, no doubt understanding the seriousness of Sirei's announcement.}","{fc(57e4f1)Ihre Äußerungen waren steif, ohne Zweifel verstanden sie die Ernsthaftigkeit von Sireis Ankündigung.}",translate,translated,displayed-string:fc-repair,447e7f50b9e589da32bd40d0fcb09cd41631330cb6bf646e61a2c304c21a3cba
8b707db8a69e9b76ea95f737,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Their expressions were stiff, no doubt understanding the seriousness of Sirei's announcement.}","{fc(57e4f1)Ihre Äußerungen waren steif, ohne Zweifel verstanden sie die Ernsthaftigkeit von Sireis Ankündigung.}",translate,translated,displayed-string:fc-repair,447e7f50b9e589da32bd40d0fcb09cd41631330cb6bf646e61a2c304c21a3cba
bcfaf0b57f93a831ad39a33d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,4,2,string 2,"We're all here, then.",Dann sind wir alle hier.,translate,translated,displayed-string,fcffdcb1be86a7e21aa66c2a5bd7c21048fbd83ac251bccfcb1c9ed597651df9
0c57a25dfe99fe165188bb4b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
af58db0476584473143a0451,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,4,4,string 4,"We're all here, then.",Dann sind wir alle hier.,translate,translated,displayed-string,fcffdcb1be86a7e21aa66c2a5bd7c21048fbd83ac251bccfcb1c9ed597651df9
d2c35bb5d5af08f662a646c5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m050_010.mbe/000_Sheet1.csv,5,2,string 2,Ain't nobody who would ignore an announcement like that.,Niemand würde so eine Ankündigung ignorieren.,translate,translated,displayed-string,72481bb28b30b2e88b661a5881da4524b15713c78b9c835992d21bb0fc402fa2
