cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8bb6f858e890f91680216aef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 82,Tag 82,translate,translated,displayed-string,a516adbce8942d09e51d5c2a5099f0d76ce475fa3d47735906fab4b6334c94a2
0e9398a03091fc9e2455ba0b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
04256165bda19328183c6869,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 82,Tag 82,translate,translated,displayed-string,a516adbce8942d09e51d5c2a5099f0d76ce475fa3d47735906fab4b6334c94a2
002df31280bf39281c662795,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
89417872efa546f2fdaf6c9a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s03_0_DokusaiR_00_d082_m010_010_0030,s03_0_DokusaiR_00_d082_m010_010_0030,protected,protected,resource-or-id,ff0fdca699508e86cf850ee19e0767156c83f988b7bc8020f960c1067af43d8e
eda829226bd5e67333759a1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
05b6ee2103c3dcbb61fe2fc1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your...82nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren...82. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,7377c026a8d578a166ce02edf394f42935f6147a6f6d6b6355d9c9c189b723d6
baba3dd03309ecaaa7af8c96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s03_0_DokusaiR_00_d082_m010_010_0040,s03_0_DokusaiR_00_d082_m010_010_0040,protected,protected,resource-or-id,5e109a8eedfe14fea806f22cd7fe182277c884e6febc3818f60bae1881b551c2
6e211bf9c0973fe4abd50dc6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your...82nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren...82. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,7377c026a8d578a166ce02edf394f42935f6147a6f6d6b6355d9c9c189b723d6
aa6f9d7fd22a6b4be3f4fb1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
da735086fc8fe8fab9fc2432,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s03_0_DokusaiR_00_d082_m010_010_0050,s03_0_DokusaiR_00_d082_m010_010_0050,protected,protected,resource-or-id,e711eb83e1e62f24e545e3a76fc262aa599eea9a8681b69aedcd8b5fce2a9f22
1d26af66ef6d4b8f004b3f83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
11b976b9c90fe7853311a2cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
6b08f0c5c8f0423970d613e9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s03_0_DokusaiR_00_d082_m010_010_0060,s03_0_DokusaiR_00_d082_m010_010_0060,protected,protected,resource-or-id,9fc76cac8376b31a3e140dfc49634b4cb17a1677b7fc874f21c67a93c3a83271
a9c464e68e6917fdd5085068,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
f4866c5e6b16af45588fad50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Today was the day we were going to explore outside the Wall of Fire.},"{fc(57e4f1)Heute war der Tag, an dem wir außerhalb der Feuermauer erkunden wollten.}",translate,translated,displayed-string:fc-repair,edeb910d62122e5abcf8926cb7c848d27d6c029709a01af5818ce04a401512c3
05a6046fb58ac0e291e013ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Today was the day we were going to explore outside the Wall of Fire.},"{fc(57e4f1)Heute war der Tag, an dem wir außerhalb der Feuermauer erkunden wollten.}",translate,translated,displayed-string:fc-repair,edeb910d62122e5abcf8926cb7c848d27d6c029709a01af5818ce04a401512c3
b8d9b7dc3040042c40c1045c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)We would make contact with the Futurans and find a path that will lead to a future without war!},"{fc(57e4f1)Wir würden Kontakt zu den Futuranern aufnehmen und einen Weg finden, der in eine Zukunft ohne Krieg führt!}",translate,translated,displayed-string:fc-repair,93817de29ae25e17d9134cb0d7051e346a18e37738e396146e40e67d6ad4f37d
4c58983425cdbba1bfc3e3f6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_00_d082_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)We would make contact with the Futurans and find a path that will lead to a future without war!},"{fc(57e4f1)Wir würden Kontakt zu den Futuranern aufnehmen und einen Weg finden, der in eine Zukunft ohne Krieg führt!}",translate,translated,displayed-string:fc-repair,93817de29ae25e17d9134cb0d7051e346a18e37738e396146e40e67d6ad4f37d
