cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e84533aa2f84765014d70713,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,1,1,string 1, {fc(67ffe0)Unlock Attack Potion}, {fc(67ffe0)Angriffstrank entsperren},translate,translated,displayed-string:fc-repair,802248263b5f519b6f0490d81dcd2d7dd973c784ef18da2923669980973f6553
e6130482878d3ac58650a857,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,2,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
28805ee22b029668193784ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,3,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
6095baa1503074f2554f034c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,4,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
25e9731b788092542f965c61,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,5,1,string 1, {fc(67ffe0)User → Area}, {fc(67ffe0)Benutzer → Bereich},translate,translated,displayed-string:fc-repair,1cea45ec8b3210c31b612ea1c26e3dd3c1b4180dbc709166cf225d21b0939f92
110eb99629901e6068d0ea35,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,6,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
4f9bc369408b5fd803834d6b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,7,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
b2171161c51c1d28a61b287d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,8,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
39eefba4f4426765f2545c97,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,9,1,string 1, {fc(67ffe0)Max Uses +1}, {fc(67ffe0)Maximale Verwendung +1},translate,translated,displayed-string:fc-repair,6f55571889a7c8b4579645aef66dd29f2477d0dfed259911c76f28bb43906872
82cb61862e5c473dc51c5143,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_text.mbe/000_shop_drug_upgrade_text.csv,10,1,string 1, {fc(67ffe0)Attack +1}, {fc(67ffe0)Angriff +1},translate,translated,displayed-string:fc-repair,2c29715419fa45b1d514b5fb738b5f7afce4d66a2aa2b41efecf4959013f21c9
