cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d4f5a94d3c5eb5f4047c81e9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,1,2,string 2,I like all three of them.,Ich mag alle drei.,translate,translated,displayed-string,2f52216daa8b9cd4d23162d69503a8dbcc6b162ff86efac8a5729c8859f64b74
2c58662d12764f59343c4799,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3b984f6a9525a1ad2d942ecf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,1,4,string 4,I like all three of them.,Ich mag alle drei.,translate,translated,displayed-string,2f52216daa8b9cd4d23162d69503a8dbcc6b162ff86efac8a5729c8859f64b74
7500dcad9cf20f949f120d5b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
459e6d04a1b9b5d233d6864b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9132609580b7aeaa61f337a7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
2af6598023e8a9faed76b972,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,3,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
d64985160eb845a91342617c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8d75aa2c11dc67b272560647,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,3,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
534f590cf2edf8d034b4a11d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbab_d098_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Excuse me?,Wie bitte?,translate,translated,displayed-string,444dfbc70a0f53b41bde8a5ba90babecc6d83f2f7340bd2c96ac6d92061b090c
