cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
252a425d15085469a8f7308d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,1,2,string 2,"I'll try reading this book today. ""Literary History of the Tokyo Residential Complex.""","Ich werde versuchen, dieses Buch heute zu lesen. ""Literarische Geschichte des Tokyo Residential Complex.""",translate,translated,displayed-string,9a9921222d3aceacf9bb688b3d78393f3115fed1293691eea7e815d319e94a1b
f430619c49445d302fa26956,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0d8c1ef17c4f53d582e3b3cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,1,4,string 4,"I'll try reading this book today. ""Literary History of the Tokyo Residential Complex.""","Ich werde versuchen, dieses Buch heute zu lesen. ""Literarische Geschichte des Tokyo Residential Complex.""",translate,translated,displayed-string,9a9921222d3aceacf9bb688b3d78393f3115fed1293691eea7e815d319e94a1b
3b26c40adaa061fc47e65a31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,2,2,string 2,"""The Tokyo Residential Complex bookstores had rows of literary works from the Old World that were published before ■■■.""","""Die Tokyo Residential Complex Buchhandlungen hatten Reihen von literarischen Werken aus der Alten Welt, die vor ■·· veröffentlicht wurden.""",translate,translated,displayed-string,7f12e4e3738a1dd533dbb9dc8017bad1df6140ae4db70c4be87ec12f7fbb53c4
63d9abe11f1f3d61bd2f2815,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,2,4,string 4,"""The Tokyo Residential Complex bookstores had rows of literary works from the Old World that were published before ■■■.""","""Die Tokyo Residential Complex Buchhandlungen hatten Reihen von literarischen Werken aus der Alten Welt, die vor ■·· veröffentlicht wurden.""",translate,translated,displayed-string,7f12e4e3738a1dd533dbb9dc8017bad1df6140ae4db70c4be87ec12f7fbb53c4
854803e6b1fe3fb6a41cdf02,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,3,2,string 2,"""We were able to preserve works written by such literary masters as Soseki Natsume, Ryunosuke Akutagawa, and Yasunari Kawabata.""","""Wir konnten Werke von literarischen Meistern wie Soseki Natsume, Ryunosuke Akutagawa und Yasunari Kawabata bewahren.""",translate,translated,displayed-string,ed3d2718ef0c059d8697b57c740f293833ff5b8116fde8054eb56a455db5e3ff
cf72c934d7b584e68ae83b49,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,3,4,string 4,"""We were able to preserve works written by such literary masters as Soseki Natsume, Ryunosuke Akutagawa, and Yasunari Kawabata.""","""Wir konnten Werke von literarischen Meistern wie Soseki Natsume, Ryunosuke Akutagawa und Yasunari Kawabata bewahren.""",translate,translated,displayed-string,ed3d2718ef0c059d8697b57c740f293833ff5b8116fde8054eb56a455db5e3ff
5966aebc9ac89d4e23f10095,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,4,2,string 2,"""On the other hand, there are countless other works that have been lost.""","""Andererseits gibt es unzählige andere Werke, die verloren gegangen sind.""",translate,translated,displayed-string,b25a1a0ed457bf5abd444c257433c1ab875c60e7a635e9e3483bd0d77770c3e9
aa99a742b64d07dbbb63d770,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,4,4,string 4,"""On the other hand, there are countless other works that have been lost.""","""Andererseits gibt es unzählige andere Werke, die verloren gegangen sind.""",translate,translated,displayed-string,b25a1a0ed457bf5abd444c257433c1ab875c60e7a635e9e3483bd0d77770c3e9
31866d34d71a838d817e6d0d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,5,2,string 2,"""Historical novels are one example.""","""Historische Romane sind ein Beispiel.""",translate,translated,displayed-string,a4778684a3cec0c55fe07d9437aaa0fc0c4ad9aa90d5ccd0b22ffc97cc45d04c
965813037961f3e607e4cb59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,5,4,string 4,"""Historical novels are one example.""","""Historische Romane sind ein Beispiel.""",translate,translated,displayed-string,a4778684a3cec0c55fe07d9437aaa0fc0c4ad9aa90d5ccd0b22ffc97cc45d04c
4adb28bbadf459e4332100ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,6,2,string 2,"""Works based on both Japanese and international history have disappeared, along with the entire genre.""","""Arbeiten, die auf japanischer und internationaler Geschichte basieren, sind verschwunden, zusammen mit dem gesamten Genre.""",translate,translated,displayed-string,53dbbc19c32653ef9d6cc29f4ceefa02df1806026d6716ba41702f7a5fa32772
ef3ca9edd7381b14bedaa3e0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/gim_library_study_01_01.mbe/000_Sheet1.csv,6,4,string 4,"""Works based on both Japanese and international history have disappeared, along with the entire genre.""","""Arbeiten, die auf japanischer und internationaler Geschichte basieren, sind verschwunden, zusammen mit dem gesamten Genre.""",translate,translated,displayed-string,53dbbc19c32653ef9d6cc29f4ceefa02df1806026d6716ba41702f7a5fa32772
