cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5d41043adfa7b952b2a4dfb6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,1,2,string 2,"Reading again, Eito? What's the book for today?","Noch einmal lesen, Eito? Was ist das Buch für heute?",translate,translated,displayed-string,7381ab2f0ed7928fae5de06dba65eb9a0016647e8e84c5fabd99705b8dc2bbe4
71ed16c053045b5b26d80e25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
79dfcc5465b8432b4c3b5737,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,1,4,string 4,"Reading again, Eito? What's the book for today?","Noch einmal lesen, Eito? Was ist das Buch für heute?",translate,translated,displayed-string,7381ab2f0ed7928fae5de06dba65eb9a0016647e8e84c5fabd99705b8dc2bbe4
8f6f2438d0d6c02a2104377f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,2,2,string 2,It's a horror novel. And it's one of the scariest of all time.,Es ist ein Horrorroman und einer der furchteinflößendsten aller Zeiten.,translate,translated,displayed-string,fa922a1049beec2536e963fa481b7191ac8ef88cf883aca5d361b39817834575
f4d8efff8f3b390bdda9c574,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b9721b434fb6190fb64a4554,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,2,4,string 4,It's a horror novel. And it's one of the scariest of all time.,Es ist ein Horrorroman und einer der furchteinflößendsten aller Zeiten.,translate,translated,displayed-string,fa922a1049beec2536e963fa481b7191ac8ef88cf883aca5d361b39817834575
5ae14eb9d5de3bce8f04ecb8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,3,2,string 2,"Horror? I'm surprised, I didn't know you liked scary stories.","Horror? Ich bin überrascht, ich wusste nicht, dass Sie Gruselige Geschichten mögen.",translate,translated,displayed-string,99ce23b4a3738130c140d1d5f41bc03a01582ef64a13adf40cb4b17a78a45afb
cda14845165885774824dadb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
60adfe42f1850ced5c84e897,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,3,4,string 4,"Horror? I'm surprised, I didn't know you liked scary stories.","Horror? Ich bin überrascht, ich wusste nicht, dass Sie Gruselige Geschichten mögen.",translate,translated,displayed-string,99ce23b4a3738130c140d1d5f41bc03a01582ef64a13adf40cb4b17a78a45afb
8aabe3db19c70faf996c645d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,4,2,string 2,"Actually, horror terrifies me. But that's why I'm reading it.","Eigentlich macht mir der Horror Angst, aber deshalb lese ich ihn.",translate,translated,displayed-string,9585c409a0b2b7456024c188be04dadac5171db3202382b04a479a9be0872bb9
b0899921c44c24dfb0910759,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr005eito_05.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
