cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7d3c9078afb51fdbcd69766a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,1,2,string 2,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
7f4f8393c9ee822e21d29494,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,1,3,string2 3,s14_B_ComedyRt_A0_d051_m070_010_0020,s14_B_ComedyRt_A0_d051_m070_010_0020,protected,protected,resource-or-id,8272250d53a7111be7a1319b0c795ea5898dd5850466ad8af8ee78f20144fc79
6fdac7f5677c9240aa81b793,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,1,4,string 4,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
a8017b0c75506094fd10ff07,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,2,2,string 2,"You never know when the invaders might attack, so rest up while you still can.","Man weiß nie, wann die Invasoren angreifen könnten, also ruhen Sie sich aus, solange Sie es noch können.",translate,translated,displayed-string,3a86d16a8dba2e91e6acf13cc1e47bdef25c7a29c9b283f4fcbd24dda5bde979
f518102d0a9d1074490497b9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_B_ComedyRt_A0_d051_m070_010_0030,s14_B_ComedyRt_A0_d051_m070_010_0030,protected,protected,resource-or-id,13331d1fd4c52442c7045545f72fda08f6db8221a6cb44ec7139a71482e6e65b
71d8257b55e99825173ee526,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,2,4,string 4,"You never know when the invaders might attack, so rest up while you still can.","Man weiß nie, wann die Invasoren angreifen könnten, also ruhen Sie sich aus, solange Sie es noch können.",translate,translated,displayed-string,3a86d16a8dba2e91e6acf13cc1e47bdef25c7a29c9b283f4fcbd24dda5bde979
13f92ca879d6ec6273ec3d41,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,3,2,string 2,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
d557d94e562fff2d798c1e3f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_B_ComedyRt_A0_d051_m070_010_0040,s14_B_ComedyRt_A0_d051_m070_010_0040,protected,protected,resource-or-id,964c166aa7de00b8a05432fe9403de59fb1acd40b34efed76a516d88840f820d
3e2a97f4722215f25e95bed1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,3,4,string 4,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
9e7df63fdecd2043558fa2eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d051_m070_010.mbe/000_Sheet1.csv,4,2,string 2,"The note said I had until Day 52 to meet their request. Basically, the deadline's tomorrow morning.","Die Nachricht besagte, dass ich bis Tag 52 hatte, um ihren Antrag zu erfüllen.",translate,translated,displayed-string,a1a61c60f99e91773bd5ca06ee2d7bd7724667fc29ed870838ce5593c2152787
