cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
86d7e15747b526e59bb8b651,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 30,Tag 30,translate,translated,displayed-string,b1c49f1d110ca7c78e5077fd90b721aec8efaafdc4ce1e7d1fefa7564767a7ce
b007510df8378d79b7214458,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ec36c29601fc6f2c27d90f02,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 30,Tag 30,translate,translated,displayed-string,b1c49f1d110ca7c78e5077fd90b721aec8efaafdc4ce1e7d1fefa7564767a7ce
b4b23a512127d168c32165f9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
f117d384a462f16b46434141,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s12_0_FantasyR_00_d030_m010_010_0030,s12_0_FantasyR_00_d030_m010_010_0030,protected,protected,resource-or-id,afa68591ed83e4d4048d7e1fe87d5eb27dd671fc3e36b16046f8d67934a08c4b
10d69444dbe184ae88f9d038,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
67614913058ea14059798e50,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"As commanding officer responsible for this school and its students, I have an announcement to make.","Als befehlshabender Offizier, der für diese Schule und ihre Schüler verantwortlich ist, muss ich eine Ankündigung machen.",translate,translated,displayed-string,c9995bac56dbfce3306d75e4458be8492574676081036ef7651b812f391fc8a9
4a1bfda022c97713d986bd4c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s12_0_FantasyR_00_d030_m010_010_0040,s12_0_FantasyR_00_d030_m010_010_0040,protected,protected,resource-or-id,3820794daa7f41a81a69d8ef1e9f62ed39e06d8a2e3ef54e44808afbf75dc396
900bb0695124aebd12294373,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"As commanding officer responsible for this school and its students, I have an announcement to make.","Als befehlshabender Offizier, der für diese Schule und ihre Schüler verantwortlich ist, muss ich eine Ankündigung machen.",translate,translated,displayed-string,c9995bac56dbfce3306d75e4458be8492574676081036ef7651b812f391fc8a9
3cc08bcf70ce452a180a8fd9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_00_d030_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Get ready for your 30th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 30. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,5e360f3ec198bb0471635dd66f0cba6540c34b86198f344c75fc11c641351e8b
