cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
be2e758333bb44105fc220b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,1,1,string 1,Object A,Gegenstand A,translate,translated,displayed-string,20c7576542d1f00d3fef0866fde2058744c8f62a35aebd0dcab8c2aa9ff7b801
29ef9cd6589c87ddb97a645d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,2,1,string 1,Object B,Gegenstand B,translate,translated,displayed-string,47a428bbb78c408d67bf0490442279813e3f57b8beba18bd19a1a692b588d3e4
5183d7909e27317c908ae87a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,3,1,string 1,Object C,Gegenstand C,translate,translated,displayed-string,e69e76cb5974ebef8da87c5d19e2c8e37154fec073f822240e5668b9711b2688
83263e8f28c809960a685459,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,4,1,string 1,Object D,Gegenstand D,translate,translated,displayed-string,15edfd7c9c9b161cbbad8156cb1159c0e8aa3e0bad2766be3e504bc4943ce591
7d645ed885f25f4be32d8f35,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,5,1,string 1,Object E,Gegenstand E,translate,translated,displayed-string,0e1b3a93811ea50a6edb5858c0ffb2e12a72c2868c2ec494396768d97dd409b7
529ab9e0e748c38f7f703c02,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,6,1,string 1,Object F,Gegenstand F,translate,translated,displayed-string,8433ae6c9d86257194bf37cd8814bf6501f9b135c01c30bc6ac50b57fa68c9b0
f8c97b958408654411cf8058,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,7,1,string 1,Object G,Gegenstand G,translate,translated,displayed-string,d0cdc627db81d88d11eb22d0985ec2c80e9f8cc7d38228c989d40cbea96c1d1f
42cf0f735fb460aeb33f97b7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,8,1,string 1,Object H,Gegenstand H,translate,translated,displayed-string,5f272c8b58f12ce583b37d98cb6092abfb2f61dc87405a461e95f07cce4f33b6
5fa0b31730aded6e672e7cc0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,9,1,string 1,Object I,Gegenstand I,translate,translated,displayed-string,1de481dfbcb79eafeada097a9e64f6f75cb81af7bf565ea6b7e5e67e3bb24fb6
59e2bdfe06afc74c703434b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,10,1,string 1,Develop Trap,Fallen entwickeln,translate,translated,displayed-string,11fc0732fc7368a1d1bc1f760a7b9809145dba07fccd9c50fb153ae101588b5f
4dad16170e7933767d65207b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,11,1,string 1,Develop Enhancement,Verbesserung entwickeln,translate,translated,displayed-string,dbde207ac5e982b19ad7063eb72253725f19f77d02a0ba6b896b5714ca60f28a
6482d46bdb08f150b9dab3bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,12,1,string 1,Upgrade Class Weapon,Upgrade-Klasse Waffe,translate,translated,displayed-string,310f8d427d3e5d73962867482fd8eab385c15db7217ec296e4c3db715aaa5e65
97044b4043c5b725bdc072a0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,13,1,string 1,Fire Extinguisher,Feuerlöscher,translate,translated,displayed-string,849ad17781e13665caabdf27260fd3d929bbd3fb7e378a86e299c64bf86f9fe0
608d9ea76c0294e3c05376d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_object_name.mbe/000_field_object_name.csv,14,1,string 1,VR Training Machine,VR-Trainingsmaschine,translate,translated,displayed-string,a4b85253f6de3d9a7c1b113e0816a65be4d01b5ce715151036777f94525cf039
