cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b67f2d4dc8175baa52149198,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 92,Tag 92,translate,translated,displayed-string,30e9a0e1c2d1906c410ec7e70f8b82679264fa9fb664cd52ca99bec742835bd0
61a0a2a9faa8c28f8403dd92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1db14e3ac9c83befd7e91d28,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 92,Tag 92,translate,translated,displayed-string,30e9a0e1c2d1906c410ec7e70f8b82679264fa9fb664cd52ca99bec742835bd0
3c095348a3e354a46cdd88aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Several days passed...},{fc(57e4f1)Einige Tage vergingen...},translate,translated,displayed-string:fc-repair,d20008ffc2253f39f2b8fe75eb139ec92db8e8c4f8b2fa4b06d10889104fef1c
6d04d105865b8bb53c64e26f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Several days passed...},{fc(57e4f1)Einige Tage vergingen...},translate,translated,displayed-string:fc-repair,d20008ffc2253f39f2b8fe75eb139ec92db8e8c4f8b2fa4b06d10889104fef1c
7519546640a87c545ecf04d0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Up and at 'em, troops! Time to rise and shine! It's your 92nd day of active service here at Last Defense Academy!",Es ist dein 92. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie!,translate,translated,displayed-string,cd917ec738adecba3e7a87cd68f8bdc4acf7102e2691b32bceef7c8e73a076ed
f8855df334966dc928fa5468,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_Ba_d092_m010_010_0040,s09_A_BoukenRt_Ba_d092_m010_010_0040,protected,protected,resource-or-id,3400224cfdd8e4a4f7535fa7ce9db416b2872d2a249d0939f36895ff2f56fa46
665a68878202733bdfb0f5e9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Up and at 'em, troops! Time to rise and shine! It's your 92nd day of active service here at Last Defense Academy!",Es ist dein 92. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie!,translate,translated,displayed-string,cd917ec738adecba3e7a87cd68f8bdc4acf7102e2691b32bceef7c8e73a076ed
5e72bc7ca4a33dd127787e8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Overcome these last few days with the teamwork you've cultivated with your allies here along the way!,"Überwinde die letzten Tage mit der Teamarbeit, die du mit deinen Verbündeten hier auf dem Weg kultiviert hast!",translate,translated,displayed-string,e944f9391c44e6ecb9138bed619947e58ed0ab4fce4c6716901c70759460f4f6
24227eba2d677f7f5dce4ac9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s09_A_BoukenRt_Ba_d092_m010_010_0050,s09_A_BoukenRt_Ba_d092_m010_010_0050,protected,protected,resource-or-id,1379aa8f6f61aa38b3044d2f0b98b70fe7de477f79095cafb64ebdd8fcf66bd5
c958c2b128c372adbc164720,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d092_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Overcome these last few days with the teamwork you've cultivated with your allies here along the way!,"Überwinde die letzten Tage mit der Teamarbeit, die du mit deinen Verbündeten hier auf dem Weg kultiviert hast!",translate,translated,displayed-string,e944f9391c44e6ecb9138bed619947e58ed0ab4fce4c6716901c70759460f4f6
