cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3bc90baeaf82594e34cac4fb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 35,Tag 35,translate,translated,displayed-string,891607cdd95237678eb8fbe5e7744b789f87cbbd2989f7dbe44408976c9f0ba3
b5761c29d95311bda56d2dc7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f05e09af15ba9dab0ddee351,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 35,Tag 35,translate,translated,displayed-string,891607cdd95237678eb8fbe5e7744b789f87cbbd2989f7dbe44408976c9f0ba3
b473d0481cde022e4c466058,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
b4c59b2d0b1d48c742263f6a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s07_0_PanicxRt_Aa_d035_m010_010_0030,s07_0_PanicxRt_Aa_d035_m010_010_0030,protected,protected,resource-or-id,efc2ce2a17950685832e76d35e7d7c95202017b3a6c72856bde632a8a872d55a
731b49f9d090462c53f599ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
420d0b949381db103baaff82,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 35th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 35. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,dbbef5e02c84e8383371c9e2024c898d7dcaf6f3bb05f942ac339d500d3aaaa9
78727ceeae79e806a1b7e81c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s07_0_PanicxRt_Aa_d035_m010_010_0040,s07_0_PanicxRt_Aa_d035_m010_010_0040,protected,protected,resource-or-id,e78ef1a34d5669c463fdc54b6e64353431f182f9b22fda61c55f6049092e0ca9
52f3ad71ce561482c114ab2a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 35th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 35. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,dbbef5e02c84e8383371c9e2024c898d7dcaf6f3bb05f942ac339d500d3aaaa9
6c2faee38de3fc8f525ef557,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
e3f59268b522548e1450cf7c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aa_d035_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s07_0_PanicxRt_Aa_d035_m010_010_0050,s07_0_PanicxRt_Aa_d035_m010_010_0050,protected,protected,resource-or-id,577bdde6af00179713fb71db641a465a4b6bf158c23aa85670df54383447bc5b
