cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
52518322341c2ed11c3c774e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 94,Tag 94,translate,translated,displayed-string,c53414d0fd17753670a8008d0da1a6f5ba635e8ab603e3d56f38144a26c996a5
32524bc8d7b3af4133a86d2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7f1884bc18c85f58bf67c27d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 94,Tag 94,translate,translated,displayed-string,c53414d0fd17753670a8008d0da1a6f5ba635e8ab603e3d56f38144a26c996a5
78ee37f8aebe5103c333dfd9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"A fine morning is upon us, soldiers!","Ein schöner Morgen liegt vor uns, Soldaten!",translate,translated,displayed-string,609058fdf163069845b3089cd2ee3d073140f57cc71ad25add51bcfdea7c652b
6ad47fafdfb5c709063764d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_Ba_d094_m010_010_0030,s09_A_BoukenRt_Ba_d094_m010_010_0030,protected,protected,resource-or-id,3382fa60a7f5b2d326614c8efbb65ac0ae92bcff7b5425a891f18baf3a1a83eb
03b2f548b49d92bc02ca27d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"A fine morning is upon us, soldiers!","Ein schöner Morgen liegt vor uns, Soldaten!",translate,translated,displayed-string,609058fdf163069845b3089cd2ee3d073140f57cc71ad25add51bcfdea7c652b
e5ea88dc4d48573861e4c54a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,3,2,string 2,It's your 94th day of active service here at Last Defense Academy! The end of your school days is so close!,Es ist dein 94. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Das Ende deiner Schulzeit ist so nah!,translate,translated,displayed-string,797d85779242bdc2a111c18d2a100472be5669993ea5cb10866c604ab0b9b7dc
424122b0d219f63dd8533e24,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_Ba_d094_m010_010_0040,s09_A_BoukenRt_Ba_d094_m010_010_0040,protected,protected,resource-or-id,0c91e11eb3da826264c6897b6debdecb5b842bb80c31a3502c9acc2e9b79ceb2
a0beeb62ba27d534cd84d7e7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,3,4,string 4,It's your 94th day of active service here at Last Defense Academy! The end of your school days is so close!,Es ist dein 94. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Das Ende deiner Schulzeit ist so nah!,translate,translated,displayed-string,797d85779242bdc2a111c18d2a100472be5669993ea5cb10866c604ab0b9b7dc
ccfd4e687f8504a04e6e3535,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ba_d094_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Now then, keep your spirits up and protect our beloved school and the human race to the last!","Nun, haltet eure Geister auf und schützt unsere geliebte Schule und die Menschheit bis zum Letzten!",translate,translated,displayed-string,f78f3206ca755b735f5690c689533eeadfb1b3478078d1bca5c4f616e49a6216
