cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3aa06e312aa13c92e9a6289a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)V'ehxness undid her transformation and approached us as we stood paralyzed in place.},"{fc(57e4f1)V'ehxness löste ihre Transformation auf und näherte sich uns, als wir gelähmt an Ort und Stelle standen.}",translate,translated,displayed-string:fc-repair,d415063004ee0e69fbb78e0f6ac76e591edb6727feb6fc658c5ae1122bf89c93
a12d90950835ffc1684559ec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)V'ehxness undid her transformation and approached us as we stood paralyzed in place.},"{fc(57e4f1)V'ehxness löste ihre Transformation auf und näherte sich uns, als wir gelähmt an Ort und Stelle standen.}",translate,translated,displayed-string:fc-repair,d415063004ee0e69fbb78e0f6ac76e591edb6727feb6fc658c5ae1122bf89c93
bb9aaf5e84184191380ec793,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,2,2,string 2,Are you ready to die now?,Bist du bereit zu sterben?,translate,translated,displayed-string,44d0a8ce0ec07ea541598159a41afec9365ab4d882179993d9e87530113c3c89
6ba8fd45687b9cf242b1207f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_Aa_d065_m130_010_0010,s11_0_SeisyunR_Aa_d065_m130_010_0010,protected,protected,resource-or-id,6e6e04b344c642d088306dfd90f6f4889b700173ede8bf6507f16336dcdf8b26
b7386322b0f546c9c121a9f6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,2,4,string 4,Are you ready to die now?,Bist du bereit zu sterben?,translate,translated,displayed-string,44d0a8ce0ec07ea541598159a41afec9365ab4d882179993d9e87530113c3c89
134892cfce9eaffcb857950b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,3,2,string 2,"Ngh, damn it...","Nein, verdammt...",translate,translated,displayed-string,63a4991bb8c2f6e7b59625bad07a2358890554861831d220f2907c095e9893a3
a256d17b45deb07a56d9bf47,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_Aa_d065_m130_010_0020,s11_0_SeisyunR_Aa_d065_m130_010_0020,protected,protected,resource-or-id,2c4f20a1feb27a676a643f896997ef0baae98efd03b543fec496ffc7bcbbfd2f
901ecacefa61ec9f05cf4dfa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,3,4,string 4,"Ngh, damn it...","Nein, verdammt...",translate,translated,displayed-string,63a4991bb8c2f6e7b59625bad07a2358890554861831d220f2907c095e9893a3
cc2a27896515f32c4c244542,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,4,2,string 2,"For the crime of displeasing me, I will kill you one by one, in front of your friends.","Wegen des Verbrechens, mich zu missfallen, werde ich dich nach und nach vor deinen Freunden töten.",translate,translated,displayed-string,421d8967349ac3b49852901980821f9fe3eec3731a2ec20633a1883335fc930b
2d02c48a02c546036e9627be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d065_m130_010.mbe/000_Sheet1.csv,4,3,string2 3,s11_0_SeisyunR_Aa_d065_m130_010_0030,s11_0_SeisyunR_Aa_d065_m130_010_0030,protected,protected,resource-or-id,7fcdf0930fdec2e3240b3155f9b6533dd8d73b7e4934019628477fcfe0b9caca
