cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f3799c7bcfc8bab1261c7118,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)I should talk to Shouma, Ima, and Kako before it's too late.}","{fc(57e4f1)Ich sollte mit Shouma, Ima und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,91717b76c393c5121124a8fb9d9708772c6c9ff51c2a19758888c7ce11dd1aaf
fe12b3b8a83fe804d583ba43,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)I should talk to Shouma, Ima, and Kako before it's too late.}","{fc(57e4f1)Ich sollte mit Shouma, Ima und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,91717b76c393c5121124a8fb9d9708772c6c9ff51c2a19758888c7ce11dd1aaf
2a2c37fd6a42f12c623eb21a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I should talk to Ima and Kako before it's too late.},"{fc(57e4f1)Ich sollte mit Ima und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,92338a7422371f4a39d51bbd18831be3d2d7c2c424c952f5ff07975178ee211b
b20b56a3f2df0ae8dd6cd32f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I should talk to Ima and Kako before it's too late.},"{fc(57e4f1)Ich sollte mit Ima und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,92338a7422371f4a39d51bbd18831be3d2d7c2c424c952f5ff07975178ee211b
234c4e1903f593fd03e49fcd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I should talk to Shouma and Kako before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,9c43240a1aa489c77c9a323136ee3f3cdc0b92bbc7af003ec2f505e6bb575026
07eb4c4051af87bbc3529072,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I should talk to Shouma and Kako before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma und Kako reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,9c43240a1aa489c77c9a323136ee3f3cdc0b92bbc7af003ec2f505e6bb575026
f4e842d35674cf883f850685,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I should talk to Shouma and Ima before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma und Ima reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,02ca64747f713948237a9c4f43e24677f9541899c4abd6017f76b14e918f7a3a
bc7fbbe718c8711bbdf8fd08,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I should talk to Shouma and Ima before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma und Ima reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,02ca64747f713948237a9c4f43e24677f9541899c4abd6017f76b14e918f7a3a
d7c7c93bbd71b598885eb07b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I should talk to Shouma before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,a80725faddc26f9556abfa8fcd4a1ec5cf1cd70ef397386a03781edc8629be6a
6f33861ae6eea0eeb7ae8a00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/r00_0_1sttruer_00_d015_m050_015.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I should talk to Shouma before it's too late.},"{fc(57e4f1)Ich sollte mit Shouma reden, bevor es zu spät ist.}",translate,translated,displayed-string:fc-repair,a80725faddc26f9556abfa8fcd4a1ec5cf1cd70ef397386a03781edc8629be6a
