cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9ca7dc8bc4ba7ceadb4cee6d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I guess he really meant it.},"{fc(57e4f1)Ich schätze, er hat es wirklich so gemeint.}",translate,translated,displayed-string:fc-repair,79e24630d278a27cb42d03ea695f12a3eda2e04ee2782d627b0584f316e3ad22
17de6b4ec4a8aabf370a8042,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I guess he really meant it.},"{fc(57e4f1)Ich schätze, er hat es wirklich so gemeint.}",translate,translated,displayed-string:fc-repair,79e24630d278a27cb42d03ea695f12a3eda2e04ee2782d627b0584f316e3ad22
6013f274085546e8207756d9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)And in truth, I wasn't getting any closer to coming up with a solution...}",{fc(57e4f1)Und in Wahrheit kam ich nicht näher an eine Lösung heran...},translate,translated,displayed-string:fc-repair,b01ff2743fad5870d21198facb8214caa879b2a502bc08be6a7b11052b713859
790cc9621b916ba26a6e06d7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)And in truth, I wasn't getting any closer to coming up with a solution...}",{fc(57e4f1)Und in Wahrheit kam ich nicht näher an eine Lösung heran...},translate,translated,displayed-string:fc-repair,b01ff2743fad5870d21198facb8214caa879b2a502bc08be6a7b11052b713859
8db28b77ce7c24c10595af88,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Maybe it wouldn't hurt just to talk.},"{fc(57e4f1)Vielleicht tut es nicht weh, nur zu reden.}",translate,translated,displayed-string:fc-repair,e931a7d351c5d8d05eb77763ae5aafe200e0813d2b5f04c1a9db03af942878cd
b437fdf1b53593ae14f47752,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Maybe it wouldn't hurt just to talk.},"{fc(57e4f1)Vielleicht tut es nicht weh, nur zu reden.}",translate,translated,displayed-string:fc-repair,e931a7d351c5d8d05eb77763ae5aafe200e0813d2b5f04c1a9db03af942878cd
10d76d0329ca97dc38af620c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Although the idea of turning to someone like Eito for help really irritated me...},"{fc(57e4f1)Obwohl die Idee, sich an jemanden wie Eito um Hilfe zu wenden, mich wirklich irritiert hat...}",translate,translated,displayed-string:fc-repair,8b2c229d556c3f502b188aec3dac361f981f12c9f63701b452c5fd66e7b9aaac
318aad5e28171b6afebd59c4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Although the idea of turning to someone like Eito for help really irritated me...},"{fc(57e4f1)Obwohl die Idee, sich an jemanden wie Eito um Hilfe zu wenden, mich wirklich irritiert hat...}",translate,translated,displayed-string:fc-repair,8b2c229d556c3f502b188aec3dac361f981f12c9f63701b452c5fd66e7b9aaac
9babd19a15be4750037fbaa0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,5,2,string 2,Fine...,Na schön.,translate,translated,displayed-string,79b4ce1b8e4e19439982ecf735d768e37a6d7dda870c0f494c25491d7b80eb87
eb3e6f731f701516e1216ec6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cb8a8c5ebb7f6d7ea67f6b44,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,5,4,string 4,Fine...,Na schön.,translate,translated,displayed-string,79b4ce1b8e4e19439982ecf735d768e37a6d7dda870c0f494c25491d7b80eb87
24b50213fdb5a01768dadbae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)I explained everything that was on my mind to Eito.},"{fc(57e4f1)Ich erklärte Eito alles, was mir auf dem Herzen lag.}",translate,translated,displayed-string:fc-repair,695e26ed1d433fbb5809518f6b40bf0999cd9efe14e3d810325b1316ffeb434d
719f12123bfa15adb77a558b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)I explained everything that was on my mind to Eito.},"{fc(57e4f1)Ich erklärte Eito alles, was mir auf dem Herzen lag.}",translate,translated,displayed-string:fc-repair,695e26ed1d433fbb5809518f6b40bf0999cd9efe14e3d810325b1316ffeb434d
7a24ee9594a70b9180242e9b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)How I decided against revealing Nozomi's past...},"{fc(57e4f1)Wie ich mich entschieden habe, Nozomis Vergangenheit zu enthüllen...}",translate,translated,displayed-string:fc-repair,d39b084ac51c04726e504fac43905725eca2300e19c498bb6f5037cee0284bdf
094b58e6896263b4b66d4aeb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_00_d011_m040_030.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)How I decided against revealing Nozomi's past...},"{fc(57e4f1)Wie ich mich entschieden habe, Nozomis Vergangenheit zu enthüllen...}",translate,translated,displayed-string:fc-repair,d39b084ac51c04726e504fac43905725eca2300e19c498bb6f5037cee0284bdf
