cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7e5c5557fcaf2667bf93e9fb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)There really were a lot of unanswered questions here. What was true, and what had been made up to deceive us?}","{fc(57e4f1)Es gab wirklich eine Menge unbeantworteter Fragen hier. Was war wahr, und was war erfunden worden, um uns zu täuschen?}",translate,translated,displayed-string:fc-repair,4edcf5fb7fdc2578df89340916067c8e2f4ad1428299c91bacebdb55144caa70
a7cf859b853c0b9d17af57db,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)There really were a lot of unanswered questions here. What was true, and what had been made up to deceive us?}","{fc(57e4f1)Es gab wirklich eine Menge unbeantworteter Fragen hier. Was war wahr, und was war erfunden worden, um uns zu täuschen?}",translate,translated,displayed-string:fc-repair,4edcf5fb7fdc2578df89340916067c8e2f4ad1428299c91bacebdb55144caa70
055c6ba37b2a95c85cfc9bac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)What parts of the truth had we already learned, and which were still being kept from us?}","{fc(57e4f1)Welche Teile der Wahrheit hatten wir bereits gelernt, und welche wurden uns noch vorenthalten?}",translate,translated,displayed-string:fc-repair,7cb5f38dc791f6eb652de4e4eb1d5f31a155ec22ad394e9c889a5b0090502587
f692529737def084d8fd21c0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)What parts of the truth had we already learned, and which were still being kept from us?}","{fc(57e4f1)Welche Teile der Wahrheit hatten wir bereits gelernt, und welche wurden uns noch vorenthalten?}",translate,translated,displayed-string:fc-repair,7cb5f38dc791f6eb652de4e4eb1d5f31a155ec22ad394e9c889a5b0090502587
2f4f3820636af937e7ba42cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Maybe Eito was right with his onion analogy.},{fc(57e4f1)Vielleicht hatte Eito recht mit seiner Zwiebelanalogie.},translate,translated,displayed-string:fc-repair,fdfb9443b9cbb0e470184b715dc5dfa7d803c75bc6428d3a87151b769d336276
83eea75c0ecf7f98033218ab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Maybe Eito was right with his onion analogy.},{fc(57e4f1)Vielleicht hatte Eito recht mit seiner Zwiebelanalogie.},translate,translated,displayed-string:fc-repair,fdfb9443b9cbb0e470184b715dc5dfa7d803c75bc6428d3a87151b769d336276
6c9b65b8f3757439872323b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Maybe sometimes it's better to stop peeling back the layers and just...let it go.},"{fc(57e4f1)Vielleicht ist es manchmal besser, aufzuhören, die Schichten zurück zu schälen und einfach... loszulassen.}",translate,translated,displayed-string:fc-repair,81049940f8a3cf32be4bbe7db39f331cc984922fc36dfe3b0b38b39371196480
fefc645d486a6e75dd8f5785,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Maybe sometimes it's better to stop peeling back the layers and just...let it go.},"{fc(57e4f1)Vielleicht ist es manchmal besser, aufzuhören, die Schichten zurück zu schälen und einfach... loszulassen.}",translate,translated,displayed-string:fc-repair,81049940f8a3cf32be4bbe7db39f331cc984922fc36dfe3b0b38b39371196480
bd7c76ddebd621cf90c9da73,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I think we were all disappointed that we hadn't been able to get all the boxes.},"{fc(57e4f1)Ich glaube, wir waren alle enttäuscht, dass wir nicht alle Kisten bekommen konnten.}",translate,translated,displayed-string:fc-repair,c729433e4862b949996dd416c68b07de0f5b6186ccbc9618cbc8bc5b4d590541
2cbdc4bdb1b61f58d6d3bd4f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I think we were all disappointed that we hadn't been able to get all the boxes.},"{fc(57e4f1)Ich glaube, wir waren alle enttäuscht, dass wir nicht alle Kisten bekommen konnten.}",translate,translated,displayed-string:fc-repair,c729433e4862b949996dd416c68b07de0f5b6186ccbc9618cbc8bc5b4d590541
7238de02b30a6a0dd2490c11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)But if we kept looking for them, there was a good chance all we'd find would be despair and destruction.}","{fc(57e4f1)Aber wenn wir weiter nach ihnen suchen würden, gäbe es eine gute Chance, dass alles, was wir finden würden, Verzweiflung und Zerstörung sein würde.}",translate,translated,displayed-string:fc-repair,28e5542fffbc3e413ec0c2f9646b42f7e25c6d0807d7470551bb27255192820d
0c4662aad0eb6575cfcf040d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)But if we kept looking for them, there was a good chance all we'd find would be despair and destruction.}","{fc(57e4f1)Aber wenn wir weiter nach ihnen suchen würden, gäbe es eine gute Chance, dass alles, was wir finden würden, Verzweiflung und Zerstörung sein würde.}",translate,translated,displayed-string:fc-repair,28e5542fffbc3e413ec0c2f9646b42f7e25c6d0807d7470551bb27255192820d
b27b87fdf1e9c996b98e726d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)We dug a hole in the Schoolyard and buried the boxes there.},{fc(57e4f1)Wir haben ein Loch im Schulhof gegraben und die Kisten dort vergraben.},translate,translated,displayed-string:fc-repair,040b7fc12cf14ae1acb9425fd6d67055b59d9a13c3fc68f4529cfce045267699
c3f727b694ca67f2300c5063,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)We dug a hole in the Schoolyard and buried the boxes there.},{fc(57e4f1)Wir haben ein Loch im Schulhof gegraben und die Kisten dort vergraben.},translate,translated,displayed-string:fc-repair,040b7fc12cf14ae1acb9425fd6d67055b59d9a13c3fc68f4529cfce045267699
ba09973e6b71d0a138394852,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bba_d099_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)If we ever really needed them, we could dig them up again. And with them this close to us, we could make sure they never fell into the wrong hands, either.}","{fc(57e4f1)Wenn wir sie jemals wirklich brauchten, könnten wir sie wieder ausgraben, und mit ihnen, die uns so nahe stehen, könnten wir auch sicherstellen, dass sie nie in die falschen Hände fielen.}",translate,translated,displayed-string:fc-repair,bf745174de2a72e481cfc8811ee2ac9dfdf5d0b28966e0a3002be782cf1c47ff
