cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
046127192e43979cccd98d9b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)No, wait... It's going to be fine... I may still be able to make it!}","{fc(57e4f1)Nein, warte... es wird alles gut werden... vielleicht kann ich es noch schaffen!}",translate,translated,displayed-string:fc-repair,d502ea1ced2e44d4c7165d954fc6eb566401cac7e352bb580c57219827cabf01
ef7b64a1a41b10fa4e14ded8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)No, wait... It's going to be fine... I may still be able to make it!}","{fc(57e4f1)Nein, warte... es wird alles gut werden... vielleicht kann ich es noch schaffen!}",translate,translated,displayed-string:fc-repair,d502ea1ced2e44d4c7165d954fc6eb566401cac7e352bb580c57219827cabf01
2a3fc98b417687a0b6ed738a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I'll save Nozomi! Drag her out of those flames, and...}","{fc(57e4f1)Ich rette Nozomi, reiß sie aus den Flammen und...}",translate,translated,displayed-string:fc-repair,b068c4b2ef7bfe1cb6e27c28a34b0d1ce672858cf3c1977d6a971c903290d8e3
bee4cc077013cbb6b3c25697,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I'll save Nozomi! Drag her out of those flames, and...}","{fc(57e4f1)Ich rette Nozomi, reiß sie aus den Flammen und...}",translate,translated,displayed-string:fc-repair,b068c4b2ef7bfe1cb6e27c28a34b0d1ce672858cf3c1977d6a971c903290d8e3
80d795b3c0a0a4d8e705b93a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)My body was already moving before I could finish the thought.},{fc(57e4f1)Mein Körper bewegte sich schon bevor ich den Gedanken beenden konnte.},translate,translated,displayed-string:fc-repair,8f16f69bcf144018362bda73ad6542c795e6e80eac1c03c2ad85cf9bea95cd4d
a26a23f9d405bb7bcadedb36,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)My body was already moving before I could finish the thought.},{fc(57e4f1)Mein Körper bewegte sich schon bevor ich den Gedanken beenden konnte.},translate,translated,displayed-string:fc-repair,8f16f69bcf144018362bda73ad6542c795e6e80eac1c03c2ad85cf9bea95cd4d
4287a11e94ea440acda605a7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I launched myself into the fiery flames.},{fc(57e4f1)Ich startete mich selbst in die feurigen Flammen.},translate,translated,displayed-string:fc-repair,48c82506b547acda0fb94b88377638739d6848fad49204396efffe2b72ac9964
ac0338ba32bb80351e538668,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I launched myself into the fiery flames.},{fc(57e4f1)Ich startete mich selbst in die feurigen Flammen.},translate,translated,displayed-string:fc-repair,48c82506b547acda0fb94b88377638739d6848fad49204396efffe2b72ac9964
2ad5d7614f3cb22187d50f46,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)The very next moment...},{fc(57e4f1)Schon im nächsten Moment...},translate,translated,displayed-string:fc-repair,6ff7e661cab453414ab4786cc1ffc49c24c205c946d28213141fe32414179599
d40299b9ede2959b6e933547,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bab_d100_m020_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)The very next moment...},{fc(57e4f1)Schon im nächsten Moment...},translate,translated,displayed-string:fc-repair,6ff7e661cab453414ab4786cc1ffc49c24c205c946d28213141fe32414179599
