cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c245c76b78cd8e6484c8654c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)Just as the 30 minutes were up, Kurara arrived at my room.}","{fc(57e4f1)Gerade als die 30 Minuten um waren, kam Kurara in mein Zimmer.}",translate,translated,displayed-string:fc-repair,06512a11c009b4608481f6ac64f5c25413f1b9f91e131a6ab1f282db938019fe
af623a7090651238090a8a21,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)Just as the 30 minutes were up, Kurara arrived at my room.}","{fc(57e4f1)Gerade als die 30 Minuten um waren, kam Kurara in mein Zimmer.}",translate,translated,displayed-string:fc-repair,06512a11c009b4608481f6ac64f5c25413f1b9f91e131a6ab1f282db938019fe
f9c64ae82503a11771f5945f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Pardon the wait.,Entschuldigen Sie das Warten.,translate,translated,displayed-string,9e407b4149280b8584e6b4606b37d39d75722475697f4132fed0a20215c06246
9c4af43b580038ec3cca6a92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3781eaf3368b22aba313db1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Pardon the wait.,Entschuldigen Sie das Warten.,translate,translated,displayed-string,9e407b4149280b8584e6b4606b37d39d75722475697f4132fed0a20215c06246
00cc9205bb7512a37ea508d5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,3,2,string 2,Are you okay...?,Alles in Ordnung?,translate,translated,displayed-string,61ed3ffc3fbe2a33fbf50ce0aca8cc9d8d7a68dd18a07139ad5cdc1c18985259
89387d4027f119335080b84e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8697fe9e8398b5922cbb9c3d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,3,4,string 4,Are you okay...?,Alles in Ordnung?,translate,translated,displayed-string,61ed3ffc3fbe2a33fbf50ce0aca8cc9d8d7a68dd18a07139ad5cdc1c18985259
7b3ef236b1daec7e8b6c2da6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Of course, who do you take me for?","Natürlich, für wen hältst du mich?",translate,translated,displayed-string,4e1c56dac90587a6393b45cc8708ffbb988a76075ed4b14630247e5b1249f369
b4fd630e0c5d9d4aea59bda8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
982a7d642d224e48e6a06ccb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"Of course, who do you take me for?","Natürlich, für wen hältst du mich?",translate,translated,displayed-string,4e1c56dac90587a6393b45cc8708ffbb988a76075ed4b14630247e5b1249f369
252c49a6e2b3e6fa28f358e7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Though I guess I should probably drop the smug act from here on out...,"Aber ich schätze, ich sollte die selbstgefällige Tat von jetzt an fallen lassen...",translate,translated,displayed-string,58b584dadb316555262e17069f4b6f59b1d0e69d070e2c051d28a893cbca5be3
8412d44b4f93c548dc74ce3a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
65c13730b80b02894c61378f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,5,4,string 4,Though I guess I should probably drop the smug act from here on out...,"Aber ich schätze, ich sollte die selbstgefällige Tat von jetzt an fallen lassen...",translate,translated,displayed-string,58b584dadb316555262e17069f4b6f59b1d0e69d070e2c051d28a893cbca5be3
43fd48abeb1690386219a2f2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,6,2,string 2,"Now that my father's dead, the proud Oosuzuki name has died with him.","Jetzt, wo mein Vater tot ist, ist der stolze Oosuzuki-Name mit ihm gestorben.",translate,translated,displayed-string,e6e9465c2433a235c18104d62dc496752cb79ade44c31539216edecdc6ca03dd
21ccc3dedbec0f9683f23434,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3c9c562508ea65e19f7d6e75,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,6,4,string 4,"Now that my father's dead, the proud Oosuzuki name has died with him.","Jetzt, wo mein Vater tot ist, ist der stolze Oosuzuki-Name mit ihm gestorben.",translate,translated,displayed-string,e6e9465c2433a235c18104d62dc496752cb79ade44c31539216edecdc6ca03dd
8e0420fabe083b38a2c13cc8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,7,2,string 2,I think you can keep it up if you want.,"Ich denke, du kannst mithalten, wenn du willst.",translate,translated,displayed-string,796d1d23fd8224911855d9d79fc55a006d0c8f09290ffdf3f8861a4fd71b3159
19f54ca0fb47bbc2e954097e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4019cb052405a27ba9eb9f86,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaba_d035_m020_010.mbe/000_Sheet1.csv,7,4,string 4,I think you can keep it up if you want.,"Ich denke, du kannst mithalten, wenn du willst.",translate,translated,displayed-string,796d1d23fd8224911855d9d79fc55a006d0c8f09290ffdf3f8861a4fd71b3159
