cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f8c9e0a2249f9fc3d3638818,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,1,2,string 2,"Takumi, did you bring it?!","Takumi, hast du es mitgebracht?!",translate,translated,displayed-string,8896d41b6b4719ca9e5bc330b070cf2eef674167fa7494a2f4f203a71d4da474
3cbd32d43fdfa8e827fef269,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3924bddf5fbe0287a3bd4418,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,1,4,string 4,"Takumi, did you bring it?!","Takumi, hast du es mitgebracht?!",translate,translated,displayed-string,8896d41b6b4719ca9e5bc330b070cf2eef674167fa7494a2f4f203a71d4da474
a54cfd2bcb1e06ec0c9c5a62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,2,2,string 2,B-Bring what...?,Was soll ich mitbringen?,translate,translated,displayed-string,e4d7f679a352c38a8623479c7c06d36c92a828af9e6795fced9339073042c991
6c5983e77dac166243928dc4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9950f594407c4fb0f4698d59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,2,4,string 4,B-Bring what...?,Was soll ich mitbringen?,translate,translated,displayed-string,e4d7f679a352c38a8623479c7c06d36c92a828af9e6795fced9339073042c991
81748cfce807e1fbd06fd52b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,3,2,string 2,My mask... You promised me yesterday.,"Meine Maske, du hast es mir gestern versprochen.",translate,translated,displayed-string,5542738209b525116e77cb456799768630b5e0d4227805d2ad796d2954a81989
964e5c4f4380ba221f5df98d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e86e350d71dec73cd255b56f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,3,4,string 4,My mask... You promised me yesterday.,"Meine Maske, du hast es mir gestern versprochen.",translate,translated,displayed-string,5542738209b525116e77cb456799768630b5e0d4227805d2ad796d2954a81989
8412df6c5450e7cbec3cd4c1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)That's right, she asked me to give her mask back to her yesterday...}","{fc(57e4f1)Genau, sie bat mich, ihr gestern ihre Maske zurückzugeben...}",translate,translated,displayed-string:fc-repair,84a9318a7718c4a15da117060cc0c73ab791f313aaef619e1b604524af6ff1e9
cbf02bb25559dd584b2a24c0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)That's right, she asked me to give her mask back to her yesterday...}","{fc(57e4f1)Genau, sie bat mich, ihr gestern ihre Maske zurückzugeben...}",translate,translated,displayed-string:fc-repair,84a9318a7718c4a15da117060cc0c73ab791f313aaef619e1b604524af6ff1e9
f169257d0a1714187b31e01c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,5,2,string 2,"Sorry, Eva... I just don't have time for that right now.","Tut mir leid, Eva, dafür habe ich gerade keine Zeit.",translate,translated,displayed-string,58cc6da6b3881e5d5790d71f51be62a4db297056c2bef36d68ac3456f6d7b064
9d6e5cc9723f25ed67a26570,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2769daed553b064f3ea019bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_00_d025_m025_710.mbe/000_Sheet1.csv,5,4,string 4,"Sorry, Eva... I just don't have time for that right now.","Tut mir leid, Eva, dafür habe ich gerade keine Zeit.",translate,translated,displayed-string,58cc6da6b3881e5d5790d71f51be62a4db297056c2bef36d68ac3456f6d7b064
