cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8af712ae807f985864fece85,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,1,1,string 1,÷↓＊％●←▽,÷↓＊％●←▽,protected,protected,non-linguistic,32ed913dc4eb7ad7b64533244722a67f9df46915d6094a21a1c5a21dcb625aef
7a122b83e0c0571ec2f0ee3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,2,1,string 1,％★▽□●■←,％★▽□●■←,protected,protected,non-linguistic,b1a9111a690a1f46061c3a56719c63d3a5f657422960e9dfd4a772371cb00936
a0e2b525d024f3a28bed6da8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,3,1,string 1,↓▽＝▽〇→■,↓▽＝▽〇→■,protected,protected,non-linguistic,f23aa3dcd78e53ce396987c2ee94f81c77af250af6db6ea2c9d2b54e54643098
4336c32653cbf5f3d43101b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,4,1,string 1,＊＃□★☆◆〇,＊＃□★☆◆〇,protected,protected,non-linguistic,7461c792426c61a79c8dc1692a49e84b0a8fcf082526dfe0d12a0cd8816ce5fb
5c9c7f7ae4bd8c6dc0571637,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,5,1,string 1,※△↓◆★☆▽,※△↓◆★☆▽,protected,protected,non-linguistic,78b6014f9124169a8b03a17ff5c6d24451fef27fed8aeec9acea8c4a4f3a9819
bb4734094a48272939d119fc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,6,1,string 1,＃×＝■▲％＊,＃×＝■▲％＊,protected,protected,non-linguistic,f1d47bf316c4666d0c08390c24b8598557cbb45f55bd9a31622be1ef8529afeb
fae6e1f455b0bff0714b9d54,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,7,1,string 1,↑●〇＃→＊×,↑●〇＃→＊×,protected,protected,non-linguistic,50ce1d3d489315a5210c943b4063e1b65d5c82299ed1dd4b5838ffe758ceaac2
4b929b923e641d036c7d51cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,8,1,string 1,＊→★％〇▲●,＊→★％〇▲●,protected,protected,non-linguistic,7f9ae07a5941a708ed24d186059e0bdfc9497406c4d80a77ea1cf0341c6c8182
889e4a394e9c38cd7d32db4c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,9,1,string 1,＝〇↓↑◆▲◇,＝〇↓↑◆▲◇,protected,protected,non-linguistic,5a6c3f07065cbed658b1d35eae72cfec35793311bb46478ea223debf68927747
1065e3c8d308ef186979c7d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,10,1,string 1,→←〇＊＃↑＝,→←〇＊＃↑＝,protected,protected,non-linguistic,265fb3a30b5a981c38684c501fbfae78b6c94b9666a1409362468500983a8d59
c0a3be86b835eea869a22895,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,11,1,string 1,％★＝▽◆▲■,％★＝▽◆▲■,protected,protected,non-linguistic,e2504010bc737fccd285a961750b1d2d9b22386a53ea1bd4c8e42ad11a5f0794
da397d6677325afdf68ce9bc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,12,1,string 1,←△※×◆＊▽,←△※×◆＊▽,protected,protected,non-linguistic,b7766179d395fe046426fa703a577f895cc283f54ef55027d1404a050c5041ce
102d6a3c0e5d2a4722451920,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,13,1,string 1,÷％×←●＝◆,÷％×←●＝◆,protected,protected,non-linguistic,721b69761f144fd2adeac8afbab5202294724adfd10f628f1c92f9370f334594
ecc7dc64b50dc45d6cb5b5d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,14,1,string 1,▽■▲▽×◇★,▽■▲▽×◇★,protected,protected,non-linguistic,27fdd8bb86d92afa24cf7ecf3a527d39b5e2c53b53b9fb6b6db5fcf8e4f7e766
305fcb5f2770fa9068f8f5e1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,15,1,string 1,↓※□％～▲■,↓※□％～▲■,protected,protected,non-linguistic,a7431e088ef1631db6742442e8c50662215866135fb20b3091f537e4df59072a
690d0817184ffb6639de4e10,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,16,1,string 1,★←→▲＊＃☆,★←→▲＊＃☆,protected,protected,non-linguistic,e1f3305ac1aea3565ef61e1577501fd3be681cc5d13792ad9ade202eb9fe4f5c
7f2c37b24623401cbc6bcfe7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,17,1,string 1,▲×↑■～◆％,▲×↑■～◆％,protected,protected,non-linguistic,6c3affd4ef96e5e1169639531f59ed571ba706e89bf4f8f4f59c2e89e7e93fca
dd27cf3dc6d3973998f733be,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/skill_explanation_bug.mbe/000_Sheet1.csv,18,1,string 1,＃◆△▽●～◇,＃◆△▽●～◇,protected,protected,non-linguistic,604a1e881a04aaccdb93337637bd89bb133a02d424f7cc1797a37665bbcb1ec8
