cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
85e14eeb0e40cad143080f5b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"Whew, it's night already...","Whew, es ist schon Nacht...",translate,translated,displayed-string,980c12444ce68cddd3a34cdd549c903e81dc805aaaca8c394372df4a8a40bcd9
840f2f2e76c6181fa2c069ea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0a0b4dd908b763934eeb68c6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"Whew, it's night already...","Whew, es ist schon Nacht...",translate,translated,displayed-string,980c12444ce68cddd3a34cdd549c903e81dc805aaaca8c394372df4a8a40bcd9
a9718ae903f69810534b7537,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)After managing to convince the others, I got ready to leave, but... No one else had come yet.}","{fc(57e4f1)Nachdem ich es geschafft hatte, die anderen zu überzeugen, war ich bereit zu gehen, aber... niemand sonst war noch gekommen.}",translate,translated,displayed-string:fc-repair,b141ff5680f3b2a3cf31d3aa61a1ebf26737c70b41f2b0f204dc4f220f4f625f
2397cb2389edf77589d61d44,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)After managing to convince the others, I got ready to leave, but... No one else had come yet.}","{fc(57e4f1)Nachdem ich es geschafft hatte, die anderen zu überzeugen, war ich bereit zu gehen, aber... niemand sonst war noch gekommen.}",translate,translated,displayed-string:fc-repair,b141ff5680f3b2a3cf31d3aa61a1ebf26737c70b41f2b0f204dc4f220f4f625f
4c6eb0bf053ca881b8bc6c46,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,3,2,string 2,*sigh* I'm exhausted...,Ich bin erschöpft.,translate,translated,displayed-string,67338ba5dcdaa4dd301f70634d128623241fbfec5767779238fe1c0b0e622a5e
79fc490e2762ab74b6bdc318,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
783995865b5b6c84e837e86c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,3,4,string 4,*sigh* I'm exhausted...,Ich bin erschöpft.,translate,translated,displayed-string,67338ba5dcdaa4dd301f70634d128623241fbfec5767779238fe1c0b0e622a5e
46970227484a9ad5b93c0cb4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Maybe it's because I'd been so desperate while trying to convince the people who wanted to stay, but now fatigue is really setting in...}","{fc(57e4f1)Vielleicht liegt es daran, dass ich so verzweifelt war, als ich versuchte, die Leute zu überzeugen, die bleiben wollten, aber jetzt setzt Müdigkeit wirklich ein...}",translate,translated,displayed-string:fc-repair,a08b2d37cf14b39626def6cdacefacbf2d99132347dfe50924b5929d30043e0b
c85043248cd8972b86319bb7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
555b0c39a36b6bf630ffb291,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Maybe it's because I'd been so desperate while trying to convince the people who wanted to stay, but now fatigue is really setting in...}","{fc(57e4f1)Vielleicht liegt es daran, dass ich so verzweifelt war, als ich versuchte, die Leute zu überzeugen, die bleiben wollten, aber jetzt setzt Müdigkeit wirklich ein...}",translate,translated,displayed-string:fc-repair,a08b2d37cf14b39626def6cdacefacbf2d99132347dfe50924b5929d30043e0b
ad971783f7a4d07db2348a18,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I let out a deep sigh and closed my eyes for a moment.},{fc(57e4f1)Ich ließ einen tiefen Seufzer aus und schloss meine Augen für einen Moment.},translate,translated,displayed-string:fc-repair,4e0ac4e98236710cb565ca49309c0749f26c90f1c37fb9489837bdbc96d34554
9136bec331d5b1c2e9293e5c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_1_splacome_00_d004_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
