cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
19b2e8b65ef1407dd9ad0e31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,1,2,string 2,"Hiruko, what are you doing here?","Hiruko, was machst du hier?",translate,translated,displayed-string,979bee0292c8e9197250d7a2931afa37d519631a8c8414e22725ecaee35016ea
bb386bbe1c5a39a5608c4349,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ddb004e659ed9fe381a1fdfe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,1,4,string 4,"Hiruko, what are you doing here?","Hiruko, was machst du hier?",translate,translated,displayed-string,979bee0292c8e9197250d7a2931afa37d519631a8c8414e22725ecaee35016ea
b9d3b76a615c220b4a731f11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,2,2,string 2,I was just daydreaming.,Ich träumte nur.,translate,translated,displayed-string,5fa51111e44411a595e82449b3e490c18e26bc13f7646d2053c095fe138a4b3f
168b68643c9d0d5176394cf9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
502b540185ce16da063d8465,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,2,4,string 4,I was just daydreaming.,Ich träumte nur.,translate,translated,displayed-string,5fa51111e44411a595e82449b3e490c18e26bc13f7646d2053c095fe138a4b3f
562fe69ebcf62699cf4612ef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,3,2,string 2,"If I ever become rich in the future, I want to have a big courtyard like this and keep exotic animals.","Wenn ich in Zukunft jemals reich werde, möchte ich einen großen Hof wie diesen haben und exotische Tiere halten.",translate,translated,displayed-string,9228f01dbfaa99deceae61414cb1397a6411fd4f795e8120e9bea2c000b3cf3f
26e7d3073b8b27c190ae7462,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1b16950c996d57e4c1875145,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,3,4,string 4,"If I ever become rich in the future, I want to have a big courtyard like this and keep exotic animals.","Wenn ich in Zukunft jemals reich werde, möchte ich einen großen Hof wie diesen haben und exotische Tiere halten.",translate,translated,displayed-string,9228f01dbfaa99deceae61414cb1397a6411fd4f795e8120e9bea2c000b3cf3f
5769515fa50927e1da6ce610,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Keep exotic animals in a big house...? She's got the mindset of an eccentric celebrity.},{fc(57e4f1)Halten Sie exotische Tiere in einem großen Haus...? Sie hat die Einstellung einer exzentrischen Berühmtheit.},translate,translated,displayed-string:fc-repair,7174bd6c66f950c1a3ae5654564c1ff765fe68ee9a8204bb4a5887f86971b43d
cd1efddb1bb09d5e603d7f5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr003hiru_06_02.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Keep exotic animals in a big house...? She's got the mindset of an eccentric celebrity.},{fc(57e4f1)Halten Sie exotische Tiere in einem großen Haus...? Sie hat die Einstellung einer exzentrischen Berühmtheit.},translate,translated,displayed-string:fc-repair,7174bd6c66f950c1a3ae5654564c1ff765fe68ee9a8204bb4a5887f86971b43d
