cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
75ad828a308b8a4e233d728b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)I handed the body over to Kamyuhn, who had been waiting in the storeroom.}","{fc(57e4f1)Ich übergab die Leiche Kamyuhn, der im Lagerraum gewartet hatte.}",translate,translated,displayed-string:fc-repair,d3d700f8bd3ec75685308cec6fd07cac23c8bec52832829eac7187e5f3d09667
0eae06c2801ba507fff29a8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)I handed the body over to Kamyuhn, who had been waiting in the storeroom.}","{fc(57e4f1)Ich übergab die Leiche Kamyuhn, der im Lagerraum gewartet hatte.}",translate,translated,displayed-string:fc-repair,d3d700f8bd3ec75685308cec6fd07cac23c8bec52832829eac7187e5f3d09667
5c447dc3afe62d75cd35b220,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,2,2,string 2,Takumi... You did as I asked!,"Takumi, du hast getan, was ich verlangt habe!",translate,translated,displayed-string,e169f74c50407dc297e508595629a83e7975c60c154b1767407e8866bb950411
a64e57d97cca3d6decea165f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
af5b8d7e7cafeef37b814fa7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,2,4,string 4,Takumi... You did as I asked!,"Takumi, du hast getan, was ich verlangt habe!",translate,translated,displayed-string,e169f74c50407dc297e508595629a83e7975c60c154b1767407e8866bb950411
1f4780b54cbe724ba8107fc6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,3,2,string 2,I am sorry you always have to be forced to take on the painful responsibilities. I am...truly sorry!,"Es tut mir leid, dass du immer gezwungen sein musst, die schmerzhaften Pflichten zu übernehmen.",translate,translated,displayed-string,70270bccf1c341e93174ce76128726270677e651874d3f17c17158448e345742
0dfdc53343729de2d8ff3752,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c9f40704bad90136019b0ea5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,3,4,string 4,I am sorry you always have to be forced to take on the painful responsibilities. I am...truly sorry!,"Es tut mir leid, dass du immer gezwungen sein musst, die schmerzhaften Pflichten zu übernehmen.",translate,translated,displayed-string,70270bccf1c341e93174ce76128726270677e651874d3f17c17158448e345742
60221067b31252f7839d0121,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,4,2,string 2,"Never mind that, just get the escape pod ready! I'll go call the others!",Ich rufe die anderen an!,translate,translated,displayed-string,70103c92c17772384c677a335a39ee6f954efefa0e47453b6d26e7000baf2e0b
2b7688f111feebede16f8a8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c91b1e6f30c277481157d8b5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,4,4,string 4,"Never mind that, just get the escape pod ready! I'll go call the others!",Ich rufe die anderen an!,translate,translated,displayed-string,70103c92c17772384c677a335a39ee6f954efefa0e47453b6d26e7000baf2e0b
6a18010591221ec6d67a29c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I ran up the stairs of the school toward the roof.},{fc(57e4f1)Ich rannte die Treppen der Schule hinauf zum Dach.},translate,translated,displayed-string:fc-repair,959e4bdc6c1719be0a88518bcaba3e0d6a752f6eabc13595996ebf2285993759
829c412cf248b20a396693b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaba_d093_m050_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I ran up the stairs of the school toward the roof.},{fc(57e4f1)Ich rannte die Treppen der Schule hinauf zum Dach.},translate,translated,displayed-string:fc-repair,959e4bdc6c1719be0a88518bcaba3e0d6a752f6eabc13595996ebf2285993759
