cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8fac765ece61da0ba8a6354c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,1,2,string 2,The real killer is...,Der wahre Mörder ist...,translate,translated,displayed-string,e561a0cc1e185d7f69aa69069114d0a80d1b880e114e0e3c150c3e93660cf4ae
68c51aeb4b7a91ceaa953adf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
92f2785ff4522c006a1d7fcb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,1,4,string 4,The real killer is...,Der wahre Mörder ist...,translate,translated,displayed-string,e561a0cc1e185d7f69aa69069114d0a80d1b880e114e0e3c150c3e93660cf4ae
fd1d990369e0d8d4494c9c9c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,2,2,string 2,You! Eva!,Sie!,translate,translated,displayed-string,74a1971f75b0dea62464f412117c1bb6f351c8db61efce9fbc54d3031643db2b
e99542b0bf218b20a52a8789,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
df6ce12e6b7d14f5e687f543,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,2,4,string 4,You! Eva!,Sie!,translate,translated,displayed-string,74a1971f75b0dea62464f412117c1bb6f351c8db61efce9fbc54d3031643db2b
b11b9e14b6d5f98e93579a1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"W-W-W-What are you saying, Takumi?! I came to the school on Day 21!","W-W-W-Was willst du damit sagen, Takumi?! Ich bin am 21. Tag zur Schule gekommen!",translate,translated,displayed-string,e0fdb66f618b2bf20afb86949467d321e6ae130b9f112dd291d4904e1ee8a004
53822e74d9369862cc64bc7a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9d58e4278fd1c6b99ffdf2f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"W-W-W-What are you saying, Takumi?! I came to the school on Day 21!","W-W-W-Was willst du damit sagen, Takumi?! Ich bin am 21. Tag zur Schule gekommen!",translate,translated,displayed-string,e0fdb66f618b2bf20afb86949467d321e6ae130b9f112dd291d4904e1ee8a004
8ec19953cf233aaf2686dcf2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bc_d075_m010_010.mbe/000_Sheet1.csv,4,2,string 2,I couldn't have written the first threatening note or killed Gaku!,Ich hätte nicht den ersten bedrohlichen Brief schreiben oder Gaku töten können!,translate,translated,displayed-string,bd7156ff76c2b3b9775960b78dd892675c42870a1657d377cdb067554c9c5336
