cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
95911bb47519cf00d6f05adc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"Okay, everyone strike a pose!","Ok, alle auf eine Pose!",translate,translated,displayed-string,5b4739ece03a12fbee33b252b367d7521758582ea3e212eddd72e4ec0df4abd3
175defb8f27349abf14268d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0fea34d9c4448f61ecc79da8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"Okay, everyone strike a pose!","Ok, alle auf eine Pose!",translate,translated,displayed-string,5b4739ece03a12fbee33b252b367d7521758582ea3e212eddd72e4ec0df4abd3
e1b11da2d363fdcea86bd56b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Get my good side, okay?","Nimm meine gute Seite, okay?",translate,translated,displayed-string,2c7c6394e1e842701944448c2c48cca3e8a3e9ba73e9a854fe690221729be8d1
6d2d66094e74aa2d0b14e516,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ccc08009d5a0bf1fdc1c6e6c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Get my good side, okay?","Nimm meine gute Seite, okay?",translate,translated,displayed-string,2c7c6394e1e842701944448c2c48cca3e8a3e9ba73e9a854fe690221729be8d1
9e86f0a353441ca3cbdd3940,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,3,2,string 2,I don't want you to take it a frame too late and catch me puking!,"Ich will nicht, dass du es zu spät machst und mich beim Kotzen erwischest!",translate,translated,displayed-string,6c6a252643fb69a5fb452ffeb653b8a995b6fbb9164f41066f6cefc811d9e3ea
8965fb496d14f9c32fcbea5f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a99ec8dee021da0f575779a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,3,4,string 4,I don't want you to take it a frame too late and catch me puking!,"Ich will nicht, dass du es zu spät machst und mich beim Kotzen erwischest!",translate,translated,displayed-string,6c6a252643fb69a5fb452ffeb653b8a995b6fbb9164f41066f6cefc811d9e3ea
a3bb44e82b8df40ad6fe53bd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,4,2,string 2,You can puke that fast? Damn...,Du kannst so schnell kotzen?,translate,translated,displayed-string,8ce1e94faee2a4f5951ac636d004a79536212c1480935b6e9ee8ce23099bc8ca
f7d7bf70b1d361b7e6edca09,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d824afa404bbc3be9b651967,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,4,4,string 4,You can puke that fast? Damn...,Du kannst so schnell kotzen?,translate,translated,displayed-string,8ce1e94faee2a4f5951ac636d004a79536212c1480935b6e9ee8ce23099bc8ca
628699e70bf42ed70d2e6c2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Hehe. What kind of dirty pose should I make?,Was für eine schmutzige Pose soll ich machen?,translate,translated,displayed-string,986e3c073bef48ac8fa3f7bb9390f6951b4c71c1b05316424625f8099505d030
e036f4d1352b46d38ed903f7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
165895ceaa11a36e76d29553,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,5,4,string 4,Hehe. What kind of dirty pose should I make?,Was für eine schmutzige Pose soll ich machen?,translate,translated,displayed-string,986e3c073bef48ac8fa3f7bb9390f6951b4c71c1b05316424625f8099505d030
6144735951cb76e6280f47b3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s03_0_dokusair_a0_d098_m020_010.mbe/000_Sheet1.csv,6,2,string 2,Don't be vulgar. We want to make this a special picture to remember.,"Seien Sie nicht vulgär, wir wollen das hier zu einem besonderen Bild machen.",translate,translated,displayed-string,c34195f29c9249c6790c10e2c94df1879c7b97957fb91680ed25bc6d7492bcf2
