cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b54f945523c9835cbc48344c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 73,Tag 73,translate,translated,displayed-string,6246381c91adee93f282a46cfad2fa25253dc82ca760cfe4fd9902c381104865
3b6452507a902911f8257b3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f8068b258293e8d69e0bb5fc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 73,Tag 73,translate,translated,displayed-string,6246381c91adee93f282a46cfad2fa25253dc82ca760cfe4fd9902c381104865
0fbfc092b112c775f894f6c5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
2eb34178e298439616c2a119,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_Bb_d073_m010_010_0030,s09_A_BoukenRt_Bb_d073_m010_010_0030,protected,protected,resource-or-id,7ce2998d39372c04581874948bea56ee9a4c426f76f619cf5cfd022813b5dc94
fac9f1e117f2a8573d4c23da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
a653cbc7e16e45b9442a30e5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 73rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 73. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,a4ae03c47552e1d7999a2b980757248eef453af9870e0fd7abf78ad3b38f1fc1
693f716572eddd83816dbd92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_Bb_d073_m010_010_0040,s09_A_BoukenRt_Bb_d073_m010_010_0040,protected,protected,resource-or-id,6772807ba33ccfb8bfbd762a5101c0151a60143058e2b0592430876f9cf828fe
8a721f9c5c7725bd4414af4e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 73rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 73. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,a4ae03c47552e1d7999a2b980757248eef453af9870e0fd7abf78ad3b38f1fc1
89f74aad69302fcb550c947f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
eebfca631734a78ccc0ae8e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bb_d073_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s09_A_BoukenRt_Bb_d073_m010_010_0050,s09_A_BoukenRt_Bb_d073_m010_010_0050,protected,protected,resource-or-id,81ca6d052d3705a53c373d0044df8fcafb88878c94f26496e70183ab3d9d79ff
