cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
90adee9141fc34c3015a2507,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,1,2,string 2,"Hiruko, what are you doing here?","Hiruko, was machst du hier?",translate,translated,displayed-string,979bee0292c8e9197250d7a2931afa37d519631a8c8414e22725ecaee35016ea
edbd33b389443d51b0829c41,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e26eed754a77211cf3f6c687,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,1,4,string 4,"Hiruko, what are you doing here?","Hiruko, was machst du hier?",translate,translated,displayed-string,979bee0292c8e9197250d7a2931afa37d519631a8c8414e22725ecaee35016ea
b033e85749f5631674b03e36,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
90d0fe914b019a3155bc4a9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
52a58fa16c3fdc22f10e663d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
42fb39027026e8fd9ec83159,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,3,2,string 2,Hiruko...? Are you not feeling well?,Hiruko...? Fühlen Sie sich nicht wohl?,translate,translated,displayed-string,dba96078270a4e942209f9034479d1f841699e5fd8dfaf820eeacbe714825d4e
bf393ff5009b60a20ef5d2ed,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3db5902042f16c19a013ec66,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,3,4,string 4,Hiruko...? Are you not feeling well?,Hiruko...? Fühlen Sie sich nicht wohl?,translate,translated,displayed-string,dba96078270a4e942209f9034479d1f841699e5fd8dfaf820eeacbe714825d4e
eb7f89ebbff07ecbe352a67e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr003hiru_05.mbe/000_Sheet1.csv,4,2,string 2,"Could you shut up, please? I'm trying to meditate.",Könnten Sie bitte den Mund halten? Ich versuche zu meditieren.,translate,translated,displayed-string,72579d2278a1796fa0c56c3736c411a3a5e765d6f9da09db362fd138a859264b
