cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8bc45f81983dccb3daf4ee13,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 81,Tag 81,translate,translated,displayed-string,03fbaf9aba8a394a0db89ee09e90d5e9d399f4042d6c045725d2255a4a0f0ca5
4307bed17f31a7ec46a190ef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6311a31e2b49ec306638b91c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 81,Tag 81,translate,translated,displayed-string,03fbaf9aba8a394a0db89ee09e90d5e9d399f4042d6c045725d2255a4a0f0ca5
a3d744b04462478fdbd50dd6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,2,2,string 2,What? Takemaru still hasn't come back?!,Takemaru ist immer noch nicht zurückgekommen?!,translate,translated,displayed-string,92f8caeb6c23d1048e42bff09bee35984d968d437bc495bf39d394fbff5a7aa1
8a7790de005e55a3b5e8e89d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fad32749a60dad1fe27b6d12,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,2,4,string 4,What? Takemaru still hasn't come back?!,Takemaru ist immer noch nicht zurückgekommen?!,translate,translated,displayed-string,92f8caeb6c23d1048e42bff09bee35984d968d437bc495bf39d394fbff5a7aa1
4dd2e1c2251a8166264e59a1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"No... He went off on his own yesterday morning, and no one's seen him since.","Nein, er ist gestern Morgen alleine losgegangen, und seitdem hat ihn niemand mehr gesehen.",translate,translated,displayed-string,4d18172e2cc7fb9f3f207d3848c196c32c3b3f2806bead77ec312b2b8b276b62
d5e8587000a7911a24949e1e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
41521cf9f0caa9c2e20f92fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"No... He went off on his own yesterday morning, and no one's seen him since.","Nein, er ist gestern Morgen alleine losgegangen, und seitdem hat ihn niemand mehr gesehen.",translate,translated,displayed-string,4d18172e2cc7fb9f3f207d3848c196c32c3b3f2806bead77ec312b2b8b276b62
e3495e296a30a7ff0a279009,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Could something have happened to him out there...?,Könnte ihm da draußen etwas zugestoßen sein?,translate,translated,displayed-string,1f51986a92e4545cfc97b807ca1ce44f09e6fbe6c3cfe685d2c7048e7bc5dbd8
8238b47970068071cb5a38bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a4ec26d2977f587de48ad23e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Could something have happened to him out there...?,Könnte ihm da draußen etwas zugestoßen sein?,translate,translated,displayed-string,1f51986a92e4545cfc97b807ca1ce44f09e6fbe6c3cfe685d2c7048e7bc5dbd8
a05874333b141e950ff61e96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"C-Come on, this is Takemaru we're talking about. He can handle himself.","Komm schon, das ist Takemaru, von dem wir reden.",translate,translated,displayed-string,de72622a5ef179a6ae58ecf625bd25b10077763f03638bb138797d3ac0b6cf95
b27c891a2fa74772fe739aac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
61cf5f90175ac1d4507c14d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"C-Come on, this is Takemaru we're talking about. He can handle himself.","Komm schon, das ist Takemaru, von dem wir reden.",translate,translated,displayed-string,de72622a5ef179a6ae58ecf625bd25b10077763f03638bb138797d3ac0b6cf95
d1958c8063f30dfb90aa361d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"See, this is why I said we shouldn't act alone anymore! We're gonna get picked off like victims in a horror movie!","Deshalb habe ich gesagt, dass wir nicht mehr allein handeln sollten, sondern wie Opfer in einem Horrorfilm.",translate,translated,displayed-string,c596ccb14d0d3f1fadcca3e92b5d514cab7c5861b29c76e8155ff45caf5a67fa
8e94d0b4efced4323f365238,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6957fd7bb8892f8b9cb43ec9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_aa_d081_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"See, this is why I said we shouldn't act alone anymore! We're gonna get picked off like victims in a horror movie!","Deshalb habe ich gesagt, dass wir nicht mehr allein handeln sollten, sondern wie Opfer in einem Horrorfilm.",translate,translated,displayed-string,c596ccb14d0d3f1fadcca3e92b5d514cab7c5861b29c76e8155ff45caf5a67fa
