cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
738cc61947656aab97df7e45,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(cfff3f)*BOOOOOOOM!*},{fc(cfff3f)*BOOOOOOOOOM!*},translate,translated,displayed-string:fc-repair,8305b6387cbbaaec0eae4cf59b650a20f1760a4b6bfb561446c7e62c6cbbe3ae
0133519d3f9144dcfef07f3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(cfff3f)*BOOOOOOOM!*},{fc(cfff3f)*BOOOOOOOOOM!*},translate,translated,displayed-string:fc-repair,8305b6387cbbaaec0eae4cf59b650a20f1760a4b6bfb561446c7e62c6cbbe3ae
e032b0d9e23de7fa12e953f3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Fuck! Another explosion!,Noch eine Explosion!,translate,translated,displayed-string,d7bdb06ccf21620adb9d87e628ea66586c234d76875ca9638074bd5b6c34f59c
b66af328718f2bb91dc77eaa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c27ca960762dc833dfb217ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Fuck! Another explosion!,Noch eine Explosion!,translate,translated,displayed-string,d7bdb06ccf21620adb9d87e628ea66586c234d76875ca9638074bd5b6c34f59c
c50b8d3791a175b930ac4e31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,3,2,string 2,Looks like fights are breaking out everywhere.,"Sieht aus, als würden überall Kämpfe ausbrechen.",translate,translated,displayed-string,41d52ae167c2c78975e9db5e5ac0df70504e61a0b3ee4553bb87887dbd19b1ab
5a6364d051966e1ca943231e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
62b0952faf3cf40fc2f1ec14,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,3,4,string 4,Looks like fights are breaking out everywhere.,"Sieht aus, als würden überall Kämpfe ausbrechen.",translate,translated,displayed-string,41d52ae167c2c78975e9db5e5ac0df70504e61a0b3ee4553bb87887dbd19b1ab
1df5f8a2b9b03e3708fc1fa9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Maybe we should go to the Defense Room, first. We lose if we can't defend it, right?","Vielleicht sollten wir zuerst in den Verteidigungsraum gehen und verlieren, wenn wir ihn nicht verteidigen können, oder?",translate,translated,displayed-string,46ca1430a00123d24b60eefc09b969d6cb722c4a4b7d126d8b1af744b67809ab
c565d55d39f9a4d70d596c1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ae6037734dff71b195aff495,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"Maybe we should go to the Defense Room, first. We lose if we can't defend it, right?","Vielleicht sollten wir zuerst in den Verteidigungsraum gehen und verlieren, wenn wir ihn nicht verteidigen können, oder?",translate,translated,displayed-string,46ca1430a00123d24b60eefc09b969d6cb722c4a4b7d126d8b1af744b67809ab
