cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3970fb232fb419caaf30ef27,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,1,2,string 2,"Hey, Eito. Can I ask you something?","Hey, Eito, kann ich dich was fragen?",translate,translated,displayed-string,a403c051f0b821bf4714c64cec334fe0d6685814625c74cc6684dfbb94c61af6
dafed7aac56533216267111a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9566dcf0fa2dc6674e8164de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,1,4,string 4,"Hey, Eito. Can I ask you something?","Hey, Eito, kann ich dich was fragen?",translate,translated,displayed-string,a403c051f0b821bf4714c64cec334fe0d6685814625c74cc6684dfbb94c61af6
5e2a54406cd9493ec5aa70a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,2,2,string 2,"What is it, Takumi? I didn't think we were on speaking terms anymore.","Ich dachte, wir reden nicht mehr miteinander.",translate,translated,displayed-string,fa34985fcb7913756a78bcaeb9016ca90242fd54354f8300189a1e050789d503
41dded37af288409dba49752,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c43708f1bfa567bab3b1bf83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,2,4,string 4,"What is it, Takumi? I didn't think we were on speaking terms anymore.","Ich dachte, wir reden nicht mehr miteinander.",translate,translated,displayed-string,fa34985fcb7913756a78bcaeb9016ca90242fd54354f8300189a1e050789d503
d2136c0aa5f791ce49978517,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,3,2,string 2,"What did Sirei tell you before he died? You destroyed him so you could keep that information to yourself, right?","Was hat Sirei Ihnen vor seinem Tod gesagt? Sie haben ihn zerstört, damit Sie diese Informationen für sich behalten konnten, richtig?",translate,translated,displayed-string,c11962fb5c97dcb4d2572a1e0fca39e77d4d45c112a11ee76fda3e644dfebdef
5b4b45e0f299899ac5ed2529,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fde1b9e6ec88420cfb56f9b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,3,4,string 4,"What did Sirei tell you before he died? You destroyed him so you could keep that information to yourself, right?","Was hat Sirei Ihnen vor seinem Tod gesagt? Sie haben ihn zerstört, damit Sie diese Informationen für sich behalten konnten, richtig?",translate,translated,displayed-string,c11962fb5c97dcb4d2572a1e0fca39e77d4d45c112a11ee76fda3e644dfebdef
027a71464e6ac5424a317e61,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,4,2,string 2,It's nothing you need to concern yourself with.,"Es ist nichts, womit du dich beschäftigen musst.",translate,translated,displayed-string,5a0a1bfb0cfb8ed9eb02db5283794a4036afe95e5c8d5f86ad6ff4a1180fdf67
5a32fcb312fbab477d256f3f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0cfcc0a5c75e184b40176ab1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,4,4,string 4,It's nothing you need to concern yourself with.,"Es ist nichts, womit du dich beschäftigen musst.",translate,translated,displayed-string,5a0a1bfb0cfb8ed9eb02db5283794a4036afe95e5c8d5f86ad6ff4a1180fdf67
230f5ca5377884cda1061c48,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,5,2,string 2,"Let's just say... When you chose to pursue the truth about the boxes, you further distanced yourself from another truth.","Sagen wir einfach... als du dich entschieden hast, die Wahrheit über die Kisten zu verfolgen, hast du dich weiter von einer anderen Wahrheit distanziert.",translate,translated,displayed-string,a0036bc10e0a5b32fd983a0f7b25c1d289b241f807ecfaa56b975e2250cecbb0
28044ac73fdcf20608ff7d5f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
71ab1764177333f40a945e00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,5,4,string 4,"Let's just say... When you chose to pursue the truth about the boxes, you further distanced yourself from another truth.","Sagen wir einfach... als du dich entschieden hast, die Wahrheit über die Kisten zu verfolgen, hast du dich weiter von einer anderen Wahrheit distanziert.",translate,translated,displayed-string,a0036bc10e0a5b32fd983a0f7b25c1d289b241f807ecfaa56b975e2250cecbb0
ca0fb2bd904a0d5c661a66bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,6,2,string 2,What is that supposed to mean?,Was soll das heißen?,translate,translated,displayed-string,e4c9a2b744cfa07e97eb9f501f6489eca738a4354328690b3859abdf2601ab22
cb848375d01478a59b87f1fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a65acea4d9aa6f791b75dee3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,6,4,string 4,What is that supposed to mean?,Was soll das heißen?,translate,translated,displayed-string,e4c9a2b744cfa07e97eb9f501f6489eca738a4354328690b3859abdf2601ab22
3bd7d5dda3c57f10c76763f7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,7,2,string 2,"Exactly. You don't have all the answers yet. Well, here we are.",Du hast noch nicht alle Antworten.,translate,translated,displayed-string,92593f4cf87d70c616083995df9398342706c33756465e9fde438c6f60f9ee0f
6b80f9bfb728915afc9f7ad8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4e5e5690a5310e5906643841,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,7,4,string 4,"Exactly. You don't have all the answers yet. Well, here we are.",Du hast noch nicht alle Antworten.,translate,translated,displayed-string,92593f4cf87d70c616083995df9398342706c33756465e9fde438c6f60f9ee0f
07a6dcb7b5770c050617444d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)Eito stopped outside the door to some kind of storeroom and confidently keyed in the access code on the electronic lock.},{fc(57e4f1)Eito hielt vor der Tür zu einer Art Abstellraum und sicher in den Zugangscode auf dem elektronischen Schloss schlüsselte.},translate,translated,displayed-string:fc-repair,fb5c782affd193a7214e52ae23c7632bf8330fe2cad103b444af7b013798699d
58bdc0188652d4690550021a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)Eito stopped outside the door to some kind of storeroom and confidently keyed in the access code on the electronic lock.},{fc(57e4f1)Eito hielt vor der Tür zu einer Art Abstellraum und sicher in den Zugangscode auf dem elektronischen Schloss schlüsselte.},translate,translated,displayed-string:fc-repair,fb5c782affd193a7214e52ae23c7632bf8330fe2cad103b444af7b013798699d
2f6602a43bb4c5803f6ddbf8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
aa517c0edb35a9c9d4f95f03,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
f57f75707b297b5b6d22a371,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_aa_d098_m050_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
