cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
55a9a283e0775cee6f54b7f6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"Okay, Gaku. I'll leave everything to you.","Ok, Gaku, ich überlasse dir alles.",translate,translated,displayed-string,1b66894262629d5cf09cfc83a9fd2917ecaf71a9f98ffa65662ad9b401d90ac7
0011d7e11a1eb4e41c7a2221,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s09_A_BoukenRt_Aba_d099_m010_010_0010,s09_A_BoukenRt_Aba_d099_m010_010_0010,protected,protected,resource-or-id,541045dfd5e91dbcdb46a60039e2a6c210dcec7170f652709923d430e7e184e1
ddd96e0b23fbca16b89c8cbb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"Okay, Gaku. I'll leave everything to you.","Ok, Gaku, ich überlasse dir alles.",translate,translated,displayed-string,1b66894262629d5cf09cfc83a9fd2917ecaf71a9f98ffa65662ad9b401d90ac7
6c4dbb64b3d7fd884ebe0df7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,Heheh. Thanks.,Vielen Dank.,translate,translated,displayed-string,0f422f66291d26ca2a6eecce75ef600cf9853e308a56986472a69e8abbd2adbe
3b25253b7649dd3ec4212c64,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_Aba_d099_m010_010_0020,s09_A_BoukenRt_Aba_d099_m010_010_0020,protected,protected,resource-or-id,935a0db078c4209d09e9af9bd0bcce98f45fef874d4e9b09f47c336181f911a2
640516177fafde4fa90071be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,Heheh. Thanks.,Vielen Dank.,translate,translated,displayed-string,0f422f66291d26ca2a6eecce75ef600cf9853e308a56986472a69e8abbd2adbe
8e47c79322c6d2cf337bf369,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Gaku laughed confidently, but for some reason, he didn't move.}","{fc(57e4f1)Gaku lachte zuversichtlich, aber aus irgendeinem Grund bewegte er sich nicht.}",translate,translated,displayed-string:fc-repair,5a23a804150a1349fd626a910f028817606dee6c0a07b98b7e998f786a67a4be
b895a38d0910217b4c3b56d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Gaku laughed confidently, but for some reason, he didn't move.}","{fc(57e4f1)Gaku lachte zuversichtlich, aber aus irgendeinem Grund bewegte er sich nicht.}",translate,translated,displayed-string:fc-repair,5a23a804150a1349fd626a910f028817606dee6c0a07b98b7e998f786a67a4be
98eef652f8cf509ac6b56731,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)He just stood there staring at Eito with clenched fists.},{fc(57e4f1)Er stand nur da und starrte Eito mit geballten Fäusten an.},translate,translated,displayed-string:fc-repair,07c7dc4a3c2c17fc54bc4554e59bc5d5252e02ad5003c39090649d654939c5ca
224e21cb7c365262a4a6be3f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)He just stood there staring at Eito with clenched fists.},{fc(57e4f1)Er stand nur da und starrte Eito mit geballten Fäusten an.},translate,translated,displayed-string:fc-repair,07c7dc4a3c2c17fc54bc4554e59bc5d5252e02ad5003c39090649d654939c5ca
353986fd892fa8c6dd4cf8dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)All the while, Eito continued with what he was doing.}","{fc(57e4f1)Die ganze Zeit fuhr Eito mit dem fort, was er tat.}",translate,translated,displayed-string:fc-repair,a050207028954c9d35cf78161e63794742ca129988901b0bc08414ac8bd59533
0ebbab3f876f76ff617f1c44,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)All the while, Eito continued with what he was doing.}","{fc(57e4f1)Die ganze Zeit fuhr Eito mit dem fort, was er tat.}",translate,translated,displayed-string:fc-repair,a050207028954c9d35cf78161e63794742ca129988901b0bc08414ac8bd59533
d52fe89ad7ecffb0a1cce3b9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)One, two, three... He opened the lids of the boxes one by one.}","{fc(57e4f1)Eins, zwei, drei... er öffnete die Deckel der Kisten eins nach dem anderen.}",translate,translated,displayed-string:fc-repair,bc931446c2b574ec5dd3e253ab11a7f91a12917804578216135ec0540395a865
0c7d7708957a8c02825c4712,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)One, two, three... He opened the lids of the boxes one by one.}","{fc(57e4f1)Eins, zwei, drei... er öffnete die Deckel der Kisten eins nach dem anderen.}",translate,translated,displayed-string:fc-repair,bc931446c2b574ec5dd3e253ab11a7f91a12917804578216135ec0540395a865
14657e0ca4d87e08d2dfb464,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)What is Gaku doing?! I thought he had a plan!},"{fc(57e4f1)Was macht Gaku?! Ich dachte, er hätte einen Plan!}",translate,translated,displayed-string:fc-repair,b1ecccb21d3a61cc5c77579095ce5178b9ff868cc790d2e861ddaf1dbe828191
54fbd29c23eec2278e5007fb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)What is Gaku doing?! I thought he had a plan!},"{fc(57e4f1)Was macht Gaku?! Ich dachte, er hätte einen Plan!}",translate,translated,displayed-string:fc-repair,b1ecccb21d3a61cc5c77579095ce5178b9ff868cc790d2e861ddaf1dbe828191
3c7a8a3c5ba35871b685a77e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)Just as I was about to say something, Eito reached the last box.}","{fc(57e4f1)Gerade als ich etwas sagen wollte, erreichte Eito die letzte Box.}",translate,translated,displayed-string:fc-repair,c991fd1ed89b6716a57c170f040494c66df5f60380b39dd5b7d007ec1887362d
bfc3088298c65022a7518fda,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_aba_d099_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)Just as I was about to say something, Eito reached the last box.}","{fc(57e4f1)Gerade als ich etwas sagen wollte, erreichte Eito die letzte Box.}",translate,translated,displayed-string:fc-repair,c991fd1ed89b6716a57c170f040494c66df5f60380b39dd5b7d007ec1887362d
