cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4d1e90019951ad95468068fd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"And just like that, we're back to doing this Invader Hunt again.","Und einfach so, wir machen wieder diese Invader Hunt.",translate,translated,displayed-string,500dc752106015d22ade41633aaba9bb31aacd0c43eea28a7faedf1c82a47b60
be135ed641f820ee69d16481,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5eb7b47a4333d44b604c5943,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"And just like that, we're back to doing this Invader Hunt again.","Und einfach so, wir machen wieder diese Invader Hunt.",translate,translated,displayed-string,500dc752106015d22ade41633aaba9bb31aacd0c43eea28a7faedf1c82a47b60
da50ef368d77ee962a818e9f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"Kamyuhn, don't leave this place under any circumstances, okay? If anyone finds out you're here, they're going to kill you.","Wenn jemand herausfindet, dass du hier bist, werden sie dich töten.",translate,translated,displayed-string,fbb31a52336a1f7e4619abf26330d7cd1359caa917120dfc71d1f36604255bf4
cc8090d4dbf2dcd1e432cf00,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5bf7e5cbed0cf61ceb2a8124,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"Kamyuhn, don't leave this place under any circumstances, okay? If anyone finds out you're here, they're going to kill you.","Wenn jemand herausfindet, dass du hier bist, werden sie dich töten.",translate,translated,displayed-string,fbb31a52336a1f7e4619abf26330d7cd1359caa917120dfc71d1f36604255bf4
691440d95ed5295772c8acfc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,3,2,string 2,"You're probably the target of this particular round, after all...","Sie sind wahrscheinlich das Ziel dieser speziellen Runde, schließlich...",translate,translated,displayed-string,b13d9764c6f90f667715254149ef13cf24e030068bfea79a3b7f6e12bd898545
f2e194574da6a44fae889962,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bff4011024488b4a846145be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,3,4,string 4,"You're probably the target of this particular round, after all...","Sie sind wahrscheinlich das Ziel dieser speziellen Runde, schließlich...",translate,translated,displayed-string,b13d9764c6f90f667715254149ef13cf24e030068bfea79a3b7f6e12bd898545
da9d2f818f8071dadc5b8548,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d064_m030_010.mbe/000_Sheet1.csv,4,2,string 2,Hunting us down in this game of death... Such utter nonsense.,Uns in diesem Spiel des Todes zu jagen... so ein totaler Unsinn.,translate,translated,displayed-string,ac89f0f9ea1fd56563e3bab71e0a018ece71e53250de696b3da0bfa28872db94
