cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
beef9b7c4aa861dde0009cf7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,1,2,string 2,"I think you've heard enough about my family. Here's something about me, as boring as it may be...","Ich glaube, du hast genug von meiner Familie gehört.",translate,translated,displayed-string,f8da9eddb4d1f4f50f0f37f1a91b1f9fd4067b2067e173e6478abec99b3047f1
90d040638058c01fa72a9bf6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,1,3,string2 3,k_chr014YUGA_03_0010,k_chr014YUGA_03_0010,protected,protected,resource-or-id,a599d1b92fc5f885359863e744bcb6fb2ad377dd4c24014f8d3897d294779568
2c919321f1949364004d13db,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,1,4,string 4,"I think you've heard enough about my family. Here's something about me, as boring as it may be...","Ich glaube, du hast genug von meiner Familie gehört.",translate,translated,displayed-string,f8da9eddb4d1f4f50f0f37f1a91b1f9fd4067b2067e173e6478abec99b3047f1
42cfcedb673aa78c56e3014a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,2,2,string 2,You could say I'm the black sheep of the family.,"Man könnte sagen, ich bin das schwarze Schaf der Familie.",translate,translated,displayed-string,a3138980d103e8716c9a2d99bb11a44f0813a17aa80906f6ee2d29af972ab29e
b41b5f22282a9472e06d4d76,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,2,3,string2 3,k_chr014YUGA_03_0020,k_chr014YUGA_03_0020,protected,protected,resource-or-id,e3a238d3f13dec2a127e175c864dc09714de7af99245217bcdd3b393ace90d3e
1639320fe4346baebc8653c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,2,4,string 4,You could say I'm the black sheep of the family.,"Man könnte sagen, ich bin das schwarze Schaf der Familie.",translate,translated,displayed-string,a3138980d103e8716c9a2d99bb11a44f0813a17aa80906f6ee2d29af972ab29e
9146c021086fd5a6aa60352e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,3,2,string 2,"I'm a pretty darn good assassin, if I do say so myself. But my family...they're outright killing machines.","Ich bin ein verdammt guter Attentäter, wenn ich das selbst sage, aber meine Familie... sie töten Maschinen.",translate,translated,displayed-string,0d8b685fc6fe24dd8dc48fc6aac3c593be568a5b4577e408640cb35880087a71
adf0dc49e28c507a98802d7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,3,3,string2 3,k_chr014YUGA_03_0030,k_chr014YUGA_03_0030,protected,protected,resource-or-id,6e0c276fc3a00861e85bdc9f146374e629456c13b35e1e3081f6c278076a665c
ccecdf5d08692c06344cee49,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,3,4,string 4,"I'm a pretty darn good assassin, if I do say so myself. But my family...they're outright killing machines.","Ich bin ein verdammt guter Attentäter, wenn ich das selbst sage, aber meine Familie... sie töten Maschinen.",translate,translated,displayed-string,0d8b685fc6fe24dd8dc48fc6aac3c593be568a5b4577e408640cb35880087a71
b31c8355ff235a7ea3abfddd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,4,2,string 2,My dad decided to modify my body in order to better harness my potential.,"Mein Vater beschloss, meinen Körper zu modifizieren, um mein Potenzial besser auszuschöpfen.",translate,translated,displayed-string,2d8332f86f3c37e13d8c03105395c0de5452f986111011efca221455d4d252d2
5563544fe6b1b6c3e2435b34,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,4,3,string2 3,k_chr014YUGA_03_0040,k_chr014YUGA_03_0040,protected,protected,resource-or-id,0922b3c5c3de9d8b8062a3076752c96a70ea1b1d6a8a5ebe4d04133c42e6336a
fd4f085e0292221f054402cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr014yuga_03.mbe/000_Sheet1.csv,4,4,string 4,My dad decided to modify my body in order to better harness my potential.,"Mein Vater beschloss, meinen Körper zu modifizieren, um mein Potenzial besser auszuschöpfen.",translate,translated,displayed-string,2d8332f86f3c37e13d8c03105395c0de5452f986111011efca221455d4d252d2
