cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c10f2d5a5b3e394cc11f1ef1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 62,Tag 62,translate,translated,displayed-string,a6f1dec2c6a677162cd2c455cb9a5894f8d93c2491b5cb0d4118abf1713252fd
a0f5adcbc25493bdfb53d92f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
af16294b0ae63d35a16d236a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 62,Tag 62,translate,translated,displayed-string,a6f1dec2c6a677162cd2c455cb9a5894f8d93c2491b5cb0d4118abf1713252fd
0cdbb99ffb056cf5b41a84c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
1ce0df3365a519bf8b632056,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_A0_d062_m010_010_0030,s09_A_BoukenRt_A0_d062_m010_010_0030,protected,protected,resource-or-id,82d50bb1b3b48cda3ba873a35ffc24a2e38315b8d387c1bd1614cf6a986ad492
f9fca0cbe559543c2d366fc9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
61bc37eabf86e1c1f8e2b8d4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 62nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 62. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,3ec1d72e6d0524e100e814c371849c038592467ba2947a3351f98c8dad7997a9
cc11daa12539c7320cac7eff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_A0_d062_m010_010_0040,s09_A_BoukenRt_A0_d062_m010_010_0040,protected,protected,resource-or-id,b5e0a79d2753f677cbe90fc8a66d3125704ae3f5f1857c437cab585fd2b7f02d
182192d78e0f1eee3839c194,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 62nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 62. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,3ec1d72e6d0524e100e814c371849c038592467ba2947a3351f98c8dad7997a9
61b00c53b7629e4bda072970,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
d84fa3f9d2df888284d95f47,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s09_A_BoukenRt_A0_d062_m010_010_0050,s09_A_BoukenRt_A0_d062_m010_010_0050,protected,protected,resource-or-id,34d32ddf060636a150605f3dcd231ba5187acce6d76371e07eb957268a5f5516
1c3d75ea5ed35145ed0fbbe9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
f9428eb74ba8adc6a1f9e061,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
8d44d316cd30929150aec9ff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s09_A_BoukenRt_A0_d062_m010_010_0060,s09_A_BoukenRt_A0_d062_m010_010_0060,protected,protected,resource-or-id,63d6d434937f558f030b57d73702f0f67f6ad1adaff285fe43231833de54a46b
9ee85e880acbf71762faf081,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
f01a83b5a2d27dbcb8fd7fb4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"So how is your little treasure hunt going? If it gets to be too much for you, I suppose I could do you a favor and switch with one of you peasants.","Wenn es dir zu viel wird, könnte ich dir einen Gefallen tun und mit einem von euch Bauern tauschen.",translate,translated,displayed-string,ecf5053203ee00c56f159e4121fc89bec22ee2ce8057257af4e8e2a8b43c77bd
0422094466709fc680811592,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9e2d76df652318bcf8061e94,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"So how is your little treasure hunt going? If it gets to be too much for you, I suppose I could do you a favor and switch with one of you peasants.","Wenn es dir zu viel wird, könnte ich dir einen Gefallen tun und mit einem von euch Bauern tauschen.",translate,translated,displayed-string,ecf5053203ee00c56f159e4121fc89bec22ee2ce8057257af4e8e2a8b43c77bd
2a55f71894a37fb911ad3c25,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Is she just bored of staying behind...?},"{fc(57e4f1)Langeweilt es ihr nur, zurück zu bleiben...?}",translate,translated,displayed-string:fc-repair,46f9fbdee9c15ff849f2c45227e17cd412a19727111f31e6e469cadd48d53e8a
0c1dc270e414b2e23d876bd2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Is she just bored of staying behind...?},"{fc(57e4f1)Langeweilt es ihr nur, zurück zu bleiben...?}",translate,translated,displayed-string:fc-repair,46f9fbdee9c15ff849f2c45227e17cd412a19727111f31e6e469cadd48d53e8a
60729b4bda27a887e39da4bd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"Don't worry about us. We're keeping busy, training and whatnot. Go ahead and focus on finding those boxes.","Mach dir keine Sorgen um uns, wir sind beschäftigt, trainieren und was auch immer.",translate,translated,displayed-string,eae59fe88a8f9cda2d2ed651e59235a0152f42ab31e67a74e3415b83c1cf5b66
6788e903ac25b1e93849c3f5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d062_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
